psgc_brgy,yes,no
153604055,34,1
153604056,56,0
153605001,82,7
153605002,45,1
153605003,2,20
153605004,213,2
153605005,108,1
153605006,34,0
153605009,64,0
153605010,115,0
153605011,131,3
153605012,133,1
153605014,99,0
153605015,156,2
153605016,101,1
153605017,90,1
153605018,37,0
153605019,106,3
153605020,152,0
153605021,57,0
153605022,80,4
153605023,50,3
153605024,35,0
153605025,156,1
153605028,131,1
153605030,66,0
153605033,109,2
153605034,68,1
153606002,12,0
153606003,41,2
153606004,51,1
153606005,52,0
153606006,62,3
153606007,50,1
153606008,58,0
153606011,45,2
153606012,66,2
153606014,47,0
153606015,60,2
153606017,61,0
153606019,34,0
153606022,23,0
153606023,103,0
153606027,85,2
153606028,26,3
153606030,41,2
153606031,82,6
153606032,40,2
153606033,71,2
153606035,27,1
153606037,46,1
153606038,80,1
153606039,51,8
153606041,95,1
153606045,25,0
153606048,39,0
153606049,157,8
153606051,31,1
153606052,83,6
153606053,75,1
153606054,17,0
153606058,36,5
153606059,59,8
153606060,56,8
153607012,133,1
153607013,19,62
153607016,104,12
153607019,109,3
153607022,65,110
153607041,275,10
153607044,534,30
153607045,125,7
153607046,93,71
153607047,74,1
153607051,172,28
153607052,463,36
153607056,129,60
153607060,125,21
153607062,40,5
153607063,161,2
153609001,114,0
153609002,119,4
153609003,99,5
153609004,40,0
153609005,120,5
153609006,151,2
153609007,63,3
153609009,72,4
153609010,37,0
153609011,89,3
153609012,72,1
153609013,60,9
153609014,50,46
153609015,96,14
153609016,117,1
153609017,189,15
153609018,218,2
153609019,74,0
153609020,116,2
153609021,84,0
153609022,107,2
153609023,187,3
153609027,115,2
153609029,123,19
153609030,192,35
153609031,54,0
153609032,38,1
153609033,53,14
153609034,82,2
153609051,26,1
153609052,133,4
153609053,33,0
153610003,160,58
153610007,260,3
153610008,38,17
153610009,143,65
153610012,115,0
153610017,130,1
153610018,104,0
153610019,288,2
153610025,145,2
153610026,230,0
153610029,213,1
153610030,129,0
153610031,105,1
153610032,66,0
153610033,369,32
153610034,112,0
153610035,151,1
153610036,207,2
153610037,158,10
153610038,337,20
153611003,86,0
153611004,124,1
153611008,197,2
153611009,178,58
153611011,231,21
153611019,141,11
153611020,151,25
153611021,209,4
153611026,176,56
153611027,148,17
153611031,244,14
153611035,122,21
153611039,31,152
153611040,293,12
153611041,76,60
153611044,106,29
153611046,283,44
153611047,208,11
153611052,226,15
153611054,126,7
153611055,220,21
153611058,240,14
153611065,163,3
153611066,213,7
153611070,91,12
153611077,239,16
153611078,152,7
153611079,233,98
153611081,138,2
153611082,82,17
153611083,297,8
153611085,177,4
153611089,263,34
153611091,312,19
153611094,226,5
153611096,73,56
153611097,165,14
153611098,116,46
153612001,133,1
153612008,72,3
153612011,37,0
153612012,121,5
153612017,134,0
153612018,99,7
153612021,43,0
153612024,141,5
153612028,261,2
153612029,100,3
153612032,127,3
153612033,191,27
153612034,73,3
153612035,96,1
153612038,153,0
153612039,189,6
153612043,194,5
153612048,189,5
153612050,125,2
153612051,110,1
153612052,54,0
153613001,38,20
153613003,8,6
153613006,27,47
153613007,39,0
153613008,88,0
153613010,60,0
153613012,69,0
153613013,57,2
153613014,82,4
153613015,65,0
153613016,20,9
153613017,4,6
153613018,14,167
153613019,63,5
153613021,87,2
153613022,13,17
153613023,70,1
153613024,330,5
153613025,35,0
153613026,87,5
153613027,161,2
153613028,3,50
153613029,3,190
153613030,3,89
153613031,69,12
153613032,211,2
153613033,138,1
153613034,5,93
153613035,4,131
153613036,9,72
153613040,65,4
153613041,53,0
153613043,110,1
153613044,9,40
153613049,8,116
153613050,125,0
153613051,37,1
153614003,80,18
153614004,59,0
153614005,96,33
153614006,62,2
153614007,52,0
153614008,51,1
153614010,29,3
153614011,150,1
153614012,127,2
153614013,77,0
153614014,78,0
153614016,73,5
153614017,100,1
153614018,123,1
153614019,58,0
153614020,49,0
153614022,104,11
153614023,142,2
153614025,164,0
153614027,167,15
153614031,107,16
153614032,49,10
153614033,57,3
153614034,67,0
153615003,251,10
153615006,124,24
153615017,158,13
153615018,156,3
153615019,13,93
153615020,473,18
153615021,308,5
153615022,567,30
153615023,77,8
153615027,7,72
153615028,171,22
153615029,42,79
153615034,141,66
153615038,197,6
153615043,162,9
153615044,129,0
153615047,8,164
153615049,132,35
153615053,193,15
153615059,38,3
153615061,23,120
153615063,39,34
153615064,162,12
153615066,18,163
153615068,482,25
153615070,10,91
153615071,57,35
153615072,396,21
153615073,12,138
153615075,110,0
153615078,87,8
153615079,153,1
153615080,447,11
153615081,308,9
153615082,117,32
153616001,232,0
153616005,83,0
153616006,194,0
153616009,87,1
153616018,179,5
153616022,101,1
153616023,164,3
153616025,69,1
153616026,137,0
153616035,208,1
153616036,179,0
153616039,145,0
153616040,120,0
153616044,57,0
153616047,199,4
153616051,158,3
153616054,149,1
153616055,180,2
153616059,92,0
153616061,141,1
153616063,81,1
153616071,61,5
153616072,85,0
153616083,56,3
153616097,134,1
153616102,101,2
153616105,74,1
153616106,172,2
153616107,280,8
153616108,288,17
153616109,1,92
153616110,112,2
153616111,78,3
153616112,125,0
153617001,118,1
153617003,104,3
153617006,89,3
153617007,223,5
153617008,246,38
153617009,539,3
153617010,309,4
153617012,76,3
153617013,76,4
153617014,39,1
153617015,397,7
153617016,105,0
153617017,42,0
153617019,40,0
153617021,56,0
153617022,352,11
153617023,79,4
153617024,481,73
153617025,381,2
153617026,390,16
153617027,70,0
153617029,329,15
153617030,364,1
153617032,36,49
153617033,707,21
153617035,218,5
153617036,388,8
153617037,112,2
153617039,478,4
153617040,73,13
153617042,95,10
153617043,143,1
153617044,217,7
153617045,208,2
153617046,178,0
153617048,166,3
153617049,269,3
153617051,346,15
153617052,69,0
153617057,420,4
153617058,421,0
153617060,462,2
153617062,343,4
153617063,96,4
153617064,67,7
153617065,49,173
153617066,347,4
153617068,66,5
153617069,130,2
153617070,207,1
153617071,314,3
153617072,643,49
153617074,147,16
153617075,108,1
153617076,377,5
153617077,556,26
153617079,377,5
153617080,357,9
153617083,815,8
153617085,76,0
153617086,174,2
153617089,98,2
153617090,654,4
153617097,293,11
153617098,90,2
153617099,168,29
153617101,76,0
153617103,122,0
153617105,283,1
153617107,682,17
153617109,344,3
153617110,132,2
153617111,360,8
153617112,183,11
153617113,63,0
153617116,167,0
153617117,149,3
153617118,218,3
153617119,66,0
153617120,197,1
153617123,35,3
153617124,174,5
153617125,359,4
153617126,254,5
153617127,137,4
153617129,153,0
153617131,421,1
153617133,106,1
153617134,125,3
153617136,247,23
153617137,7,0
153617138,383,9
153617139,360,2
153617141,351,4
153617142,298,9
153617143,145,8
153618001,157,13
153618002,105,39
153618003,112,27
153618004,69,18
153618005,69,14
153618007,48,3
153618008,190,36
153618018,80,3
153618023,101,42
153618032,31,9
153618034,111,55
153618035,211,17
153618039,89,43
153618040,96,34
153618041,101,0
153618042,192,102
153618043,59,37
153618044,91,47
153618045,148,25
153618047,80,6
153618052,113,37
153618053,125,9
153618055,91,30
153618060,91,28
153618061,75,13
153618062,129,1
153618069,129,62
153618077,82,35
153618082,149,22
153618083,59,45
153618085,116,55
153618088,89,27
153618089,190,81
153618090,71,42
153618091,110,49
153619002,38,5
153619005,37,17
153619006,57,11
153619007,70,8
153619008,135,0
153619010,43,11
153619011,43,18
153619013,112,5
153619014,34,15
153619015,61,13
153619016,94,21
153619018,10,9
153619019,60,7
153619022,24,7
153619024,44,13
153619026,15,4
153619027,37,14
153619028,23,5
153619030,39,9
153619033,65,6
153619034,53,11
153619035,19,15
153619037,17,27
153619038,44,9
153619039,13,9
153619043,31,36
153620001,237,4
153620005,167,3
153620006,129,3
153620011,47,1
153620015,151,7
153620019,168,13
153620020,162,3
153620029,81,15
153620030,155,1
153620034,266,22
153620035,71,176
153620037,177,37
153620041,204,2
153620042,85,1
153620045,39,78
153620046,89,2
153620054,218,0
153620057,148,94
153621001,74,7
153621002,4,145
153621003,73,32
153621004,163,51
153621005,156,38
153621006,239,12
153621007,130,7
153621008,105,39
153621009,242,5
153621010,90,1
153621011,111,21
153621012,122,10
153621013,257,9
153621014,1,195
153621015,3,209
153621017,112,5
153621018,143,2
153621020,163,5
153621021,5,159
153621022,2,267
153621023,118,1
153621024,170,19
153621025,104,18
153621026,202,10
153621028,141,8
153621029,228,4
153621030,143,19
153621031,157,39
153621032,194,4
153621033,16,293
153621034,158,42
153621035,21,143
153621036,6,172
153621037,170,3
153621038,10,260
153621039,138,21
153621040,32,3
153622001,129,9
153622002,24,1
153622004,201,3
153622006,190,2
153622007,105,1
153622008,109,3
153622011,220,4
153622012,117,1
153622013,64,1
153622014,99,0
153622015,51,0
153622018,77,7
153622019,57,0
153622020,172,2
153622024,114,1
153622026,91,0
153622027,94,4
153622030,89,1
153622034,113,1
153622035,86,4
153622036,304,25
153622037,176,12
153622041,75,0
153622042,91,7
153622043,91,1
153623001,130,2
153623002,159,5
153623003,32,2
153623005,185,7
153623006,118,1
153623008,58,75
153623012,107,1
153623013,340,8
153623014,126,3
153623015,77,2
153623018,148,22
153623022,124,2
153623023,136,9
153623024,201,2
153623025,32,44
153623026,100,3
153623030,86,26
153623031,101,0
153623033,125,3
153623034,51,0
153623035,73,12
153623036,92,1
153623037,120,2
153624001,69,1
153624006,152,7
153624009,192,6
153624012,119,2
153624013,58,2
153624014,62,0
153624016,85,3
153624024,75,14
153624027,94,2
153624028,35,5
153624030,61,12
153624032,58,5
153624033,125,4
153624038,86,33
153624042,78,0
153624045,8,0
153624048,41,14
153624054,47,1
153624055,47,0
153624057,35,26
153624058,73,3
153624064,60,1
153624070,48,4
153624077,79,1
153624078,82,6
153624079,83,2
153624081,128,2
153624082,68,3
153624086,6,0
153624087,78,1
153624091,61,1
153624092,72,3
153624093,90,1
153624094,95,0
153625001,85,1
153625002,144,4
153625004,255,9
153625005,124,7
153625006,112,1
153625007,111,7
153625008,122,10
153625009,111,1
153625010,133,3
153625012,93,0
153625013,134,8
153625015,182,10
153625018,156,6
153625019,180,4
153625020,140,3
153625021,239,16
153625022,74,3
153625023,224,7
153625025,132,10
153625026,107,9
153625027,151,5
153625028,223,2
153625029,152,5
153625030,476,10
153625031,140,10
153625032,156,7
153625033,443,25
153625035,184,10
153625036,127,2
153625037,401,7
153626001,49,16
153626002,12,0
153626004,28,0
153626007,71,9
153626008,100,0
153626009,94,9
153626010,90,31
153626011,77,0
153626012,98,23
153626013,36,12
153626014,24,33
153626015,55,22
153626016,79,6
153626019,84,39
153626020,123,51
153626021,50,0
153626022,58,7
153626024,85,10
153626027,16,16
153626030,53,5
153626032,38,22
153626034,75,5
153626037,103,54
153626038,112,14
153626039,96,64
153626040,93,25
153626041,43,7
153626042,72,49
153626043,58,26
153626046,29,24
153626047,123,35
153626049,35,23
153626050,99,31
153626052,59,64
153626054,64,7
153626058,82,38
153626062,53,18
153626064,61,25
153626065,62,29
153626067,116,30
153626077,27,18
153626078,46,25
153626079,76,11
153626080,90,1
153627003,35,12
153627006,66,22
153627007,41,13
153627008,71,26
153627009,17,10
153627010,32,15
153627011,54,21
153627012,35,8
153627013,91,14
153627014,77,14
153627016,48,28
153627017,62,12
153627018,30,18
153627019,50,22
153627021,49,9
153627022,59,20
153627024,74,16
153627028,32,33
153627029,71,25
153627035,38,5
153627036,46,18
153627037,27,11
153627038,47,5
153627042,22,6
153627043,40,2
153627046,35,4
153627047,66,18
153627049,81,16
153627050,33,16
153627051,60,11
153627053,58,11
153627055,28,1
153627056,21,0
153627057,57,8
153627058,56,11
153627060,20,7
153627061,57,9
153627062,37,6
153627063,47,11
153627064,37,9
153627069,39,12
153627070,28,7
153627071,62,11
153628001,197,46
153628006,158,234
153628009,197,68
153628012,3,231
153628015,236,37
153628016,128,76
153628017,132,108
153628023,176,46
153628030,215,76
153628031,17,161
153628033,78,162
153628036,407,45
153628037,83,98
153628038,137,86
153628039,136,11
153628040,40,167
153628041,5,190
153628042,9,277
153628043,115,148
153628046,118,118
153628047,166,101
153629001,102,0
153629004,136,2
153629005,97,0
153629006,106,1
153629010,162,3
153629011,154,0
153629012,58,2
153629014,332,12
153629016,61,0
153629017,123,5
153629019,102,0
153629021,145,2
153629022,49,0
153629025,124,1
153629026,160,1
153629027,60,1
153629028,32,0
153629030,66,1
153629031,89,2
153629034,59,0
153629036,86,2
153629037,111,0
153629038,75,0
153630001,182,178
153630002,70,21
153630003,119,96
153630006,165,47
153630007,182,93
153630009,203,79
153630010,102,120
153630011,723,126
153630012,411,28
153630014,179,52
153630016,194,107
153630017,202,142
153630019,366,138
153630021,454,151
153630022,353,64
153630025,133,45
153630026,486,72
153630029,286,291
153630030,92,24
153630031,120,12
153630033,403,175
153630034,106,62
153630035,418,241
153630036,120,169
153630038,93,23
153630042,358,50
153631001,66,164
153631002,56,141
153631004,36,87
153631005,123,202
153631006,17,89
153631008,36,107
153631009,74,145
153631010,59,116
153631011,25,156
153631012,76,99
153631015,30,101
153631016,16,100
153631017,147,245
153631018,333,282
153631020,37,203
153631021,27,133
153631023,59,152
153631024,24,98
153631026,316,250
153631027,2,64
153631028,49,241
153631029,27,115
153631031,42,114
153631032,25,108
153632004,188,36
153632008,106,57
153632015,19,272
153632018,0,158
153632019,181,0
153632031,6,211
153632038,61,136
153632041,525,4
153632042,12,161
153632043,179,41
153632044,177,172
153632048,133,149
153632050,29,188
153632052,98,88
153632054,37,120
153632055,108,86
153632056,140,20
153633001,100,9
153633003,76,14
153633005,73,22
153633006,82,2
153633007,89,17
153633008,62,2
153633009,92,5
153633010,77,2
153633011,163,6
153633013,88,2
153633014,72,5
153633015,111,4
153633017,55,12
153633018,122,5
153633019,114,4
153633020,87,27
153633021,114,3
153633022,94,2
153633023,120,1
153633025,56,3
153633026,111,7
153633029,71,5
153633030,143,14
153633031,115,4
153633033,18,2
153633035,106,12
153633037,69,1
153633038,64,4
153633039,57,2
153633040,58,0
153633042,168,5
153633043,54,6
153633044,46,8
153634001,67,0
153634003,84,0
153634004,163,0
153634005,31,29
153634006,170,0
153634007,83,0
153634008,180,3
153634009,136,1
153634011,113,0
153634013,83,2
153634014,137,13
153634015,40,27
153634016,29,1
153634019,142,3
153634020,167,2
153634024,26,1
153634025,29,6
153634028,57,0
153634030,118,1
153634031,157,0
153634032,157,0
153634033,281,3
153634037,144,0
153634038,30,4
153634041,79,1
153634045,76,22
153634048,66,2
153634051,29,0
153634052,133,0
153634053,122,0
153634054,69,0
153634055,117,0
153634056,39,1
153634057,159,0
153635004,376,47
153635007,300,53
153635009,261,62
153635015,304,83
153635016,330,17
153635024,209,48
153635028,278,208
153635029,523,113
153635035,167,20
153635037,111,186
153635041,217,38
153635042,450,33
153635043,194,43
153635049,97,168
153635050,167,297
153635052,163,189
153635053,445,28
153635054,173,152
153635061,178,43
153636004,116,3
153636005,246,0
153636007,129,0
153636008,75,0
153636009,113,0
153636010,93,0
153636012,130,1
153636013,115,0
153636014,115,6
153636015,31,0
153636017,200,0
153636018,69,0
153636019,104,0
153636020,126,7
153636022,140,2
153636023,131,0
153636025,96,0
153636026,29,0
153636030,144,1
153636033,139,1
153636035,78,0
153636036,43,0
153637001,89,58
153637002,3,111
153637003,0,37
153637005,158,32
153637006,306,208
153637008,29,42
153637009,1,96
153637010,13,120
153637012,18,110
153637013,9,165
153637014,86,12
153637015,1,48
153637016,154,26
153637017,10,113
153637018,87,2
153637019,3,77
153637021,187,38
153638002,41,65
153638004,28,97
153638005,56,29
153638006,3,111
153638007,16,114
153638009,34,98
153638012,136,3
153638013,123,21
153638015,172,0
153638017,215,1
153638018,17,101
153638024,46,63
153638025,142,0
153638026,134,0
153638027,99,21
153638029,3,79
153638030,287,9
153638041,59,26
153638042,48,166
153639001,73,177
153639002,30,111
153639003,225,160
153639004,807,329
153639005,73,38
153639006,63,409
153639007,141,316
153639008,33,323
153639009,39,229
153639010,150,110
153639011,93,366
153639012,94,216
153639013,140,157
153639014,204,277
153639015,186,121
153640001,290,25
153640002,14,274
153640003,166,30
153640004,225,10
153640005,1,108
153640006,203,10
153640007,89,28
153641001,171,9
153641002,120,2
153641003,127,3
153641004,112,2
153641005,130,4
153641006,94,29
153641007,205,8
153641008,221,3
153641009,209,2
153801004,295,625
153801011,287,222
153801012,649,215
153801014,119,476
153801015,755,913
153801018,57,424
153801022,63,299
153801028,50,547
153801031,19,652
153801032,69,529
153801035,619,413
153803008,1281,904
153803023,106,877
153803030,232,2109
153803039,142,216
153803040,454,952
153803045,21,139
153803054,111,116
153805001,382,141
153805003,57,176
153805004,238,203
153805006,182,167
153805007,34,244
153805008,75,121
153805010,20,170
153805011,99,237
153805013,104,123
153805014,26,148
153805015,23,215
153805016,329,286
153805017,25,184
153805018,59,186
153805019,156,232
153805020,4,176
153805021,20,197
153805022,25,196
153805023,10,180
153805024,17,177
153805025,65,208
153805026,164,194
153805027,35,158
153806001,347,156
153806002,257,296
153806003,278,493
153806005,97,366
153806006,56,141
153806008,1376,606
153806009,265,317
153806010,142,396
153806011,163,415
153806015,184,309
153806021,363,238
153806025,261,179
153806028,318,263
153806029,89,302
153806030,27,203
153806032,205,463
153806034,3718,1474
153806035,56,342
153806038,232,279
153808002,98,755
153808004,229,739
153808005,8,515
153808008,123,663
153808011,363,812
153808012,888,555
153808013,208,972
153808016,179,899
153808023,195,1006
153808027,155,526
153808034,2738,1237
153808037,541,509
153808038,169,730
153808039,461,378
153808040,33,806
153808042,395,476
153808043,239,988
153808044,821,647
153808045,253,344
153808046,208,138
153808047,885,180
153808048,289,784
153808049,313,669
153808050,130,632
153808051,343,142
153810001,39,839
153810004,21,992
153810006,100,539
153810008,219,516
153810009,270,683
153810010,20,842
153810013,305,2084
153810014,41,687
153810015,484,657
153810017,54,725
153810021,709,945
153810025,13,594
153813001,48,338
153813003,158,665
153813004,56,639
153813006,112,576
153813008,130,506
153813013,57,340
153813015,50,440
153813021,54,326
153813028,81,373
153813045,38,373
153813046,44,432
153813050,50,540
153816005,25,383
153816007,255,495
153816008,77,373
153816009,64,252
153816013,358,548
153816014,182,242
153816018,75,236
153816019,577,793
153816025,69,269
153816028,225,285
153816032,549,363
153816033,698,245
153816035,84,337
153816036,744,377
153816038,84,290
153817001,102,1167
153817002,230,263
153817003,26,557
153817004,59,272
153817005,83,676
153817006,151,211
153817007,209,825
153817008,269,749
153817009,108,891
153817010,389,1447
153817011,101,470
153819001,481,1076
153819002,113,434
153819005,161,333
153819006,92,438
153819007,31,487
153819008,224,278
153819009,279,209
153819010,46,480
153819011,104,339
153819012,170,211
153819013,61,476
153819015,110,575
153819016,401,178
153819017,37,403
153819018,103,209
153819019,53,184
153819020,56,199
153819021,75,169
153819022,100,148
153820001,4,169
153820002,10,192
153820003,31,115
153820004,2,149
153820005,59,691
153820006,4,141
153820007,45,90
153820008,90,654
153820009,19,188
153820010,49,570
153820011,217,593
153820012,18,94
153820013,8,138
153820014,18,168
153820015,9,120
153820016,16,117
153820017,11,148
153820018,6,110
153821002,60,430
153821003,104,245
153821004,96,776
153821005,37,180
153821006,125,657
153821007,22,277
153821008,149,342
153821011,42,366
153821012,279,1270
153822001,107,451
153822002,206,376
153822003,89,601
153822004,113,1095
153822005,110,582
153822006,287,725
153822007,2,475
153822008,527,553
153822009,44,600
153822010,328,1339
153822011,557,616
153823001,213,792
153823002,399,266
153823003,621,357
153823004,251,551
153823005,382,182
153823006,71,530
153823007,24,419
153823008,62,549
153825001,57,770
153825002,641,184
153825003,131,601
153825004,523,215
153825005,102,330
153825006,62,511
153825007,491,334
153825008,389,258
153825009,163,413
153825010,510,338
153825011,499,263
153826001,33,44
153826002,175,51
153826003,298,58
153826004,64,13
153826005,98,649
153826006,4,127
153826007,300,68
153826008,184,222
153826009,26,290
153826010,196,88
153826011,148,125
153826012,21,209
153826013,228,189
153826014,285,128
153827001,178,425
153827002,167,52
153827003,78,126
153827004,307,392
153827006,667,323
153827007,8,155
153827008,13,84
153827009,0,151
153827010,30,130
153828001,259,750
153828002,391,582
153828003,184,759
153828004,177,783
153828005,381,631
153828006,367,521
153828007,135,481
153828008,59,1042
153828009,688,685
153828010,165,1188
153829001,123,512
153829002,336,445
153829003,327,356
153829004,203,235
153829005,156,308
153829006,328,323
153829007,128,513
153829008,305,265
153829009,199,308
153829010,433,447
153829011,79,487
153831001,356,559
153831002,687,417
153831003,573,305
153831004,714,650
153831005,823,535
153831006,332,568
153831007,378,428
153832001,27,1184
153832002,70,438
153832003,49,372
153832004,48,1164
153832005,474,333
153832006,11,389
153832007,13,547
153832008,290,1368
153833001,39,618
153833002,452,248
153833003,13,760
153833004,36,646
153833005,1,385
153833006,62,1013
153833007,50,495
153833008,9,697
156601001,119,247
156601002,321,101
156601003,253,372
156601004,553,799
156601005,102,261
156601006,220,155
156601007,114,209
156601008,230,90
156601010,232,245
156601011,2617,1243
156601012,179,88
156601013,87,145
156601014,158,196
156601015,228,187
156601017,105,128
156601018,205,252
156601019,113,139
156601020,263,214
156601021,264,211
156601022,200,94
156601023,203,122
156601024,403,154
156601025,281,167
156601026,318,97
156601027,84,140
156601028,231,158
156601029,97,489
156601030,273,348
156601031,627,274
156601032,77,65
156601033,177,235
156601035,138,158
156601036,164,160
156602001,1199,145
156602002,1125,401
156602003,2827,903
156602004,365,172
156602007,1193,457
156602008,617,163
156602009,1285,516
156602010,445,104
156603002,3,576
156603004,18,607
156603010,105,785
156603011,51,467
156603012,259,1337
156603013,196,887
156603016,34,661
156603017,16,493
156603018,32,695
156604004,62,322
156604007,14,515
156604008,29,487
156604012,13,527
156604013,4,538
156604014,73,320
156604015,12,370
156604021,285,1943
156604024,152,699
156604028,35,690
156604029,8,392
156604030,18,374
156605001,41,124
156605002,87,83
156605003,39,220
156605004,187,428
156605005,0,161
156605006,42,231
156605007,72,67
156605008,28,144
156605009,26,308
156605010,122,122
156605011,24,93
156605012,45,1439
156605013,3,86
156605014,18,141
156605015,9,280
156605016,6,351
156605017,337,438
156605018,28,74
156605019,1,93
156605020,18,154
156605021,344,236
156605022,70,265
156605023,316,381
156605024,3,144
156605025,137,211
156605026,59,147
156605027,9,152
156606002,36,52
156606003,39,377
156606008,6,147
156606012,100,206
156606015,0,148
156607001,4,312
156607002,11,329
156607003,0,111
156607004,16,157
156607005,0,280
156607006,2,230
156607007,3,467
156607008,3,334
156607011,3,283
156607013,71,496
156607014,4,142
156607015,5,309
156607016,0,322
156607017,0,84
156607018,1,346
156607019,2,255
156607023,3,211
156607027,11,266
156607028,1,414
156607029,1,284
156607030,5,298
156607031,8,284
156607033,4,223
156607034,7,297
156607036,8,929
156607037,7,274
156607038,6,192
156607039,10,368
156607040,1,119
156607042,10,248
156607043,2,216
156608001,3,195
156608003,9,334
156608004,3,434
156608005,3,479
156608006,12,366
156608007,5,516
156608009,11,817
156608010,2,468
156608011,6,370
156608012,7,291
156608013,52,1142
156608014,5,449
156608016,1,309
156608017,1,260
156608018,16,434
156608019,21,463
156609001,37,648
156609002,6,491
156609003,12,599
156609004,4,488
156609005,57,232
156609006,11,290
156609008,4,320
156609009,9,359
156609010,2,289
156609011,7,358
156609012,2,382
156609013,12,408
156609015,5,433
156609016,99,743
156609017,23,352
156609019,21,502
156609021,18,472
156609023,6,354
156609024,47,792
156609025,3,498
156609026,4,318
156609027,64,453
156609028,60,294
156609029,30,340
156609030,24,499
156609031,49,346
156609032,4,248
156609033,13,441
156609034,51,397
156609035,212,236
156609036,17,340
156609037,10,388
156609038,79,306
156609039,9,364
156609040,10,340
156609041,5,292
156609042,5,382
156609043,26,301
156609044,24,277
156609045,9,333
156610001,8,169
156610003,3,352
156610004,1,202
156610005,0,223
156610006,34,235
156610007,33,423
156610008,3,281
156610009,3,240
156610010,30,194
156610011,1,182
156610012,1,278
156610013,79,506
156610014,2,300
156610015,17,396
156611001,1019,832
156611002,1,0
156611003,550,109
156611004,209,467
156611005,248,87
156611006,1,0
156611007,672,458
156611008,172,97
156611010,195,106
156611011,131,176
156611012,177,75
156611013,174,360
156611014,274,113
156611015,245,76
156611017,426,172
156611018,247,195
156611021,264,99
156611022,171,108
156611023,180,303
156611024,79,229
156611025,54,84
156611028,181,81
156611029,155,136
156611030,488,199
156612001,11,165
156612004,50,125
156612006,2,66
156612007,8,393
156612008,423,102
156612009,551,103
156612010,2,290
156612011,4,204
156612012,157,200
156612013,65,166
156612015,0,107
156612016,34,161
156612018,7,122
156612019,51,195
156612020,1,273
156612021,174,121
156612023,8,187
156612025,6,368
156612026,0,148
156612030,8,250
156612032,17,237
156612035,162,57
156612037,261,207
156612038,0,126
156612040,56,32
156612041,5,237
156612042,7,163
156612046,0,234
156612048,116,151
156612049,51,195
156612050,1,136
156612053,4,123
156612056,8,276
156612057,14,421
156612058,145,78
156612059,34,172
156612060,48,164
156612061,66,236
156612065,393,253
156612066,3,205
156612069,261,8
156612070,22,324
156612071,38,267
156612073,221,44
156612074,10,158
156612075,149,146
156612076,70,288
156612080,10,538
156613001,32,317
156613002,63,280
156613003,63,339
156613004,297,429
156613007,26,275
156613008,152,289
156613009,17,240
156613010,15,214
156613011,78,289
156613014,23,56
156613015,6,311
156613016,196,93
156613017,47,226
156613018,43,216
156613019,248,146
156613020,9,296
156613021,58,321
156613023,90,158
156613024,74,127
156613025,11,373
156613026,202,233
156613027,137,213
156613028,27,212
156613029,82,209
156613030,98,167
156613031,37,240
156613032,22,375
156613033,224,166
156613035,6,244
156613036,43,274
156613037,36,164
156613038,36,358
156613039,26,428
156613040,27,321
156613041,24,368
156613042,136,202
156613043,42,126
156613044,5,317
156613045,5,193
156613047,76,165
156613048,102,248
156613049,3,320
156613051,62,291
156613052,18,332
156613053,19,187
156613054,3,377
156613055,88,206
156613056,9,209
156613057,5,263
156613058,31,252
156613059,14,53
156613060,63,280
156614003,13,185
156614010,9,144
156614013,1,110
156614014,2,549
156614016,1,406
156614017,10,166
156614018,6,153
156614019,4,169
156614025,3,246
156614027,2,258
156614028,8,289
156614030,0,191
156614032,1,150
156614033,2,350
156614035,8,282
156615001,18,85
156615002,18,82
156615003,9,218
156615004,19,422
156615005,13,321
156615006,27,351
156615007,14,144
156615009,12,237
156615010,30,229
156615011,58,548
156615012,2,185
156615013,25,236
156615014,31,298
156615015,8,263
156616001,6,525
156616002,10,707
156616003,3,355
156616004,16,367
156616005,11,614
156616006,18,804
156616007,97,2063
156616008,34,716
156616009,10,433
156616010,11,426
156616011,2,479
156616012,10,529
156617001,5,266
156617002,17,331
156617003,4,227
156617004,0,204
156617006,1,54
156617007,1,177
156617008,10,247
156617009,3,244
156617010,41,153
156617011,0,426
156617012,34,252
156617013,18,105
156617014,0,213
156617015,23,168
156617016,1,237
156617017,24,365
156618001,15,367
156618002,1,300
156618003,35,854
156618004,5,254
156618005,4,384
156618006,6,491
156618007,5,515
156618008,3,189
156618009,16,649
156618010,60,743
156618011,1,380
156618012,6,595
156618013,2,468
156618014,11,564
156618015,5,258
156618016,1,136
156619001,5,444
156619002,67,814
156619003,348,925
156619004,95,494
156619005,121,596
156619006,125,724
156619007,85,557
156619008,22,445
157001001,2,933
157001002,337,189
157001003,0,385
157001004,0,386
157001005,189,148
157001007,3,520
157001008,8,485
157001009,1,567
157001010,0,188
157001011,171,228
157001012,5,665
157001013,1,412
157001014,0,553
157001015,6,328
157001016,373,66
157001017,2,308
157001018,34,409
157002005,57,72
157002006,9,171
157002007,91,164
157002009,84,64
157002010,459,227
157002012,3,334
157002013,15,28
157002014,16,93
157002015,36,147
157002016,16,193
157002017,2,146
157002018,1,177
157002019,4,137
157002021,30,136
157002022,69,50
157002023,93,78
157002024,3,67
157002025,27,33
157002026,311,63
157002027,724,98
157002030,298,48
157002031,66,133
157002033,272,221
157002034,63,174
157002037,4,244
157002040,55,68
157002042,62,109
157002043,5,190
157002044,32,93
157002045,320,64
157002046,14,120
