psgc_brgy,yes,no
174005013,159,104
174005014,67,28
174005015,45,96
174005016,35,33
174005017,44,63
174005018,63,57
174005019,415,106
174005020,38,26
174005021,36,30
174005022,76,49
174005023,113,62
174005024,168,86
174005025,222,35
174005026,37,52
174005027,91,36
174005028,150,46
174005029,291,53
174005030,148,79
174005031,52,36
174005032,251,67
174005033,161,34
174005034,3,5
174005035,36,82
174005036,179,161
174005037,116,76
174005038,202,122
174005039,48,90
174005040,73,34
174005041,181,154
174005042,50,23
174005043,314,66
174005044,96,19
174005045,79,28
174005047,127,74
174005048,122,92
174005049,178,44
174005050,226,61
174005051,63,47
174005052,197,74
174005053,44,23
174005054,51,116
174005055,264,81
174005056,221,91
174006001,46,53
174006002,41,36
174006003,81,29
174006004,209,65
174006005,307,140
174006006,230,154
174006007,93,30
174006008,139,62
174006009,76,52
174006010,82,29
174006011,153,104
174006012,317,263
174006013,72,73
174006014,235,106
174006015,214,117
174006016,135,40
174006017,180,73
174006018,63,45
174006019,57,119
174006020,313,102
174006021,131,34
174006022,187,157
174006023,253,84
174006024,19,83
174006025,328,210
175101001,214,340
175101002,448,475
175101003,353,316
175101004,357,67
175101005,234,311
175101006,235,90
175101007,207,369
175101008,367,538
175101009,220,199
175102001,395,194
175102002,400,317
175102003,81,236
175102004,554,367
175102005,1010,381
175102006,128,427
175102007,342,360
175103001,237,14
175103002,299,53
175103003,89,26
175103004,170,48
175103005,84,86
175103006,126,24
175103007,118,5
175103008,82,13
175103009,155,166
175104001,237,44
175104002,324,97
175104003,179,2
175104004,577,43
175104005,733,41
175104006,488,85
175104007,363,26
175104008,382,36
175104009,21,4
175104010,108,3
175104011,102,3
175104012,106,2
175104013,109,4
175104014,240,15
175104015,95,3
175104016,99,1
175105001,63,397
175105003,276,270
175105004,131,95
175105005,140,266
175105006,125,116
175105007,182,138
175105008,111,364
175105009,189,334
175105010,1001,474
175105011,167,445
175105012,217,264
175105013,73,206
175106001,742,578
175106002,244,109
175106003,1518,192
175106004,178,92
175106005,383,123
175106006,322,210
175106007,780,510
175106008,85,3
175106009,417,22
175106010,54,1
175106011,110,12
175106012,74,13
175106013,121,4
175106014,347,22
175106015,195,28
175107001,94,156
175107002,2,209
175107003,122,11
175107004,21,221
175107005,141,119
175107006,279,71
175107007,67,4
175107008,115,31
175107009,99,7
175107010,38,3
175107011,116,21
175107012,41,332
175108001,515,171
175108002,275,251
175108003,306,226
175108004,501,364
175108005,174,284
175108006,357,136
175108007,546,221
175108008,333,127
175108009,263,173
175108010,387,299
175108012,252,645
175109001,289,585
175109002,1420,214
175109003,195,241
175109004,562,232
175109005,320,181
175109006,252,80
175109007,417,171
175109008,698,425
175109009,993,208
175109010,169,92
175109011,372,128
175109013,172,219
175109014,287,170
175109016,142,142
175109017,526,246
175109018,215,406
175109019,757,218
175109020,265,88
175109021,212,47
175109022,251,106
175109023,171,105
175109024,311,164
175110001,65,271
175110002,57,112
175110003,939,116
175110004,41,46
175110005,45,39
175110006,59,4
175110007,152,6
175110008,87,2
175110009,251,18
175110010,48,0
175110011,56,4
175110012,47,0
175110013,258,594
175110014,239,179
175110015,1107,279
175110016,3,87
175110017,183,123
175110018,1593,211
175110019,62,110
175110020,1156,568
175110021,52,289
175110022,58,39
175110023,22,73
175110024,520,108
175110025,270,174
175110026,1014,148
175110027,364,126
175110028,526,106
175110029,326,285
175110030,660,581
175110031,580,612
175110032,188,482
175110033,26,196
175110034,1577,137
175110035,37,372
175110037,420,496
175110038,187,101
175110039,2107,160
175111001,509,431
175111002,1038,1168
175111003,429,612
175111004,320,567
175111006,337,637
175111007,819,335
175111008,1101,1435
175111009,615,125
175111010,493,245
175111011,602,204
175111012,314,257
175201001,245,39
175201002,180,170
175201004,75,28
175201005,191,65
175201006,242,56
175201007,269,70
175201008,245,278
175201010,103,42
175201011,51,32
175201012,253,207
175201013,93,64
175201014,234,76
175201015,208,31
175201016,149,51
175201017,55,38
175201018,51,18
