psgc_brgy,own_use_faucet_community_water_system,shared_faucet_commmunity_water_system,own_use_tubed_or_piped_well,shared_tubed_or_piped_well,dug_well,spring_river_streat_etc,collected_rainfall,peddler
175102001,61,51,318,150,7,2,0,0
175102002,11,3,426,258,9,10,0,0
175102003,19,18,69,81,31,99,0,0
175102004,48,33,539,301,0,0,0,0
175102005,119,22,770,463,9,8,0,0
175102006,124,95,68,49,13,206,0,0
175102007,18,12,408,249,8,7,0,0
175103001,243,3,0,0,5,0,0,0
175103002,189,117,4,7,35,0,0,0
175103003,14,33,0,12,56,0,0,0
175103004,132,56,0,2,26,2,0,0
175103005,13,19,1,10,127,0,0,0
175103006,126,23,0,0,0,1,0,0
175103007,88,20,0,3,12,0,0,0
175103008,79,12,0,0,3,1,0,0
175103009,150,58,9,23,79,2,0,0
175104001,240,37,0,0,2,2,0,0
175104002,24,3,0,2,216,2,173,1
175104003,160,19,0,0,2,0,0,0
175104004,486,43,11,8,72,0,0,0
175104005,666,7,16,5,78,0,0,2
175104006,348,15,5,3,191,8,2,1
175104007,335,41,1,1,11,0,0,0
175104008,349,11,1,26,22,6,0,3
175104009,21,1,0,0,1,2,0,0
175104010,110,0,0,0,1,0,0,0
175104011,95,9,1,0,0,0,0,0
175104012,92,14,1,0,1,0,0,0
175104013,110,1,0,1,1,0,0,0
175104014,243,7,0,1,4,0,0,0
175104015,97,0,0,0,1,0,0,0
175104016,99,1,0,0,0,0,0,0
175105001,1,50,8,44,260,44,5,48
175105003,7,5,5,191,295,6,0,37
175105004,2,58,10,51,101,3,0,1
175105005,55,101,16,38,193,2,0,1
175105006,47,51,15,10,115,1,0,2
175105007,27,81,13,50,142,4,1,2
175105008,48,102,10,41,168,103,2,1
175105009,14,23,32,23,252,179,0,0
175105010,352,141,57,181,715,15,0,14
175105011,36,34,0,32,323,185,1,1
175105012,120,238,1,31,86,4,0,1
175105013,13,23,11,64,113,6,0,49
175106001,33,31,361,578,282,33,0,2
175106002,17,18,104,152,56,5,0,1
175106003,289,127,403,502,384,5,0,0
175106004,13,5,37,95,94,14,0,12
175106005,23,12,203,147,96,23,0,2
175106006,15,14,108,233,154,8,0,0
175106007,109,213,209,438,252,66,3,0
175106008,49,21,5,6,7,0,0,0
175106009,159,77,88,111,3,1,0,0
175106010,28,6,3,16,2,0,0,0
175106011,57,28,9,18,10,0,0,0
175106012,37,10,1,25,14,0,0,0
175106013,56,40,2,19,8,0,0,0
175106014,158,116,3,23,69,0,0,0
175106015,100,63,20,27,10,3,0,0
175107001,10,21,3,9,118,89,0,0
175107002,14,52,7,15,98,25,0,0
175107003,12,2,4,6,108,1,0,0
175107004,0,2,0,27,121,92,0,0
175107005,20,8,26,27,162,13,0,4
175107006,2,0,6,72,258,12,0,0
175107007,0,1,2,1,65,2,0,0
175107008,6,8,22,23,79,8,0,0
175107009,12,1,20,6,66,1,0,0
175107010,0,1,11,10,19,0,0,0
175107011,3,0,41,18,72,3,0,0
175107012,2,4,7,72,175,106,1,6
175108001,93,132,149,284,24,2,1,1
175108002,68,94,141,185,25,11,0,2
175108003,124,65,185,115,31,11,0,1
175108004,193,70,439,155,4,4,0,0
175108005,68,48,187,135,18,2,0,0
175108006,87,30,246,86,41,3,0,0
175108007,140,169,252,152,48,6,0,0
175108008,50,55,194,149,10,2,0,0
175108009,90,53,190,93,4,4,0,2
175108010,78,52,366,182,8,0,0,0
175108012,97,283,182,146,37,151,0,1
175109001,125,205,190,233,10,109,0,2
175109002,803,246,288,236,28,21,0,12
175109003,118,68,75,71,3,100,1,0
175109004,161,41,493,94,1,4,0,0
175109005,128,40,193,117,19,4,0,0
175109006,24,7,210,89,2,0,0,0
175109007,149,56,308,72,3,0,0,0
175109008,281,174,389,279,0,0,0,0
175109009,402,100,375,320,3,1,0,0
175109010,40,12,148,57,2,2,0,0
175109011,131,36,91,56,3,182,0,1
175109013,48,25,80,60,6,158,1,13
175109014,97,8,264,79,2,6,0,1
175109016,41,54,111,76,0,2,0,0
175109017,136,14,475,113,3,30,0,1
175109018,47,21,329,186,18,18,0,2
175109019,151,41,468,257,2,56,0,0
175109020,67,39,168,78,1,0,0,0
175109021,62,16,152,29,0,0,0,0
