province_or_city,position,name,nickname,party_affiliation,votes_obtained
Bulacan,Representative - 2nd District,"Pancho, Pedro Matias",Pedring,Puwersa ng Masang Pilipino,122975
Bulacan,Representative - 3rd District,"Silverio, Lorna Cillan",Tita Lorna,Lakas-Christian Muslim Democrats,105152
Bulacan,Representative - 4th District,"Nicolas, Reylina Gestuvo",Neneng,Lakas-Christian Muslim Democrats,154850
Bulacan-San Jose Del Monte City,Representative - Lone District,"Roquero, Eduardo Valenzuela",Dr. Roquero,Lakas-Christian Muslim Democrats,48523
Cagayan,Representative - 1st District,"Ponce Enrile, Juan Jr. Castaner",Jack Enrile,Nationalist People's Coalition,75531
Cagayan,Representative - 2nd District,"Vargas, Florencio Liquigan",Enciong,Puwersa ng Masang Pilipino,53524
Cagayan,Representative - 3rd District,"Mamba, Manuel Noveno",Manny,Lakas-Christian Muslim Democrats,77102
Camarines Norte,Representative - Lone District,"Unico, Renato Jr. Jalgalado",Kuya Jojo,Lakas-Christian Muslim Democrats,83420
Camarines Sur,Representative - 1st District,"Andaya, Rolando Jr. Gutierrez",Nonoy,Liberal Party,98600
Camarines Sur,Representative - 2nd District,"Villafuerte, Luis Robredo",Louie,Lakas-Christian Muslim Democrats,81604
Camarines Sur,Representative - 3rd District,"Fuentebella, Arnulfo Palma",Noli,Nationalist People's Coalition,59944
Camarines Sur,Representative - 4th District,"Alfelor, Felix Jr. Rigoroso",Nancing,Lakas-Christian Muslim Democrats,72400
Camiguin,Representative - Lone District,"Romualdo, Jesus Jurdin Modina",Jj,Nationalist People's Coalition,31549
Capiz,Representative - 1st District,"Dadivas, Rodriguez Dadivas",Roging,Liberal Party,90754
Capiz,Representative - 2nd District,"Castro, Fredenil Hernaez",Oto,Liberal Party,95906
Catanduanes,Representative - Lone District,"Santiago, Joseph Aldea",Jas,Nationalist People's Coalition,48643
Cavite,Representative - 1st District,"Abaya, Joseph Emilio Aguinaldo",Jun,Liberal Party,144409
Cavite,Representative - 2nd District,"Remulla, Gilbert Cesar Catibayan",Gilbert,Laban ng Demokratikong Pilipino,256299
Cavite,Representative - 3rd District,"Remulla, Jesus Crispin Catibayan",Boying,Laban ng Demokratikong Pilipino/MAGDALO,85765
Cebu,Representative - 1st District,"Gullas, Eduardo Rivera",Eddie,Nacionalista Party ,135533
Cebu,Representative - 2nd District,"Kintanar, Simeon Lucero",Sim K,Nationalist People's Coalition,86604
Cebu,Representative - 3rd District,"Yapha, Antonio Jr. Pono",Jhun,Nationalist People's Coalition,120377
Cebu,Representative - 4th District,"Martinez, Clavel Asas",Clavel,Independentependent,115446
Cebu,Representative - 5th District,"Durano, Joseph Felix Mari Hotchkiss",Ace,Nationalist People's Coalition,114128
Cebu,Representative - 5th District,"Durano, Ramon VI Hotchkiss",Red,Lakas-Christian Muslim Democrats,113589
Cebu,Representative - 6th District,"Ruiz, Nerissa Corazon Soon",Independentay Nerry,Nationalist People's Coalition,139454
Compostella Valley,Representative - 1st District,"Zamora, Manuel Esquivel",Waykurat,Lakas-Christian Muslim Democrats,74068
Compostella Valley,Representative - 2nd District,"Amatong, Prospero Sybico",Pros,Lakas-Christian Muslim Democrats,77225
Cotabato- North,Representative - 1st District,"Talino-Santos, Emmylou Jacolo",Lala,Independentependent,137466
Cotabato- North,Representative - 2nd District,"Ipong, Gregorio Tocmo",Dodong,Nationalist People's Coalition,175826
Davao Del Norte,Representative - 1st District,"Olano, Arrel Reyes",Rel,Lakas-Christian Muslim Democrats,75738
Davao Del Norte,Representative - 2nd District,"Floirendo, Antonio Jr. Del Rosario",Tony Boy,Lakas-Christian Muslim Democrats,135466
Davao Del Sur,Representative - 1st District,"Cagas, Douglas Ralota",Dodo,Nationalist People's Coalition,140950
Davao Del Sur,Representative - 2nd District,"Bautista, Claude Peralta",Auding,Nationalist People's Coalition,72978
Davao Oriental,Representative - 1st District,"Malanyaon, Corazon Nunez",Cora,Nationalist People's Coalition,41766
Davao Oriental,Representative - 2nd District,"Almario, Joel Mayo Zosa",Mayo,Lakas-Christian Muslim Democrats,51677
Eastern Samar,Representative - Lone District,"Libanan, Marcelino Chicano",Nonoy,Nationalist People's Coalition,98844
Guimaras,Representative - Lone District,"Espinosa, Edgar Tico",Ed,Lakas-Christian Muslim Democrats,26599
Ifugao,Representative - Lone District,"Chungalao, Solomon Ramirez",Sol,Liberal Party,41880
Ilocos Norte,Representative - 1st District,"Ablan, Roque Jr. R",Roque,Lakas-Christian Muslim Democrats,65464
Ilocos Norte,Representative - 2nd District,"Marcos, Ma Imelda Romualdez",Imee,Kilusang Bagong LipUnited Nationalist Alliancen,21751
Ilocos Sur,Representative - 1st District,"Baterina, Salacnib Figueras",Nib,Lakas-Christian Muslim Democrats,71443
Ilocos Sur,Representative - 2nd District,"Singson, Eric Dario",Eric,Liberal Party,114045
Iloilo,Representative - 1st District,"Garin, Janette Loreto",Janette,Lakas-Christian Muslim Democrats,89950
Iloilo,Representative - 2nd District,"Syjuco, Augusto Jr. Limcaco",Boboy,Lakas-Christian Muslim Democrats,59775
Iloilo,Representative - 3rd District,"Defensor, Arthur Doligosa",Art,Lakas-Christian Muslim Democrats,106414
Iloilo,Representative - 4th District,"Biron, Ferjenel Gonzales",Ferj,Kabalikat ng Malayang Pilipino,82636
Iloilo,Representative - 5th District,"Suplico, Rolex Tupas",Rolex,Laban ng Demokratikong Pilipino,109987
Iloilo- Iloilo City,Representative - Lone District,"Gonzalez, Raul Jr. Trinidad",Jun,Lakas-Christian Muslim Democrats,68254
Isabela,Representative - 1st District,"Albano, Rodolfo III Taguinod",Rodito,Nationalist People's Coalition,93628
Isabela,Representative - 2nd District,"Uy, Edwin Callangan",Edwin,Lakas-Christian Muslim Democrats,66476
Isabela,Representative - 3rd District,"Dy, Faustino III De Guzman",Bojie,Nationalist People's Coalition,87497
Isabela,Representative - 4th District,"Miranda, Anthony Castillo",Tony,Partido ng Demokratikong Pilipino-Lakas-Christian Muslim Democrats ng Bayan,65543
Kalinga,Representative - Lone District,"Wacnang, Lawrence Bagtang",Larry,Liberal Party/Lakas-Christian Muslim Democrats,49859
La Union,Representative - 1st District,"Ortega, Manuel Campos",Manoling,Nationalist People's Coalition,116521
La Union,Representative - 2nd District,"Dumpit, Tomas Meana",Tom,Lakas-Christian Muslim Democrats/Nationalist People's Coalition,78653
LagUnited Nationalist Alliance,Representative - 1st District,"Joaquin, Uliran Tee",Oly,Nationalist People's Coalition,166558
LagUnited Nationalist Alliance,Representative - 2nd District,"Chipeco, Justin San Buenaventura",Timmy,Laban ng Demokratikong Pilipino,155760
LagUnited Nationalist Alliance,Representative - 3rd District,"Bueser, Danton Quijano",Danton,Liberal Party,143377
LagUnited Nationalist Alliance,Representative - 4th District,"Agarao, Benjamin Jr. Cueto",Benjie,Laban ng Demokratikong Pilipino,64685
Lanao Del Norte,Representative - 1st District,"Badelles, Alipio Cirilo Villacorta",Tikbong,Nationalist People's Coalition,126792
Lanao Del Norte,Representative - 2nd District,"Dimaporo, Abdullah Dimakuta",Bobby,Lakas-Christian Muslim Democrats,97689
Lanao Del Sur,Representative - 1st District,"Dumarpa, Faysah Maniri",Fay,Lakas-Christian Muslim Democrats,43286
Lanao Del Sur,Representative - 2nd District,"Macarambon, Benasing Jr. Onayan",Jun,Nationalist People's Coalition,41774
Leyte,Representative - 1st District,"Petilla, Remedios Loreto",Matin,Lakas-Christian Muslim Democrats,94317
Leyte,Representative - 2nd District,"Apostol, Trinidad Go",Ebbie,Lakas-Christian Muslim Democrats,71217
Leyte,Representative - 3rd District,"Veloso, Eduardo Kintana",Ed Lining,Nationalist People's Coalition,28884
Leyte,Representative - 4th District,"Codilla, Eufrocino Sr. Mejares",Dodong,Lakas-Christian Muslim Democrats,83416
Leyte,Representative - 5th District,"Cari, Carmen Loreto",Men/Maam,Lakas-Christian Muslim Democrats,84021
MaguIndependentanao,Representative - 1st District,"Dilangalen, Bai Sendig Guimba",Baizeny,Puwersa ng Masang Pilipino,58971
MaguIndependentanao,Representative - 2nd District,"Datumanong, Simeon Ampatuan",Sim,Lakas-Christian Muslim Democrats,126473
MarIndependentuque,Representative - Lone District,"Reyes, Edmundo Jr. Ongsiako",Pareng Edmund,Lakas-Christian Muslim Democrats,79465
Masbate,Representative - 1st District,"Bravo, Narciso Jr. Recio",Bong,Nationalist People's Coalition,23327
Masbate,Representative - 2nd District,"Espinosa, Emilio Jr. Dela Rosa",Miling,INA-Nationalist People's Coalition,51356
Masbate,Representative - 3rd District,"Seachon, Rizalina Lim",Dayanlina,Nationalist People's Coalition,42480
Misamis Occidental,Representative - 1st District,"Clarete, Ernie Dulalas",Nie,Reporma-LM,64423
Misamis Occidental,Representative - 2nd District,"Ramiro, Hermina De Mesa",Hermie,Lakas-Christian Muslim Democrats,81942
Misamis Oriental,Representative - 1st District,"Lagbas, Danilo Penalosa",Danny,KNacionalista Party /Laban ng Demokratikong Pilipino,65653
Misamis Oriental,Representative - 2nd District,"Baculio, Augusto Hojas",Jun,Lakas-Christian Muslim Democrats,103283
Mountain Province,Representative - Lone District,"Dominguez, Victor Sicado",Vic,Independentependent,20155
"NCR-4th District, Las Pinas",Representative - Lone District,"Aguilar-Villar, Cynthia Ampaya",Cav,Nacionalista Party,165529
"NCR-4th District, Makati",Representative - 1st District,"Locsin, Teodoro Jr. Lopez",Teddy Boy,Partido ng Demokratikong Pilipino-Lakas-Christian Muslim Democrats ng Bayan,96765
"NCR-4th District, Makati",Representative - 2nd District,"Aquino , Agapito Aquino",Butz,Laban ng Demokratikong Pilipino,86937
"NCR-4th District, Muntinlupa",Representative - Lone District,"Biazon, Rozzano Rufino BUnited Oppositionan",Ruffy,Liberal Party,98738
"NCR-4th District, Paranaque",Representative - 1st District,"Zialcita, Eduardo Castro",Edza,Lakas-Christian Muslim Democrats,27309
"NCR-4th District, Paranaque",Representative - 2nd District,"Golez, Roilo Solis",Roy,Kabalikat ng Malayang Pilipino,61403
"NCR-4th District, Pasay",Representative - Lone District,"Dy, Consuelo Azarcon",Connie,Lakas-Christian Muslim Democrats,87552
"NCR-4th District, Taguig",Representative - Lone District,"Cayetano, Alan Peter Schramm",Compañero,Lakas-Christian Muslim Democrats,117778
NCR- Manila,Representative - 1st District,"Nieva, Ernesto Acheco",Banzai,Liberal Party,120570
NCR- Manila,Representative - 2nd District,"Lopez, Jaime Campos",Jim,Lakas-Christian Muslim Democrats,46495
NCR- Manila,Representative - 3rd District,"Roces, Miles Mari",Miles,Liberal Party,6347
NCR- Manila,Representative - 4th District,"Bacani, Rodolfo Cruz",Rudy,Liberal Party,56713
NCR- Manila,Representative - 5th District,"Hizon, Joey Dungao",Joey,Laban ng Demokratikong Pilipino,65524
NCR- Manila,Representative - 6th District,"Abante, Bienvenido Jr. Mirando",Benny,Lakas-Christian Muslim Democrats,41241
"NCR-2nd District, Mandaluyong",Representative - Lone District,"Abalos, Benjamin Jr. De Castro",Benhur,Lakas-Christian Muslim Democrats,78505
"NCR-2nd District, Marikina",Representative - Lone District,"De Guzman, Del Reyes",Del,Lakas-Christian Muslim Democrats,70789
"NCR-2nd District, Pasig",Representative - Lone District,"Jaworski, Robert Vincent Jude Bautista",Dodot,Lakas-Christian Muslim Democrats,70592
"NCR-2nd District, Quezon City",Representative - 1st District,"Crisologo, Vincent Pichay",Bingbong,Laban ng Demokratikong Pilipino,58077
"NCR-2nd District, Quezon City",Representative - 2nd District,"Susano, Mary Ann Laborero",Annie Rosa,Lakas-Christian Muslim Democrats,137894
"NCR-2nd District, Quezon City",Representative - 3rd District,"Defensor, Matias Jr. V",Mat,Liberal Party,52092
"NCR-2nd District, Quezon City",Representative - 4th District,"Daza, Nanette Castelo",Nanette,Lakas-Christian Muslim Democrats,80379
"NCR-2nd District, San Juan City",Representative - Lone District,"Zamora, Ronaldo Bayan",Ronny,Independentependent,26705
"NCR-3rd District, Caloocan City",Representative - 1st District,"Malapitan, Oscar Gonzales",Oca,Laban ng Demokratikong Pilipino,96306
"NCR-3rd District, Caloocan City",Representative - 2nd District,"Asistio, Luis Aquino",Baby,Nationalist People's Coalition,62312
"NCR-3rd District, Valenzuela City",Representative - 1st District,"Carlos, Jose Emmanuel Lozada",Bobbit,Lakas-Christian Muslim Democrats,31546
"NCR-3rd District, Valenzuela City",Representative - 2nd District,"Serapio, Antonio Maceda",Tony,Nationalist People's Coalition,34006
"NCR-3rd District, Navotas City",Representative - Lone District,"Sandoval, Federico II Soteco",Ricky,Liberal Party,118645
Negros Occidental,Representative - 1st District,"Carmona, Tranquilino Broce",Quiling,Nationalist People's Coalition/United Nationalist Alliance,70274
Negros Occidental,Representative - 2nd District,"Maranon, Alfredo III Dalisay",Thirdy,Nationalist People's Coalition-United Nationalist Alliance,70397
Negros Occidental,Representative - 3rd District,"Lacson, Jose Carlos Ventosa",Kako,Lakas-Christian Muslim Democrats/United Nationalist Alliance,117753
Negros Occidental,Representative - 4th District,"Cojuangco, Carlos Oppen",Charlie,Nationalist People's Coalition/United Nationalist Alliance,81825
Negros Occidental,Representative - 5th District,"Arroyo, Ignacio Tuason",Iggy,Kabalikat ng Malayang Pilipino,66933
Negros Occidental,Representative - 6th District,"Alvarez, Genaro Rafael III Kho",G.R.,Nationalist People's Coalition,90850
"Negros Occidental, Bacolod City",Representative - Lone District,"Puentevella, Monico Ogtong",Monico,Lakas-Christian Muslim Democrats,102753
Negros Oriental,Representative - 1st District,"Paras, Jacinto Villegas",Jing,Lakas-Christian Muslim Democrats,84486
Negros Oriental,Representative - 2nd District,"Macias, Emilio II Cabrera",Dodo,Nationalist People's Coalition,87678
Negros Oriental,Representative - 3rd District,"Teves, Herminio Guivelondo",Meniong,Lakas-Christian Muslim Democrats,67261
Northern Samar,Representative - 1st District,"Abayon, Harlin Castillo",Boy,Liberal Party,63902
Northern Samar,Representative - 2nd District,"Vicencio, Romualdo Tafalla",Romy,Lakas-Christian Muslim Democrats,50073
Nueva Ecija,Representative - 1st District,"Joson, Josefina Manuel",Josie,Bagong Lakas-Christian Muslim Democrats ng Nueva Ecija-Nationalist People's Coalition,115824
Nueva Ecija,Representative - 2nd District,"Violago, Eleuterio Rueda",Eling,Lakas-Christian Muslim Democrats,98191
Nueva Ecija,Representative - 3rd District,"Umali, Aurelio Matias",Oyie,Lakas-Christian Muslim Democrats,135685
Nueva Ecija,Representative - 4th District,"Antonino, Rodolfo Rudy Welborn",Rody,BALANE/Nationalist People's Coalition,104328
Nueva Vizcaya,Representative - Lone District,"Agbayani, Rodolfo Quirino",Rudy,Laban ng Demokratikong Pilipino,64224
Occidental MIndependentoro,Representative - Lone District,"Villarosa, Ma Amelita Calimbas",Girlie,Lakas-Christian Muslim Democrats,61582
Oriental MIndependentoro,Representative - 1st District,"Valencia, Rodolfo Garong",Rgv,Liberal Party,60736
Oriental MIndependentoro,Representative - 2nd District,"Umali, Alfonso Jr. Villar",P.A.,Liberal Party,56423
Palawan,Representative - 1st District,"Alvarez, Antonio Chaves",Tony,Lakas-Christian Muslim Democrats,65300
Palawan,Representative - 2nd District,"Mitra, Abraham Kahlil Blanco",Baham,Liberal Party,109268
Pampanga,Representative - 1st District,"Nepomuceno, Francis Lumanlan",Blueboy Nepo,Nationalist People's Coalition,101219
Pampanga,Representative - 2nd District,"Arroyo, Juan Miguel Macapagal",Mikey,Lakas-Christian Muslim Democrats,140580
Pampanga,Representative - 3rd District,"Aquino, Jesus Reynaldo Bondoc",Rey,Lakas-Christian Muslim Democrats,84342
Pampanga,Representative - 4th District,"Bondoc, Anna York Puyat",Dra. Ana,Nationalist People's Coalition,85791
Pangasinan,Representative - 1st District,"Celeste, Arthur Del Pierro",Arth,Lakas-Christian Muslim Democrats,96225
Pangasinan,Representative - 2nd District,"Espino, Amado Jr. Totaan",Espines,Nationalist People's Coalition,101892
Pangasinan,Representative - 3rd District,"Tulagan, Generoso Dela Cruz",Gener,Nationalist People's Coalition,119421
Pangasinan,Representative - 4th District,"De Venecia, Jose Jr. Claveria",Joe,Lakas-Christian Muslim Democrats,139127
Pangasinan,Representative - 5th District,"Cojuangco, Marcos Oppen",Mark,Nationalist People's Coalition,145126
Pangasinan,Representative - 6th District,"Estrella, Conrado III M",Conrad,Nationalist People's Coalition,105119
Quezon,Representative - 1st District,"Nantes, Rafael Puchero",Raffy,Liberal Party,14368
Quezon,Representative - 2nd District,"Alcala, Proceso Jaraza",Procy,Liberal Party,75791
Quezon,Representative - 3rd District,"Suarez, Danilo Etorma",Danny,Liberal Party,83462
Quezon,Representative - 4th District,"Tanada, Lorenzo III Reyes",Erin,Liberal Party,94813
Quirino,Representative - Lone District,"Cua, Junie Evangelista",Junie,Liberal Party,53365
Rizal,Representative - 1st District,"Duavit, Michael John Roy",Jack,Nationalist People's Coalition,140433
Rizal,Representative - 2nd District,"Rodriguez, Isidro Jr. Santos",Jun,Nationalist People's Coalition,126761
"Rizal, Antipolo City",Representative - 1st District,"PUnited Opposition, Ronaldo Villanueva",Ronnie,Lakas-Christian Muslim Democrats,49176
"Rizal, Antipolo City",Representative - 2nd District,"Sumulong, Victor Rodriguez",Vic,Lakas-Christian Muslim Democrats,40031
Romblon,Representative - Lone District,"Firmalo, Eduardo Chang",Lolong,Laban ng Demokratikong Pilipino,57025
Samar- Western,Representative - 1st District,"Uy, Reynaldo Sano",Ining,Liberal Party,65748
Samar- Western,Representative - 2nd District,"Figueroa, Catalino Villlamor",Cata,Laban ng Demokratikong Pilipino,74078
Sarangani,Representative - Lone District,"Chiongbian, Erwin Lopong",Erwin,Lakas-Christian Muslim Democrats,79592
Siquijor,Representative - Lone District,"Fua, Orlando Jr. Anoos",Shane,Lakas-Christian Muslim Democrats,26158
Sorsogon,Representative - 1st District,"Escudero, Francis Joseph Guevara",Francis,Nationalist People's Coalition,78151
Sorsogon,Representative - 2nd District,"Solis, Jose Guyala",Joey,Lakas-Christian Muslim Democrats,47549
South Cotabato,Representative - 1st District,"Antonino-Custodio, Darlene Magnolia Ricasa",Darlene Antonino,Nationalist People's Coalition-AIM,160820
South Cotabato,Representative - 2nd District,"Pingoy, Arthur Jr. Yusay",Dodo,Nationalist People's Coalition,140891
Southern Leyte,Representative - Lone District,"Mercado, Roger Gaviola",Oging,Lakas-Christian Muslim Democrats,99984
Sultan Kudarat,Representative - Lone District,"Mangudadatu, Suharto Tan",Teng,Lakas-Christian Muslim Democrats,101701
Sulu,Representative - 1st District,"Amin, Hussin Ututalum",Iting,Lakas-Christian Muslim Democrats,52147
Sulu,Representative - 2nd District,"Arbison, Abdulmunir Mundoc",Munir,Lakas-Christian Muslim Democrats,37575
Surigao Del Norte,Representative - 1st District,"Ecleo, Glenda Buray",Mommy Glen,Lakas-Christian Muslim Democrats,43020
Surigao Del Norte,Representative - 2nd District,"Barbers, Robert Ace Smith",Ace,Lakas-Christian Muslim Democrats,101788
Surigao Del Sur,Representative - 1st District,"Pichay, Prospero Jr. Arreza",Butch,Lakas-Christian Muslim Democrats,71583
Surigao Del Sur,Representative - 2nd District,"Falcon, Peter Paul Jed Cosmiano",Jed,Nationalist People's Coalition,38588
Tarlac,Representative - 1st District,"Teodoro, Gilberto Jr. Cojuangco",Gilbert,Nationalist People's Coalition,111068
Tarlac,Representative - 2nd District,"Aquino, Benigno Simeon III Cojuangco",Noynoy,Liberal Party,139018
Tarlac,Representative - 3rd District,"Lapuz, Jesli Aquino",Jesli,Nationalist People's Coalition,91323
Tawi-Tawi,Representative - Lone District,"Abubakar, Hj Anuar Julkanain",Hadj,Independentependent,37720
Zambales,Representative - 1st District,"Magsaysay, Maria Milagros Habana",Mitos,Independentependent,78387
Zambales,Representative - 2nd District,"Diaz, Antonio Magsaysay",Buenas Diaz,Aksyon Demokratiko,60083
Zamboanga Del Norte,Representative - 1st District,"Carreon, Cecilia Jalosjos",Cely,Philippine Democratic Socialist Party,68998
Zamboanga Del Norte,Representative - 2nd District,"Barinaga, Roseller Lara",Matoy,Nationalist People's Coalition,73424
Zamboanga Del Norte,Representative - 3rd District,"Jalosjos, Cesar Garcia",Sar,Puwersa ng Masang Pilipino,72060
Zamboanga Del Sur,Representative - 1st District,"Real, Isidro Jr. Eleo",Jun,Lakas-Christian Muslim Democrats,107742
Zamboanga Del Sur,Representative - 2nd District,"Cerilles, Antonio Herrera",Tony,Nationalist People's Coalition,75628
"Zamboanga Del Sur, Zamboanga City",Representative - Lone District,"Fabian, Erico Basilio Apolinario",Erbie,Laban ng Demokratikong Pilipino,113152
"Zamboanga, Sibugay",Representative - Lone District,"Cabilao, Belma Arellano",Bel,Lakas-Christian Muslim Democrats,94809
