geographical distribution,region,country_or_province,type_of_financial_institution,30 Jun 2012_Total,30 Jun 2012_Demand,30 Jun 2012_Savings,30 Jun 2012_Time,30 Jun 2012_Others,31 Dec 2012_Total,31 Dec 2012_Demand,31 Dec 2012_Savings,31 Dec 2012_Time,31 Dec 2012_Others
Philippine Banking System Total,Philippine Banking System Total,Philippine Banking System Total,Philippine Banking System Total,"5,345,293.61","1,072,121.56","2,548,941.48","1,680,168.40","44,062.17","5,697,658.95","1,146,092.58","2,776,840.99","1,722,678.01","52,047.37"
Philippine Banking System,Philippine Banking System,Philippine Banking System,Universal and Commercial Bank Group Total,"4,734,380.62","1,027,282.07","2,326,177.52","1,337,258.94","43,662.09","5,097,471.69","1,106,759.67","2,552,923.38","1,386,134.15","51,654.50"
Philippine Banking System,Philippine Banking System,Philippine Banking System,Thrift Bank Group Total,"500,664.87","41,824.93","152,718.47","305,857.85",263.634,"496,071.35","37,019.97","156,953.26","301,845.48",252.646
Philippine Banking System,Philippine Banking System,Philippine Banking System,Rural and Cooperative Bank Group Total,"110,248.12","3,014.57","70,045.49","37,051.62",136.442,"104,115.91","2,312.94","66,964.36","34,698.38",140.227
Geographical Distribution (Overseas) Total,Geographical Distribution (Overseas) Total,Geographical Distribution (Overseas) Total,Geographical Distribution (Overseas) Total,"16,569.78","1,392.26","12,325.88","2,851.64",0,"8,696.61","1,411.87","3,424.92","3,859.82",0
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Geographical Distribution (Overseas) Total,Universal and Commercial Banks,"16,569.78","1,392.26","12,325.88","2,851.64",0,"8,696.61","1,411.87","3,424.92","3,859.82",0
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Geographical Distribution (Overseas) Total,Thrift Banks,0,0,0,0,0,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Geographical Distribution (Overseas) Total,Rural and Cooperative Banks,0,0,0,0,0,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Europe,Europe Total,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Europe,Universal and Commercial Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Europe,Thrift Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Europe,Rural and Cooperative Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Asia,Asia Total,"15,477.97",909.827,"12,192.26","2,375.88",0,"6,691.72","1,059.12","3,192.94","2,439.67",0
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Asia,Universal and Commercial Banks,"15,477.97",909.827,"12,192.26","2,375.88",0,"6,691.72","1,059.12","3,192.94","2,439.67",0
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Asia,Thrift Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Asia,Rural and Cooperative Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,North America,North America Total,"1,091.81",482.436,133.613,475.756,0,"2,004.88",352.752,231.98,"1,420.15",0
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,North America,Universal and Commercial Banks,"1,091.81",482.436,133.613,475.756,0,"2,004.88",352.752,231.98,"1,420.15",0
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,North America,Thrift Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,North America,Rural and Cooperative Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Australia (Asia Pacific),Australia (Asia Pacific) Total,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Australia (Asia Pacific),Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Australia (Asia Pacific),Thrift Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Australia (Asia Pacific),Rural and Cooperative Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Middle East Asia,Middle East Asia Total,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Middle East Asia,Universal and Commercial Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Middle East Asia,Thrift Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Overseas),Geographical Distribution (Overseas) Total,Middle East Asia,Rural and Cooperative Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Domestic),Geographical Distribution (Domestic),Geographical Distribution (Domestic),Geographical Distribution (Domestic) Total,"5,328,723.83","1,070,729.30","2,536,615.60","1,677,316.76","44,062.17","5,688,962.35","1,144,680.71","2,773,416.08","1,718,818.19","52,047.37"
Geographical Distribution (Domestic),Geographical Distribution (Domestic),Middle East Asia,Universal and Commercial Banks,"4,717,810.84","1,025,889.81","2,313,851.65","1,334,407.30","43,662.09","5,088,775.09","1,105,347.80","2,549,498.46","1,382,274.33","51,654.50"
Geographical Distribution (Domestic),Geographical Distribution (Domestic),Middle East Asia,Thrift Banks,"500,664.87","41,824.93","152,718.47","305,857.85",263.634,"496,071.35","37,019.97","156,953.26","301,845.48",252.646
Geographical Distribution (Domestic),Geographical Distribution (Domestic),Middle East Asia,Rural and Cooperative Banks,"110,248.12","3,014.57","70,045.49","37,051.62",136.442,"104,115.91","2,312.94","66,964.36","34,698.38",140.227
Geographical Distribution (Domestic),National Capital Region (NCR),National Capital Region (NCR),National Capital Region (NCR) Total,"3,581,173.38","685,583.07","1,540,046.69","1,312,302.24","43,241.39","3,852,353.41","728,851.25","1,714,788.18","1,357,524.35","51,189.64"
Geographical Distribution (Domestic),National Capital Region (NCR),National Capital Region (NCR),Universal and Commercial Banks,"3,219,622.58","657,698.11","1,449,727.46","1,068,984.22","43,212.79","3,502,955.05","705,470.26","1,623,532.23","1,122,780.60","51,171.96"
Geographical Distribution (Domestic),National Capital Region (NCR),National Capital Region (NCR),Thrift Banks,"347,019.35","27,695.70","86,156.63","233,139.18",27.836,"336,602.30","23,225.72","88,043.14","225,315.76",17.678
Geographical Distribution (Domestic),National Capital Region (NCR),National Capital Region (NCR),Rural and Cooperative Banks,"14,531.45",189.259,"4,162.59","10,178.84",0.765,"12,796.06",155.269,"3,212.80","9,427.99",-
Geographical Distribution (Domestic),National Capital Region (NCR),Manila,Manila Total,"566,192.99","95,557.96","285,450.39","184,520.37",664.276,"618,351.06","106,325.76","334,487.08","176,849.21",689.024
Geographical Distribution (Domestic),National Capital Region (NCR),Manila,Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),National Capital Region (NCR),Manila,Thrift Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),National Capital Region (NCR),Manila,Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),National Capital Region (NCR),Mandaluyong City,Mandaluyong City Total,"130,033.84","20,285.80","59,098.39","50,642.86",6.786,"144,713.39","22,396.98","68,229.74","54,080.12",6.546
Geographical Distribution (Domestic),National Capital Region (NCR),Mandaluyong City,Universal and Commercial Banks,"122,984.99","19,596.04","56,543.10","46,839.06",6.786,"139,169.56","21,840.19","65,825.64","51,497.19",6.546
Geographical Distribution (Domestic),National Capital Region (NCR),Mandaluyong City,Thrift Banks,"5,444.87",684.058,"1,850.10","2,910.71",0,"4,640.51",551.042,"1,871.98","2,217.50",-
Geographical Distribution (Domestic),National Capital Region (NCR),Mandaluyong City,Rural and Cooperative Banks,"1,603.98",5.699,705.187,893.097,0,903.316,5.748,532.13,365.438,-
Geographical Distribution (Domestic),National Capital Region (NCR),Marikina City,Marikina City Total,"31,068.55","5,799.66","16,748.33","8,517.48",3.077,"31,874.97","6,412.70","16,987.34","8,472.02",2.903
Geographical Distribution (Domestic),National Capital Region (NCR),Marikina City,Universal and Commercial Banks,"25,216.20","5,289.03","14,769.66","5,155.07",2.442,"26,315.72","5,947.57","15,106.43","5,258.82",2.903
Geographical Distribution (Domestic),National Capital Region (NCR),Marikina City,Thrift Banks,"5,459.50",508.986,"1,623.64","3,326.87",0,"5,346.82",463.089,"1,671.15","3,212.59",-
Geographical Distribution (Domestic),National Capital Region (NCR),Marikina City,Rural and Cooperative Banks,392.852,1.646,355.03,35.541,0.635,212.429,2.045,209.765,0.619,-
Geographical Distribution (Domestic),National Capital Region (NCR),Pasig City,Pasig City Total,"242,038.70","49,958.03","83,353.51","108,714.24",12.932,"279,593.92","45,738.09","96,249.64","137,592.38",13.802
Geographical Distribution (Domestic),National Capital Region (NCR),Pasig City,Universal and Commercial Banks,"209,064.80","47,455.16","74,758.21","86,838.50",12.932,"244,934.45","43,585.56","88,191.46","113,143.63",13.802
Geographical Distribution (Domestic),National Capital Region (NCR),Pasig City,Thrift Banks,"32,540.84","2,494.22","8,255.78","21,790.84",0,"34,213.13","2,144.19","7,728.54","24,340.40",-
Geographical Distribution (Domestic),National Capital Region (NCR),Pasig City,Rural and Cooperative Banks,433.054,8.645,339.511,84.899,0,446.34,8.349,329.631,108.36,-
Geographical Distribution (Domestic),National Capital Region (NCR),Quezon City,Quezon City Total,"565,120.86","111,891.19","282,289.64","170,844.28",95.743,"592,371.90","126,004.99","303,856.29","162,417.88",92.746
Geographical Distribution (Domestic),National Capital Region (NCR),Quezon City,Universal and Commercial Banks,"499,865.69","104,611.71","261,453.22","133,705.32",95.444,"528,689.07","120,121.84","283,283.95","125,190.64",92.627
Geographical Distribution (Domestic),National Capital Region (NCR),Quezon City,Thrift Banks,"65,013.62","7,275.84","20,738.93","36,998.69",0.17,"63,612.65","5,879.76","20,506.04","37,226.74",0.119
Geographical Distribution (Domestic),National Capital Region (NCR),Quezon City,Rural and Cooperative Banks,241.545,3.644,97.496,140.276,0.129,70.184,3.394,66.29,0.5,0
Geographical Distribution (Domestic),National Capital Region (NCR),San Juan City,San Juan City Total,"84,495.70","16,996.83","35,808.52","31,682.89",7.456,"91,671.18","18,616.65","42,856.26","30,193.30",4.97
Geographical Distribution (Domestic),National Capital Region (NCR),San Juan City,Universal and Commercial Banks,*,*,*,*,*,"79,412.94","17,380.47","37,863.30","24,164.19",4.97
Geographical Distribution (Domestic),National Capital Region (NCR),San Juan City,Thrift Banks,*,*,*,*,*,"12,258.24","1,236.18","4,992.96","6,029.10",-
Geographical Distribution (Domestic),National Capital Region (NCR),San Juan City,Rural and Cooperative Banks,*,*,*,*,*,-,-,-,-,-
Geographical Distribution (Domestic),National Capital Region (NCR),Caloocan City,Caloocan City Total,"78,128.95","13,458.66","37,469.94","27,190.08",10.278,"83,650.31","16,144.73","40,188.76","27,307.83",8.983
Geographical Distribution (Domestic),National Capital Region (NCR),Caloocan City,Universal and Commercial Banks,"65,106.19","12,578.62","32,729.87","19,787.42",10.278,"69,829.93","15,451.14","36,478.08","17,891.73",8.983
Geographical Distribution (Domestic),National Capital Region (NCR),Caloocan City,Thrift Banks,"12,573.38",878.997,"4,646.35","7,048.04",0,"13,366.67",692.555,"3,614.56","9,059.55",-
Geographical Distribution (Domestic),National Capital Region (NCR),Caloocan City,Rural and Cooperative Banks,449.378,1.039,93.718,354.621,0,453.71,1.039,96.119,356.552,-
Geographical Distribution (Domestic),National Capital Region (NCR),Malabon City,Malabon City Total,"21,825.56","3,701.97","11,675.15","6,445.65",2.795,"22,516.61","4,329.78","11,747.16","6,437.04",2.626
Geographical Distribution (Domestic),National Capital Region (NCR),Malabon City,Universal and Commercial Banks,"18,983.63","3,412.63","10,832.19","4,736.01",2.795,"20,157.02","4,128.59","10,848.15","5,177.66",2.626
Geographical Distribution (Domestic),National Capital Region (NCR),Malabon City,Thrift Banks,"2,841.94",289.336,842.958,"1,709.64",0,"2,359.60",201.194,899.017,"1,259.38",-
Geographical Distribution (Domestic),National Capital Region (NCR),Malabon City,Rural and Cooperative Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Domestic),National Capital Region (NCR),Navotas City,Navotas City Total,"8,979.61","1,933.78","4,669.83","2,375.46",0.553,"8,505.20","1,813.65","4,618.99","2,071.59",0.979
Geographical Distribution (Domestic),National Capital Region (NCR),Navotas City,Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),National Capital Region (NCR),Navotas City,Thrift Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),National Capital Region (NCR),Navotas City,Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),National Capital Region (NCR),Valenzuela City,Valenzuela City Total,"31,998.19","6,715.77","16,712.49","8,563.30",6.633,"33,946.16","7,533.27","17,633.84","8,772.59",6.464
Geographical Distribution (Domestic),National Capital Region (NCR),Valenzuela City,Universal and Commercial Banks,"28,143.28","6,273.51","15,533.63","6,329.51",6.633,"30,134.65","7,233.35","16,227.94","6,666.89",6.464
Geographical Distribution (Domestic),National Capital Region (NCR),Valenzuela City,Thrift Banks,"3,724.03",442.262,"1,062.89","2,218.88",0,"3,667.12",299.927,"1,277.70","2,089.49",-
Geographical Distribution (Domestic),National Capital Region (NCR),Valenzuela City,Rural and Cooperative Banks,130.881,0,115.969,14.912,0,144.403,-,128.195,16.208,-
Geographical Distribution (Domestic),National Capital Region (NCR),Las Pinas City,Las Pinas City Total,"38,085.99","5,726.32","17,027.33","15,303.29",29.046,"37,563.12","5,689.23","17,244.37","14,596.67",32.848
Geographical Distribution (Domestic),National Capital Region (NCR),Las Pinas City,Universal and Commercial Banks,"30,705.18","5,083.24","14,408.44","11,194.53",18.962,"30,302.44","5,194.96","14,887.59","10,197.78",22.117
Geographical Distribution (Domestic),National Capital Region (NCR),Las Pinas City,Thrift Banks,"6,764.47",642.628,"2,540.47","3,571.29",10.084,"6,634.39",493.553,"2,269.68","3,860.43",10.732
Geographical Distribution (Domestic),National Capital Region (NCR),Las Pinas City,Rural and Cooperative Banks,616.337,0.454,78.413,537.47,0,626.291,0.721,87.112,538.457,-
Geographical Distribution (Domestic),National Capital Region (NCR),Makati City,Makati City Total,"1,438,211.79","259,781.49","533,246.88","609,150.05","36,033.36","1,523,984.74","257,097.02","589,068.91","633,871.39","43,947.42"
Geographical Distribution (Domestic),National Capital Region (NCR),Makati City,Universal and Commercial Banks,"1,298,274.87","253,128.87","511,992.65","497,122.03","36,031.33","1,386,545.90","250,777.14","564,996.37","526,827.87","43,944.52"
Geographical Distribution (Domestic),National Capital Region (NCR),Makati City,Thrift Banks,"130,325.93","6,542.15","19,671.20","104,110.55",2.037,"128,078.19","6,212.71","22,695.59","99,166.99",2.904
Geographical Distribution (Domestic),National Capital Region (NCR),Makati City,Rural and Cooperative Banks,"9,610.99",110.478,"1,583.03","7,917.48",0,"9,360.65",107.17,"1,376.95","7,876.53",-
Geographical Distribution (Domestic),National Capital Region (NCR),Muntinlupa City,Muntinlupa City Total,"66,798.48","16,350.00","29,848.83","20,596.19",3.458,"67,154.45","17,074.11","33,183.10","16,893.80",3.438
Geographical Distribution (Domestic),National Capital Region (NCR),Muntinlupa City,Universal and Commercial Banks,"56,036.77","15,299.88","25,424.92","15,308.51",3.458,"56,854.98","15,763.27","28,766.61","12,321.67",3.438
Geographical Distribution (Domestic),National Capital Region (NCR),Muntinlupa City,Thrift Banks,"10,628.91","1,047.51","4,398.14","5,183.26",0,"10,166.55","1,309.68","4,389.34","4,467.53",-
Geographical Distribution (Domestic),National Capital Region (NCR),Muntinlupa City,Rural and Cooperative Banks,132.799,2.608,25.771,104.42,0,132.916,1.163,27.154,104.599,-
Geographical Distribution (Domestic),National Capital Region (NCR),Paranaque City,Paranaque City Total,"97,237.58","15,922.78","56,353.69","24,930.01",31.09,"101,028.78","17,451.43","57,647.17","25,890.70",39.482
Geographical Distribution (Domestic),National Capital Region (NCR),Paranaque City,Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),National Capital Region (NCR),Paranaque City,Thrift Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),National Capital Region (NCR),Paranaque City,Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),National Capital Region (NCR),Pasay City,Pasay City Total,"73,946.13","16,530.70","33,311.19","17,770.82","6,333.42","90,047.22","18,129.08","38,158.81","27,423.47","6,335.87"
Geographical Distribution (Domestic),National Capital Region (NCR),Pasay City,Universal and Commercial Banks,"70,109.67","16,126.71","31,696.70","15,952.84","6,333.42","86,779.05","17,750.78","36,935.86","25,756.53","6,335.87"
Geographical Distribution (Domestic),National Capital Region (NCR),Pasay City,Thrift Banks,"3,836.45",403.985,"1,614.49","1,817.98",0,"3,268.18",378.293,"1,222.94","1,666.94",-
Geographical Distribution (Domestic),National Capital Region (NCR),Pasay City,Rural and Cooperative Banks,-,-,-,-,-,-,-,-,-,-
Geographical Distribution (Domestic),National Capital Region (NCR),Pateros,Pateros Total,"3,974.48",449.404,"2,351.19","1,173.89",0,"4,094.20",523.195,"2,482.60","1,088.40",-
Geographical Distribution (Domestic),National Capital Region (NCR),Pateros,Universal and Commercial Banks,"2,666.16",321.029,"1,757.19",587.937,0,"2,865.84",374.507,"1,946.13",545.199,-
Geographical Distribution (Domestic),National Capital Region (NCR),Pateros,Thrift Banks,960.611,110.524,305.313,544.775,0,951.188,142.411,304.413,504.363,-
Geographical Distribution (Domestic),National Capital Region (NCR),Pateros,Rural and Cooperative Banks,347.712,17.851,288.683,41.177,0,277.173,6.276,232.061,38.836,-
Geographical Distribution (Domestic),National Capital Region (NCR),Taguig City,Taguig City Total,"103,035.99","44,522.72","34,631.40","23,881.38",0.477,"121,286.21","57,570.59","40,148.11","23,565.97",1.532
Geographical Distribution (Domestic),National Capital Region (NCR),Taguig City,Universal and Commercial Banks,"99,867.55","44,036.97","33,383.58","22,446.53",0.477,"119,204.26","57,172.95","39,385.99","22,643.79",1.532
Geographical Distribution (Domestic),National Capital Region (NCR),Taguig City,Thrift Banks,"2,726.19",449.81,870.02,"1,406.36",0,"2,003.51",379.01,724.204,900.294,-
Geographical Distribution (Domestic),National Capital Region (NCR),Taguig City,Rural and Cooperative Banks,442.242,35.942,377.804,28.496,0,78.44,18.632,37.918,21.89,-
Geographical Distribution (Domestic),Region I (Ilocos Region),Region I (Ilocos Region),Region I (Ilocos Region) Total,"101,383.51","17,510.66","61,985.24","21,860.69",26.926,"107,319.77","19,173.01","66,965.26","21,146.94",34.557
Geographical Distribution (Domestic),Region I (Ilocos Region),Region I (Ilocos Region),Universal and Commercial Banks,"86,678.56","16,700.26","54,129.40","15,821.98",26.916,"92,924.44","18,410.26","59,121.69","15,358.94",33.557
Geographical Distribution (Domestic),Region I (Ilocos Region),Region I (Ilocos Region),Thrift Banks,"7,659.42",580.62,"3,112.36","3,966.44",0,"7,688.62",556.449,"3,238.26","3,893.92",-
Geographical Distribution (Domestic),Region I (Ilocos Region),Region I (Ilocos Region),Rural and Cooperative Banks,"7,045.53",229.773,"4,743.48","2,072.27",0.01,"6,706.70",206.304,"4,605.32","1,894.08",1
Geographical Distribution (Domestic),Region I (Ilocos Region),Ilocos Norte,Ilocos Norte Total,"16,321.47","2,827.42","9,811.92","3,677.81",4.331,"16,977.57","2,974.65","10,437.60","3,563.02",2.294
Geographical Distribution (Domestic),Region I (Ilocos Region),Ilocos Norte,Universal and Commercial Banks,"14,821.97","2,764.50","9,235.31","2,817.83",4.331,"15,533.86","2,918.43","9,880.54","2,732.60",2.294
Geographical Distribution (Domestic),Region I (Ilocos Region),Ilocos Norte,Thrift Banks,"1,052.83",59.425,373.439,619.969,0,"1,071.26",53.389,386.934,630.939,-
Geographical Distribution (Domestic),Region I (Ilocos Region),Ilocos Norte,Rural and Cooperative Banks,446.67,3.492,203.173,240.005,0,372.445,2.833,170.132,199.48,-
Geographical Distribution (Domestic),Region I (Ilocos Region),Ilocos Sur,Ilocos Sur Total,"17,091.94","2,810.58","10,795.76","3,484.30",1.307,"18,517.13","3,245.47","11,923.56","3,346.30",1.806
Geographical Distribution (Domestic),Region I (Ilocos Region),Ilocos Sur,Universal and Commercial Banks,"15,577.13","2,785.19","10,012.96","2,777.69",1.297,"16,969.77","3,199.80","11,085.41","2,682.76",1.806
Geographical Distribution (Domestic),Region I (Ilocos Region),Ilocos Sur,Thrift Banks,673.411,14.264,338.088,321.059,0,725.121,28.387,404.982,291.752,-
Geographical Distribution (Domestic),Region I (Ilocos Region),Ilocos Sur,Rural and Cooperative Banks,841.403,11.128,444.714,385.551,0.01,822.233,17.285,433.166,371.782,-
Geographical Distribution (Domestic),Region I (Ilocos Region),La Union,La Union Total,"18,114.53","3,976.13","10,361.91","3,773.79",2.689,"19,121.63","4,396.71","11,110.78","3,611.61",2.535
Geographical Distribution (Domestic),Region I (Ilocos Region),La Union,Universal and Commercial Banks,"15,334.31","3,711.59","8,775.58","2,844.45",2.689,"16,517.20","4,164.88","9,568.48","2,781.30",2.535
Geographical Distribution (Domestic),Region I (Ilocos Region),La Union,Thrift Banks,791.29,119.924,245.985,425.381,0,781.013,107.532,281.428,392.054,-
Geographical Distribution (Domestic),Region I (Ilocos Region),La Union,Rural and Cooperative Banks,"1,988.93",144.62,"1,340.35",503.961,0,"1,823.43",124.303,"1,260.87",438.252,-
Geographical Distribution (Domestic),Region I (Ilocos Region),Pangasinan,Pangasinan Total,"49,855.57","7,896.53","31,015.65","10,924.79",18.599,"52,703.44","8,556.18","33,493.32","10,626.02",27.922
Geographical Distribution (Domestic),Region I (Ilocos Region),Pangasinan,Universal and Commercial Banks,"40,945.15","7,438.99","26,105.56","7,382.01",18.599,"43,903.62","8,127.15","28,587.26","7,162.28",26.922
Geographical Distribution (Domestic),Region I (Ilocos Region),Pangasinan,Thrift Banks,"5,141.89",387.008,"2,154.85","2,600.03",0,"5,111.23",367.142,"2,164.91","2,579.17",-
Geographical Distribution (Domestic),Region I (Ilocos Region),Pangasinan,Rural and Cooperative Banks,"3,768.53",70.534,"2,755.25",942.75,0,"3,688.60",61.884,"2,741.15",884.569,1
Geographical Distribution (Domestic),Region II (Cagayan Valley),Region II (Cagayan Valley),Region II (Cagayan Valley) Total,"59,627.73","15,636.69","35,748.73","8,238.49",3.823,"62,639.42","17,620.41","37,367.23","7,646.12",5.657
Geographical Distribution (Domestic),Region II (Cagayan Valley),Region II (Cagayan Valley),Universal and Commercial Banks,"50,973.32","15,352.17","29,562.40","6,054.92",3.823,"54,004.69","17,265.08","31,401.75","5,332.70",5.157
Geographical Distribution (Domestic),Region II (Cagayan Valley),Region II (Cagayan Valley),Thrift Banks,"2,698.23",162.11,"2,038.42",497.71,0,"2,698.66",223.73,"1,853.66",621.27,-
Geographical Distribution (Domestic),Region II (Cagayan Valley),Region II (Cagayan Valley),Rural and Cooperative Banks,"5,956.18",122.417,"4,147.91","1,685.86",0,"5,936.08",131.596,"4,111.83","1,692.16",0.5
Geographical Distribution (Domestic),Region II (Cagayan Valley),Batanes,Batanes Total,782.015,480.003,297.522,4.489,0,979.139,591.557,382.92,4.663,0
Geographical Distribution (Domestic),Region II (Cagayan Valley),Batanes,Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region II (Cagayan Valley),Batanes,Thrift Banks,-,-,-,-,-, - , - , - , - , - 
Geographical Distribution (Domestic),Region II (Cagayan Valley),Batanes,Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region II (Cagayan Valley),Cagayan,Cagayan Total,"19,885.99","5,298.18","11,974.00","2,613.10",0.708,"20,647.52","5,546.09","12,511.78","2,588.48",1.17
Geographical Distribution (Domestic),Region II (Cagayan Valley),Cagayan,Universal and Commercial Banks,"18,168.15","5,214.74","10,768.78","2,183.92",0.708,"18,950.67","5,446.40","11,369.37","2,133.73",1.17
Geographical Distribution (Domestic),Region II (Cagayan Valley),Cagayan,Thrift Banks,846.744,78.628,651.118,116.997,0,876.935,94.161,647.468,135.307,0
Geographical Distribution (Domestic),Region II (Cagayan Valley),Cagayan,Rural and Cooperative Banks,871.094,4.811,554.102,312.181,0,819.918,5.533,494.94,319.445,0
Geographical Distribution (Domestic),Region II (Cagayan Valley),Isabela,Isabela Total,"28,963.36","7,108.45","17,690.78","4,161.94",2.184,"30,691.52","8,566.35","18,436.19","3,686.25",2.73
Geographical Distribution (Domestic),Region II (Cagayan Valley),Isabela,Universal and Commercial Banks,"24,619.19","6,962.76","14,534.06","3,120.18",2.184,"26,360.61","8,378.53","15,459.24","2,520.11",2.73
Geographical Distribution (Domestic),Region II (Cagayan Valley),Isabela,Thrift Banks,"1,385.56",72.581,"1,042.87",270.111,0,"1,311.79",109.894,842.966,358.93,0
Geographical Distribution (Domestic),Region II (Cagayan Valley),Isabela,Rural and Cooperative Banks,"2,958.61",73.107,"2,113.85",771.653,0,"3,019.12",77.934,"2,133.98",807.21,0
Geographical Distribution (Domestic),Region II (Cagayan Valley),Nueva Vizcaya,Nueva Vizcaya Total,"8,641.95","1,972.93","5,259.60","1,408.49",0.931,"9,138.11","2,367.94","5,436.94","1,331.48",1.757
Geographical Distribution (Domestic),Region II (Cagayan Valley),Nueva Vizcaya,Universal and Commercial Banks,"6,377.33","1,929.64","3,709.81",736.955,0.931,"6,888.80","2,316.74","3,906.76",664.039,1.257
Geographical Distribution (Domestic),Region II (Cagayan Valley),Nueva Vizcaya,Thrift Banks,410.702,6.323,298.859,105.519,0,424.632,10.203,290.357,124.073,0
Geographical Distribution (Domestic),Region II (Cagayan Valley),Nueva Vizcaya,Rural and Cooperative Banks,"1,853.92",36.97,"1,250.93",566.013,0,"1,824.68",40.994,"1,239.82",543.364,0.5
Geographical Distribution (Domestic),Region II (Cagayan Valley),Quirino,Quirino Total,"1,354.43",777.128,526.831,50.47,0,"1,183.13",548.471,599.41,35.253,0
Geographical Distribution (Domestic),Region II (Cagayan Valley),Quirino,Universal and Commercial Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region II (Cagayan Valley),Quirino,Thrift Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region II (Cagayan Valley),Quirino,Rural and Cooperative Banks,*,*,*,*,*,*,*,*,*,*
Geographical Distribution (Domestic),Region III (Central Luzon),Region III (Central Luzon),Region III (Central Luzon) Total,"272,357.86","44,914.47","162,576.61","64,671.42",195.368,"281,636.50","48,314.23","170,605.01","62,529.64",187.621
Geographical Distribution (Domestic),Region III (Central Luzon),Region III (Central Luzon),Universal and Commercial Banks,"221,219.64","40,810.82","137,720.87","42,640.68",47.272,"232,052.76","44,597.24","146,483.66","40,935.30",36.558
Geographical Distribution (Domestic),Region III (Central Luzon),Region III (Central Luzon),Thrift Banks,"30,047.24","3,202.03","11,677.07","15,139.92",28.213,"29,698.74","3,027.51","11,797.81","14,850.07",23.349
Geographical Distribution (Domestic),Region III (Central Luzon),Region III (Central Luzon),Rural and Cooperative Banks,"21,090.98",901.614,"13,178.67","6,890.81",119.883,"19,885.01",689.478,"12,323.54","6,744.27",127.714
Geographical Distribution (Domestic),Region III (Central Luzon),Aurora,Aurora Total,"1,466.27",521.517,853.955,90.798,0,"1,450.47",522.21,831.637,96.619,0
Geographical Distribution (Domestic),Region III (Central Luzon),Aurora,Universal and Commercial Banks,"1,124.26",516.501,596.007,11.752,0,"1,056.09",500.424,542.661,13.002,0
