offfice_special_purpose_appropriations,object_of_expenditure_1,object_of_expenditure_2,object_of_expenditure_3,account_code,past_year_current_year,current_year,budget_year
Concreting of Lorenzo Tan Barangay Road,Current Operating Expenditures,Personal Service,Salaries and Wages-Others,705,-,3200,-
Concreting of Lorenzo Tan Barangay Road,Current Operating Expenditures,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,969,-,270,-
Concreting of Lorenzo Tan Barangay Road,Current Operating Expenditures,Maintenance and Other Operating Expenses,Travel Expenes,-,-,-,-
Concreting of Lorenzo Tan Barangay Road,Current Operating Expenditures,Maintenance and Other Operating Expenses,Training and Scholarship Expenses,-,-,-,-
Concreting of Lorenzo Tan Barangay Road,Current Operating Expenditures,Maintenance and Other Operating Expenses,"Fuel, Oil and Gasoline",761,-,1031.84,86602
Concreting of Lorenzo Tan Barangay Road,Capital Outlay,Maintenance and Other Operating Expenses,Buildings and Other Structures,-,-,-,-
Concreting of Lorenzo Tan Barangay Road,Capital Outlay,Maintenance and Other Operating Expenses,Office Equipment,-,-,-,-
Concreting of Lorenzo Tan Barangay Road,Capital Outlay,Maintenance and Other Operating Expenses,Land Transport Equipment,-,-,-,-
Concreting of Lorenzo Tan Barangay Road,Capital Outlay,Maintenance and Other Operating Expenses,"Roads, Highways and Bridges",251,-,234165,84280
Concreting of Lorenzo Tan Barangay Road,Financial Expenses,Financial Expenses,Financial Expenses,-,-,-,-
Concreting of Lorenzo Tan Barangay Road,Total Appropriations,Total Appropriations,Total Appropriations,-,-,238666.84,170882
Hoyohoy Highland Botanical Garden Access Road,Current Operating Expenditures,Personal Service,Salaries and Wages-Regular,-,-,-,-
Hoyohoy Highland Botanical Garden Access Road,Current Operating Expenditures,Personal Service,Salaries and Wages-Others,705,-,-,111500
Hoyohoy Highland Botanical Garden Access Road,Current Operating Expenditures,Maintenance and Other Operating Expenses,Maintenance and Other Operating Expenses,969,-,-,157531.8
Hoyohoy Highland Botanical Garden Access Road,Current Operating Expenditures,Maintenance and Other Operating Expenses,Travel Expenes,-,-,-,-
Hoyohoy Highland Botanical Garden Access Road,Current Operating Expenditures,Maintenance and Other Operating Expenses,Training and Scholarship Expenses,-,-,-,-
Hoyohoy Highland Botanical Garden Access Road,Current Operating Expenditures,Maintenance and Other Operating Expenses,"Fuel, Oil and Gasoline",761,-,104652,762738
Hoyohoy Highland Botanical Garden Access Road,Capital Outlay,Maintenance and Other Operating Expenses,Buildings and Other Structures,-,-,-,-
Hoyohoy Highland Botanical Garden Access Road,Capital Outlay,Maintenance and Other Operating Expenses,Office Equipment,-,-,-,-
Hoyohoy Highland Botanical Garden Access Road,Capital Outlay,Maintenance and Other Operating Expenses,Land Transport Equipment,-,-,-,-
Hoyohoy Highland Botanical Garden Access Road,Capital Outlay,Maintenance and Other Operating Expenses,"Roads, Highways and Bridges",251,-,-,2447495
Hoyohoy Highland Botanical Garden Access Road,Financial Expenses,Financial Expenses,Financial Expenses,-,-,-,-
Hoyohoy Highland Botanical Garden Access Road,Total Appropriations,Total Appropriations,Total Appropriations,-,-,104652,3479264.8
"Multi-Purpose Building (Phase II), Maloro Tangub City",Current Operating Expenditures,Personal Service,Salaries and Wages-Regular,-,-,-,-
"Multi-Purpose Building (Phase II), Maloro Tangub City",Current Operating Expenditures,Personal Service,Salaries and Wages-Others,705,-,-,23800
"Multi-Purpose Building (Phase II), Maloro Tangub City",Current Operating Expenditures,Maintenance and Other Operating Expenses,Travel Expenes,-,-,-,-
"Multi-Purpose Building (Phase II), Maloro Tangub City",Current Operating Expenditures,Maintenance and Other Operating Expenses,Training and Scholarship Expenses,-,-,-,-
"Multi-Purpose Building (Phase II), Maloro Tangub City",Current Operating Expenditures,Maintenance and Other Operating Expenses,"Fuel, Oil and Gasoline",761,-,-,19936.8
"Multi-Purpose Building (Phase II), Maloro Tangub City",Capital Outlay,Maintenance and Other Operating Expenses,Buildings and Other Structures,-,-,-,-
"Multi-Purpose Building (Phase II), Maloro Tangub City",Capital Outlay,Maintenance and Other Operating Expenses,Office Equipment,-,-,-,-
"Multi-Purpose Building (Phase II), Maloro Tangub City",Capital Outlay,Maintenance and Other Operating Expenses,Land Transport Equipment,-,-,-,-
"Multi-Purpose Building (Phase II), Maloro Tangub City",Financial Expenses,Financial Expenses,Financial Expenses,-,-,-,-
"Multi-Purpose Building (Phase II), Maloro Tangub City",Total Appropriations,Total Appropriations,Total Appropriations,-,-,-,43736.8
Tugas-Guinabot Farm to Market Road,Current Operating Expenditures,Personal Service,Salaries and Wages-Regular,-,-,-,-
Tugas-Guinabot Farm to Market Road,Current Operating Expenditures,Personal Service,Salaries and Wages-Others,-,-,-,-
Tugas-Guinabot Farm to Market Road,Current Operating Expenditures,Maintenance and Other Operating Expenses,Travel Expenes,-,-,-,-
Tugas-Guinabot Farm to Market Road,Current Operating Expenditures,Maintenance and Other Operating Expenses,Training and Scholarship Expenses,-,-,-,-
Tugas-Guinabot Farm to Market Road,Current Operating Expenditures,Maintenance and Other Operating Expenses,"Fuel, Oil and Gasoline",761,-,57958.18,-
Tugas-Guinabot Farm to Market Road,Capital Outlay,Maintenance and Other Operating Expenses,Buildings and Other Structures,-,-,-,-
Tugas-Guinabot Farm to Market Road,Capital Outlay,Maintenance and Other Operating Expenses,Office Equipment,-,-,-,-
Tugas-Guinabot Farm to Market Road,Capital Outlay,Maintenance and Other Operating Expenses,Land Transport Equipment,-,-,-,-
Tugas-Guinabot Farm to Market Road,Capital Outlay,Maintenance and Other Operating Expenses,"Roads, Highways and Bridges",251,-,2442041.82,984986.84
Tugas-Guinabot Farm to Market Road,Financial Expenses,Financial Expenses,Financial Expenses,-,-,-,-
Tugas-Guinabot Farm to Market Road,Total Appropriations,Total Appropriations,Total Appropriations,-,-,2500000,984986.84
