program_or_project_1,program_or_project_2,program_or_project_3,location,date_started,actual_cost,budget_appropriated
Infrastructure Sector,Public Infrastructure,Repair and Improvement of footbridge,Caburacanan,11/5/2012,907663.72,907663.72
Infrastructure Sector,Public Infrastructure,Irrigation service road rehabilitation,Suimmaya or Apo Macote,11/5/2012,6100000,6100000
Infrastructure Sector,Public Infrastructure,"Construction of drainage canal at purok 20 (NHA Phase III, Mamala Creek)",Casisang,11/7/2012,1747735.5,1747735.5
Infrastructure Sector,Public Infrastructure,Concreting of road ,Casisang,11/7/2012,2748916.23,2748916.23
Infrastructure Sector,Public Infrastructure,Concreting of road ,Casisang,11/7/2012,2766554.02,2766554.02
Infrastructure Sector,Public Infrastructure,Improvement of Covered Court-Additional fund,Manalog,11/7/2012,1214243.64,1214243.64
Infrastructure Sector,Public Infrastructure,Construction of water system at Sitio Angel,Managok,11/7/2012,466729.88,466729.88
Infrastructure Sector,Public Infrastructure,Construction of Box Culvert,Apo mAcote,11/7/2012,1817124.47,1817124.47
Infrastructure Sector,Public Infrastructure,Construction of Additionsl Niches at Malaybalay City,Casisang,11/7/2012,839236.92,839236.92
Infrastructure Sector,Public Infrastructure,Concreting of airport village E/S,Casisang,11/20/2012,420000,420000
Infrastructure Sector,Public Infrastructure,Construction of road based organization building,San Martin,11/21/2012,522235.29,522235.29
Infrastructure Sector,Public Infrastructure,Excavation Crek channel and cleaning of landslide at Sitio Panamucan,San Jose,11/21/2012,522235.29,522235.29
Local Admin Sector,Loan Entity Amortization,Loan Entity Amortization,-,-,-,22259758.2
Local Admin Sector,Loan Entity Amortization,Payment of Loan Amortization for November 2012,-,10/23/2012,4604976.63,-
Grand Total,Grand Total,Grand Total,-,-,76510582.3,76510582.3
