program_or_project_1,program_or_project_2,location,total_cost,date_started,target_completion_date,project_status_%_of_completion,project_status_total_cost_incurred_to_date,no_of_extensions_if_any,remarks
Environmental Development,Implementation of Flood and Erosion Control Project,"Labor and materials - desilting of Sulong Creek from shell gas station to Balos River, San Roque-San Francisco, Iriga City",545450.25,4/30/2014,5/14/2014,100,545450.25,-,-
Environmental Development,Other Environmental Management Project,Various vegetable seedlings,295550,4/8/2014,4/11/2014,100,295550,-,-
Environmental Development,Other Environmental Management Project,Supply of hybrid palay seeds,295800,4/8/2014,4/11/2014,100,290000,-,-
Environmental Development,Other Environmental Management Project,Various tree seedling,297885,4/8/2014,4/11/2014,100,297885,-,-
Environmental Development,Other Environmental Management Project,Various tree seedling distributed to different barangays in Iriga City,298000,5/2/2014,5/11/2014,100,298000,-,-
Environmental Development,Other Environmental Management Project,Various agricultural tools and vegetable seedings,297500,5/6/2014,5/12/2014,100,297500,-,-
Environmental Development,Other Environmental Management Project,Dumpsite materials,69290,6/3/2014,7/10/2014,0.75,51967.5,-,-
Environmental Development,Other Environmental Management Project,Various inputs (fertilizers),295500,6/4/2014,6/11/2014,100,295500,-,-
Environmental Development,Other Environmental Management Project,fogging materials (Anti-Dengue Campaign),296085,6/30/2014,7/7/2014,0.1003,38359,-,-
Environmental Development,Other Environmental Management Project,Vegetable seeds for Barangay Demo purposes,299985,5/14/2014,5/19/2014,100,297500,-,-
Grand Total,Grand Total,Grand Total,15232523.17,-,-,-,14486950.03,-,-
