municipality/city,position,name,nickname,party_affiliation,votes_obtained
City of Muntinlupa,Councilor-2nd District,"Espeleta, Elmer Simundac",Elmer,United Nationalist Party,37194
City of Muntinlupa,Councilor-2nd District,"Sevilla, Rafael Talplacido",Raffy-Rapido,United Nationalist Party,35706
City of Muntinlupa,Councilor-2nd District,"Ulanday, Vergel Cervantes",Ulanday,United Nationalist Party,35692
City of Muntinlupa,Councilor-2nd District,"Abas, Robert Arevalo",Bet,United Nationalist Party,35619
City of Muntinlupa,Councilor-2nd District,"Baes, Roberto Palomar",Robert,United Nationalist Party,33329
City of Paranaque,City Mayor,"Olivarez, Edwin De Leon",Edwin,Liberal Party,115851
City of Paranaque,City Vice-Mayor,"Golez, Jose Enrico Toledo",Rico,United Nationalist Party,118217
City of Paranaque,Councilor-1st District,"Webb, Jason Pagaspas",Jason,United Nationalist Party,53898
City of Paranaque,Councilor-1st District,"Nava, Roselle Paulino",Roselle,United Nationalist Party,51566
City of Paranaque,Councilor-1st District,"Velasco, Raquel Gabriel",Raquel,United Nationalist Party,48409
City of Paranaque,Councilor-1st District,"Densing, Joan Villafuerte",Bantay Bata,Liberal Party,44331
City of Paranaque,Councilor-1st District,"Lacsamana, Venesa Moreno",Alma,Liberal Party,44237
City of Paranaque,Councilor-1st District,"Inciong, Brillante Virata",Bok,United Nationalist Party,42108
City of Paranaque,Councilor-1st District,"Baes, Ricardo Jr. Lim",Eric,United Nationalist Party,42096
City of Paranaque,Councilor-1st District,"Allanigue, Rufino Mendoza",Rufing,Liberal Party,37015
City of Paranaque,Councilor-2nd District,"Sotto, Viktor Eriko Marco",Wahoo,United Nationalist Party,55137
City of Paranaque,Councilor-2nd District,"Yllana, John Ryan Garchitorena",Ryan,Puwersa ng Masang Pilipino,55081
City of Paranaque,Councilor-2nd District,"Favis, Vincent Kenneth Marasigan",Binky,United Nationalist Party,53835
City of Paranaque,Councilor-2nd District,"Amurao, Florencia Naguiat",Beng,Liberal Party,49335
City of Paranaque,Councilor-2nd District,"Antipuesto, Merlie Salian",Matudnila,United Nationalist Party,48824
City of Paranaque,Councilor-2nd District,"Esplana, Giovanni Enriquez",Juvan,United Nationalist Party,48727
City of Paranaque,Councilor-2nd District,"Mendoza, Jacqueline Bustamante",Jackie,United Nationalist Party,45072
City of Paranaque,Councilor-2nd District,"De Asis, Maritess Baylon",Tess,Liberal Party,43040
Pasay City,City Mayor,"Calixto, Antonino Gallardo",Tony,Liberal Party,119177
Pasay City,City Vice Mayor,"Pesebre, Marlon Atienza",Marlon,United Nationalist Party,88019
Pasay City,Councilor-1st District,"Santos, Mary Grace Bustonera",Grace,United Nationalist Party,49565
Pasay City,Councilor-1st District,"Roxas, Jennifer Antiquera",Jenny,Liberal Party,44973
Pasay City,Councilor-1st District,"Advincula, Richard Manansala",Richard,Liberal Party,37307
Pasay City,Councilor-1st District,"Alvina, Alberto Cerde",Abet,Liberal Party,36651
Pasay City,Councilor-1st District,"Advincula, Eduardo Ilustrisimo",Atty. Ed,Liberal Party,33263
Pasay City,Councilor-1st District,"Ibay, Lexter Navarro",Lex,Liberal Party,31824
Pasay City,Councilor-2nd District,"Panaligan, Allan Tengco",Allan,United Nationalist Party,40168
Pasay City,Councilor-2nd District,"Padua-Lopez, Aileen Cruz",Padua,Independent,37120
Pasay City,Councilor-2nd District,"Vendivel, Ian Pineda",Ian,Liberal Party,37006
Pasay City,Councilor-2nd District,"Arceo, Arnel Regino Tolentino",Moti,Liberal Party,36568
Pasay City,Councilor-2nd District,"Tolentino, Arvin Galang",Okidocbong,United Nationalist Party,35789
Pasay City,Councilor-2nd District,"Padua, Reynaldo Ordo",Rey,Liberal Party,34043
Pateros,Mayor,"Medina, Jaime Cruz",Joey,Nationalista Party,12886
Pateros,Vice-Mayor,"German, Gerald Sangalang",Gerald,Liberal Party,12229
Pateros,Councilor-1st District,"Dela Cruz, Allan Dela Cruz",Allan,Liberal Party,8080
Pateros,Councilor-1st District,"Nicdao, Jorge Lindog",Jojo,Independent,7218
Pateros,Councilor-1st District,"Villegas, Milaor Baduya",Mil,Nationalista Party,6348
Pateros,Councilor-1st District,"Mu, Rosario Ponce",Connie,Liberal Party,6113
Pateros,Councilor-1st District,"Flores, Jaime Reyes",Jimmy,Nationalista Party,5747
Pateros,Councilor-1st District,"Santos, Beatriz Jabeguero",Betty,Nationalista Party,5671
Pateros,Councilor-2nd District,"Ta, Alberto Labra",Albert,Liberal Party,6076
Pateros,Councilor-2nd District,"Ampe, Maria Kathleen Datay",Ayie,Nationalista Party,5350
Pateros,Councilor-2nd District,"Reyes, Daisy Garcia",Daisy,Nationalista Party,5074
Pateros,Councilor-2nd District,"Sanchez, Jose Jonathan Cruz",Jojo,Nationalista Party,5038
Pateros,Councilor-2nd District,"Castillo, Edgar Noel Ortega",Edgar,Nationalista Party,4867
Pateros,Councilor-2nd District,"Buenaventura, Jose Chito Espinol",Chito,Nationalista Party,4690
Taguig City,City Mayor,"Cayetano, Maria Laarni Lopez",Ate Lani,Nationalista Party,128492
Taguig City,City Vice-Mayor,"Cruz, Ricardo Jr Samonte",Ading,Nationalista Party,110033
Taguig City,Councilor-1st District,"Icay, Darwin Bernabe",Win,Nationalista Party,52830
Taguig City,Councilor-1st District,"Tanyag, Rommel Bunyi",Ome,Nationalista Party,49728
Taguig City,Councilor-1st District,"Labampa, Jaime Roldan",Jimmy,Nationalista Party,49396
Taguig City,Councilor-1st District,"San Pedro, Gamaliel Natividad",Gamie,Nationalista Party,47399
Taguig City,Councilor-1st District,"Ogalinola, Carlito Magundayao",Oga,Nationalista Party,46202
Taguig City,Councilor-1st District,"Marcelino, Rodil Carlos",Tikboy,Nationalista Party,45999
Taguig City,Councilor-1st District,"Santos, Ferdinand Beltran",Bro,Nationalista Party,42501
Taguig City,Councilor-1st District,"Santos, Delio Javier",Dingdong,Nationalista Party,40988
Taguig City,Councilor-2nd District,"Alit, Arvin Ian Villanueva",Arvin,Nationalista Party,68809
Taguig City,Councilor-2nd District,"Manalili, Erwin Gumabo",Win,Nationalista Party,59002
Taguig City,Councilor-2nd District,"Zamora, Amparo Maria Jorge",Pammy,Nationalista Party,57512
Taguig City,Councilor-2nd District,"Eron, Edwin Torre",Jojo Eron,Nationalista Party,56991
Taguig City,Councilor-2nd District,"Jordan, Richard Paul Tejero",Ric-Paul,Nationalista Party,54971
Taguig City,Councilor-2nd District,"Dizon, Noel Roman",Dboy,Nationalista Party,54475
Taguig City,Councilor-2nd District,"Gonzales, Michelle Anne Baluyut",Ate Che Che Gonzales,Kilusang Diwa ng Taguig,54014
Taguig City,Councilor-2nd District,"Supan, Maria Mher Calimag",Mher,Nationalista Party,52111
