city_municipality,position,name,nickname,party_affiliation,votes_obtained
Hagonoy,Councilor,"Alalong, Raymundo Sr. Macias",Monie,Nationalista Party/ALYANSA,8428
Hagonoy,Councilor,"Aznar, Dante Catian",Big Bro,Nationalista Party/ALYANSA,8383
Hagonoy,Councilor,"Briones, Teodulo Lausa",Dulo,Nationalista Party/ALYANSA,7361
Hagonoy,Councilor,"Palamos, Gonzalo Jr. Marquez",Butch,Nationalista Party/ALYANSA,7330
Jose Abad Santos Trinidad,Mayor,"Joyce, James Yacon",Jimmy,Liberal Party,13982
Jose Abad Santos Trinidad,Vice-Mayor,"Sioco, Ester Lachica",Ter,Liberal Party,10261
Jose Abad Santos Trinidad,Councilor,"Galias, Frank William Castro",Jay-Arr,Liberal Party,10125
Jose Abad Santos Trinidad,Councilor,"Medel, Maricelle Joyce",Cel,Independent,7305
Jose Abad Santos Trinidad,Councilor,"Castro, Roger Ang",Ogie,Liberal Party,6241
Jose Abad Santos Trinidad,Councilor,"Tayong, Louie Camacho",Wie,UNA,5961
Jose Abad Santos Trinidad,Councilor,"Guardados, Maximo Jr. Salcor",Dodong,Nationalista Party/ALYANSA,5783
Jose Abad Santos Trinidad,Councilor,"Atay, Joaquin Sr. Concordas",Jessie,Nationalista Party/ALYANSA,5566
Jose Abad Santos Trinidad,Councilor,"Dullano, Dave Arevalo",Dave,Liberal Party,5531
Jose Abad Santos Trinidad,Councilor,"Chua, Jonathan Guillermo",Jonathan,Independent,5090
Kiblawan,Mayor,"Caminero, Jaime Fuentes",Jim,PMP,9344
Kiblawan,Vice-Mayor,"Gan, Edgar Cajilig",Egay,Independent,11288
Kiblawan,Councilor,"Caminero, Ivy Parantar",Bembem,PMP,10936
Kiblawan,Councilor,"Calma, Joel De Guzman",Jojo,Independent,10583
Kiblawan,Councilor,"Brabat, Marlon Cagang",Marlon,AKBAYAN/ALYANSA,9058
Kiblawan,Councilor,"Dicdican, Victoria Micabalo",Vicvic,PMP,9023
Kiblawan,Councilor,"Salutan, Simon Canay",Simon,ALYANSA,8306
Kiblawan,Councilor,"Awing, Zacarias Sinoy",Archie,PMP,7583
Kiblawan,Councilor,"Sarona, Cipriano Ponce",Dodong,Independent,6811
Kiblawan,Councilor,"Rama, Edmundito Nacua",Edmund,Independent,6666
Magsaysay,Mayor,"Davin, Arthur Dedace",Jojo,Nationalista Party,13838
Magsaysay,Vice-Mayor,"Mejia, Donnabel Joy Ferolino",Joy Ferolino,Nationalista Party,11757
Magsaysay,Councilor,"Ambayan, Roberto Basalan",Abeth,Nationalista Party,12143
Magsaysay,Councilor,"Carampatana, Allan Pesquera",Dong,Nationalista Party,11861
Magsaysay,Councilor,"Laganse, Vevencio Calixto",Ven,Nationalista Party,11720
Magsaysay,Councilor,"Seng, Chona Dadizon",Chona,Nationalista Party,11459
Magsaysay,Councilor,"Sarande, Ronie Lagmay",Ron,Nationalista Party,11348
Magsaysay,Councilor,"Redoblado, Raffie Sumalinog",Manoy,Nationalista Party,11172
Magsaysay,Councilor,"Torate, Silverio Crodua",Verio,Nationalista Party,10617
Magsaysay,Councilor,"Cabaral, Rodel Tan",Odo,Liberal Party,10509
Malalag,Mayor,"Paras, Roel Oquialda",Oweng,Nationalista Party,9076
Malalag,Vice-Mayor,"Mejias, Anselmo Sr. Adonzo",Emong,Nationalista Party,8137
Malalag,Councilor,"Valentin, Peter Paul Tan",Peter Valtan,Nationalista Party,8927
Malalag,Councilor,"Montecillo, Mark Salanap",Makoy,Nationalista Party,8452
Malalag,Councilor,"Sasuman, Silvino Manigos",Bebing,Nationalista Party,7820
Malalag,Councilor,"Emphasis, Ervin Sarmiento",Enteng,Liberal Party,7317
Malalag,Councilor,"Abasolo, Diosdado Maneja",Dading,Nationalista Party,6323
Malalag,Councilor,"Jamila, Gemme Sajonia",Gem,Nationalista Party,6255
Malalag,Councilor,"Ondi, Marcial Jr. Carbaquel",Jun,Nationalista Party,6245
Malalag,Councilor,"Madrio, Romulito Bongcayao",Romy,Nationalista Party,6138
Malita,Mayor,"Bautista, Benjamin Jr. Peralta",Joseph,Liberal Party,38980
Malita,Vice-Mayor,"Bautista, Bradly Llido",Bradly,Liberal Party,33444
Malita,Councilor,"Bautista, Estefanie Tan",Esma,Liberal Party,31250
Malita,Councilor,"Lataban, Zaldy Salvador",Zal,Liberal Party,29513
Malita,Councilor,"Colina, Ali Jr. Guzman",Jun,Liberal Party,21930
Malita,Councilor,"Danwata, Jimmy Lukina",Jim,Liberal Party,21515
Malita,Councilor,"Malinao, Marianela Delacerna",Mayang,Liberal Party,21483
Malita,Councilor,"Danwata, Raymund Garcia",Ray/ Ray Ray,Liberal Party,19995
Malita,Councilor,"Montero, Paulito Mara","Doc Paul, Paul Montero, Doc, Paul",Independent,19911
Malita,Councilor,"Peralta, Artemio Jemino",Temy,Liberal Party,18934
Matanao,Mayor,"Fernandez, Vicente Araneta",Butch,ALYANSA,12928
Matanao,Vice-Mayor,"Javelona, Elmer Lucero",Elmer,ALYANSA,12241
Matanao,Councilor,"De Chavez, Bonifacio De Castro",Boyaks,ALYANSA,10306
Matanao,Councilor,"Panerio, Alfredo Orion",Fredo,Independent,10212
Matanao,Councilor,"Fernandez, Vincent Famor",Vinz,ALYANSA,10149
Matanao,Councilor,"Campa, Elmer Pendez",Kuya Elmer,ALYANSA,10020
Matanao,Councilor,"Duldulao, Glenn Eugenio",Bobot,Nationalist People's Coalition,8350
Matanao,Councilor,"Juban, Frederick Macolbi",Boy,ALYANSA,7917
Matanao,Councilor,"Tilud, Edgardo Diaga",Dodong,ALYANSA,7697
Matanao,Councilor,"Yangyang, David, Jr. Rodriguez",Jun,ALYANSA,7675
Padada,Mayor,"Razonable-Gascon, Gladys Aguasa",Gladys,Nationalist People's Coalition,6761
Padada,Vice-Mayor,"Morales, Alexander Villamor",Alex,Nationalista Party/ALYANSA,7871
Padada,Councilor,"Sanchez, Maruli Ali Garcia",Mokong,Nationalist People's Coalition,6514
Padada,Councilor,"Guerrero, Francisco Jr. Logronio",Frashale,Nationalist People's Coalition,6476
Padada,Councilor,"Roilo, Jo-Ann Razonable",Joy,Nationalist People's Coalition,6018
Padada,Councilor,"Delos Cientos, Carmelo Iv Marilla",Honey Boy,Nationalista Party/ALYANSA,5953
Padada,Councilor,"Carpentero, Julita Gaceta",Julie,Nationalista Party/ALYANSA,5906
Padada,Councilor,"Cesar, Joel Morales",Joel,Nationalista Party/ALYANSA,5841
Padada,Councilor,"Carvajal, Danilo Tabilon",Danny,Nationalist People's Coalition,5766
Padada,Councilor,"Matas, Edmund Galolo",Edmund,Nationalist People's Coalition,5358
Santa Cruz,Mayor,"Lopez, Joel Ray Luzano",Joel,Nationalista Party/ALYANSA,21140
Santa Cruz,Vice-Mayor,"Almendras, Alexis Cabahug",Dodong,Independent,20293
Santa Cruz,Councilor,"Lim, Mila Mapute",Mila,Nationalist People's Coalition,17506
Santa Cruz,Councilor,"Almendras, Alvin Rey Conde Villamar",Dongkoy,Nationalist People's Coalition,17389
Santa Cruz,Councilor,"Angub, Alan Balugo",Alan,Nationalista Party/ALYANSA,16415
Santa Cruz,Councilor,"Legaspi, Lolita Palmiro",Lolita,Nationalista Party/ALYANSA,15612
Santa Cruz,Councilor,"Ugdoracion, Fernando Camomot",Andy,Nationalista Party/ALYANSA,14851
Santa Cruz,Councilor,"Cruda, Ronald Ruiz",Spyke,Nationalista Party/ALYANSA,14838
Santa Cruz,Councilor,"Lao, Jaime Jr. Gudilos",Jun-Lao,Nationalista Party/ALYANSA,14164
Santa Cruz,Councilor,"Orpilla, Michelle Ondayo",Pops,Nationalist People's Coalition,14008
Santa Maria,Mayor,"Mariscal, Rudy Pacis",Rud,Liberal Party,11043
Santa Maria,Vice-Mayor,"Mariscal, George Pacis",Dodong,Liberal Party,8773
Santa Maria,Councilor,"Solo, Lino Verano",Liling,Independent,8033
Santa Maria,Councilor,"Wong, Benjamin Bantilo",Boyboy,Nationalista Party/ALYANSA,7549
Santa Maria,Councilor,"Monsad, Max Tabudan",Dodong,Liberal Party,7365
Santa Maria,Councilor,"Tubat, Veronica Davis",Ma'Am Tubat,Nationalista Party/ALYANSA,6431
Santa Maria,Councilor,"Abe, Neil Casco",Bimbo,Liberal Party,6011
Santa Maria,Councilor,"Lumain, Annalie Maglajos",Che-Che,Liberal Party,5864
Santa Maria,Councilor,"Dupitas, Charles Casco",Charles,Nationalista Party/ALYANSA,5662
Santa Maria,Councilor,"Caba, Carloman Mariscal",Caloy,Nationalista Party/ALYANSA,5370
Sarangani,Mayor,"Cawa, Virginia Tablingon",Jie,Liberal Party,6146
Sarangani,Vice-Mayor,"Cawa, Jerry Tablingon",Jer,Liberal Party,6397
Sarangani,Councilor,"Lora, Alfredo Abellana",Pedot,Liberal Party,4463
Sarangani,Councilor,"Tablingon, Sergio Uy",Sergs,Liberal Party,4459
Sarangani,Councilor,"De Arce, Adelan Barlizo",Toto,Liberal Party,4411
Sarangani,Councilor,"Esmael, Jamere Astang",Jam,Liberal Party,4396
Sarangani,Councilor,"Angin, Lorencio Badalo",Torne,Liberal Party,4374
Sarangani,Councilor,"Gomez, Windy Grace Olarte",Windy,Liberal Party,4246
Sarangani,Councilor,"Amierol, Jovanie Uy",Jojo,Nationalista Party/ALYANSA,3943
Sarangani,Councilor,"Olarte, Arturo Jr. Lagos",Jun,Liberal Party,3734
Sulop,Mayor,"Sagarino, Jose Jimmy Saranillo",Jimmy,Nationalista Party/ALYANSA,12952
Sulop,Vice-Mayor,"Villegas, Willie Sanchez",Willie,Nationalista Party/ALYANSA,12047
Sulop,Councilor,"Mondejar, Sebastian Jr. Capuyan",Jun,Nationalista Party/ALYANSA,8823
Sulop,Councilor,"Macasaet, Michael Jose Allawan",Mike,Nationalista Party/ALYANSA,8495
Sulop,Councilor,"Canubas, Jose Navales",Jocan,Nationalista Party/ALYANSA,8472
Sulop,Councilor,"Acusar, Abito Nalam",Bito,Nationalista Party/ALYANSA,8472
Sulop,Councilor,"Montecillo, Bienvenido Lumbab",Dodong,Nationalista Party/ALYANSA,8238
Sulop,Councilor,"Dapusala, Edgar Fuderanan",Gar,Nationalista Party/ALYANSA,7996
Sulop,Councilor,"Rasay, Anacleto Espa",Lito,Nationalista Party/ALYANSA,7702
Sulop,Councilor,"Tingson, Giovanni Gajo",Vanni,Nationalista Party/ALYANSA,6531
