region,lgu_name,2009,2010,2011,2012,2013,2014
Region VIII,Eastern Samar," 600,598,183.00 "," 654,483,519.00 "," 687,488,438.45 "," 670,198,067.27 "," 743,049,321.66 "," 830,844,178.20 "
Region VIII,Leyte," 1,222,716,686.36 "," 1,289,639,346.59 "," 1,356,582,817.57 "," 1,326,530,324.53 ", -   ," 1,793,424,239.07 "
Region VIII,Northern Samar," 634,799,088.65 "," 676,007,943.98 "," 739,614,385.69 "," 731,946,971.99 "," 815,278,136.91 "," 940,304,819.68 "
Region VIII,Southern Leyte," 485,556,997.98 "," 578,209,953.77 "," 695,168,870.62 "," 690,471,489.42 "," 737,763,233.17 "," 689,235,424.43 "
Region VIII,Western Samar (Samar)," 758,453,326.97 "," 808,652,543.72 "," 871,231,899.46 "," 831,487,497.78 "," 924,696,457.97 "," 1,035,893,260.13 "
Region IX,Basilan," 494,623,639.53 "," 531,913,747.09 "," 573,138,327.17 "," 548,449,770.02 "," 547,781,557.25 "," 608,185,566.32 "
Region IX,Sulu," 617,566,316.00 "," 663,067,091.00 "," 718,414,697.56 "," 684,070,615.08 "," 700,615,255.09 "," 775,470,739.09 "
Region IX,Tawi-Tawi," 513,377,830.41 "," 540,271,966.86 "," 626,846,385.16 "," 570,957,627.00 "," 570,916,123.00 "," 640,019,581.55 "
Region IX,Zamboanga Del Norte," 1,044,091,264.13 "," 1,074,926,490.64 "," 1,140,028,144.67 "," 1,095,357,700.68 "," 1,206,011,994.51 "," 1,362,766,287.99 "
Region IX,Zamboanga Del Sur," 821,239,234.00 "," 883,814,663.00 "," 946,728,682.00 "," 938,685,990.00 "," 1,054,087,254.01 "," 1,199,047,701.97 "
Region IX,Zamboanga Sibugay," 624,111,608.55 "," 625,444,134.50 "," 677,258,998.78 "," 652,109,575.87 "," 724,421,365.98 "," 823,695,592.58 "
Region X,Bukidnon," 1,379,163,272.37 "," 1,486,116,062.55 "," 1,722,414,901.98 "," 1,629,791,392.33 "," 1,746,734,339.28 "," 2,027,287,020.15 "
Region X,Camiguin," 242,717,644.50 "," 261,961,313.21 "," 289,831,398.81 "," 275,163,429.72 "," 300,116,631.40 "," 339,205,322.47 "
Region X,Lanao Del Norte," 650,176,861.13 "," 707,440,667.61 "," 796,990,279.67 "," 778,966,470.07 "," 881,078,362.96 "," 983,487,355.63 "
Region X,Misamis Occidental," 599,215,998.89 "," 650,367,848.18 "," 694,380,235.50 "," 679,793,482.02 "," 601,304,692.94 "," 850,366,183.09 "
Region X,Misamis Oriental," 767,967,483.04 "," 886,729,950.10 "," 937,440,650.55 "," 961,973,903.00 "," 949,474,718.80 "," 1,080,289,690.34 "
Region XI,Compostela Valley," 698,760,486.85 "," 760,477,232.19 "," 821,527,357.69 "," 799,269,871.91 "," 888,005,627.62 "," 998,111,233.00 "
Region XI,Davao Del Norte," 727,197,313.53 "," 775,193,756.04 "," 838,162,551.30 "," 834,117,215.96 "," 954,992,825.68 "," 1,093,747,204.17 "
Region XI,Davao Del Sur," 766,828,889.62 "," 813,617,167.15 "," 894,876,497.99 "," 878,181,219.86 "," 967,919,406.04 "," 1,078,314,447.95 "
Region XI,Davao Oriental," 696,536,068.47 "," 742,055,587.56 "," 816,113,240.04 "," 840,789,058.38 "," 849,633,860.16 "," 1,022,954,116.37 "
Region XII,Lanao Del Sur," 1,160,785,513.78 "," 1,276,007,235.85 "," 1,366,905,862.54 "," 1,302,922,835.81 "," 1,330,868,364.19 "," 1,460,872,916.08 "
Region XII,Maguindanao," 1,089,771,795.25 "," 1,101,922,444.73 "," 1,196,449,968.26 "," 1,162,252,311.81 "," 1,108,823,367.53 "," 1,192,974,376.33 "
Region XII,North Cotabato," 1,201,286,722.68 "," 1,256,650,883.24 "," 1,362,837,448.21 "," 1,369,703,784.96 "," 1,545,503,896.10 "," 1,724,003,966.30 "
Region XII,Sarangani," 554,204,747.24 "," 590,437,300.41 "," 642,012,119.87 "," 611,595,250.38 "," 675,201,525.24 "," 755,526,060.95 "
Region XII,South Cotabato," 762,090,107.20 "," 819,381,683.84 "," 899,629,696.00 "," 907,783,517.58 "," 1,016,394,387.12 "," 1,150,609,873.65 "
Region XII,Sultan Kudarat," 708,664,950.27 "," 760,578,155.06 "," 817,554,713.74 "," 785,120,349.59 "," 886,677,630.15 "," 997,211,144.28 "
Caraga,Agusan Del Norte," 513,276,891.70 "," 536,380,752.83 "," 581,498,744.13 "," 573,820,228.77 "," 627,676,028.19 "," 717,818,876.94 "
Caraga,Agusan Del Sur," 986,194,449.81 "," 1,029,288,031.05 "," 1,122,117,504.64 "," 1,113,886,036.38 "," 1,223,957,072.29 "," 1,376,863,164.15 "
Caraga,Dinagat Islands," 278,306,784.91 "," 294,708,902.42 "," 6,042,070.69 "," 23,625,001.70 "," 358,830,704.81 "," 444,939,774.99 "
Caraga,Surigao Del Norte," 504,464,794.19 "," 550,569,594.86 "," 687,348,020.17 "," 689,231,718.54 "," 717,006,798.17 "," 753,176,993.26 "
Caraga,Surigao Del Sur," 676,729,644.92 "," 734,312,285.00 "," 773,907,429.02 "," 745,011,342.95 "," 867,790,727.56 "," 935,960,217.59 "
