region,province,city_or_municipality,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage_to_total
III (Central Luzon),Aurora,Dingalan,2,1,-,1,2,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,4,-,2,4,6,25,
III (Central Luzon),Aurora,Dipaculao,-,1,-,-,1,1,2,-,3,-,2,-,1,-,1,2,3,-,3,3,3,3,3,4,8,44,
III (Central Luzon),Aurora,Maria Aurora,1,4,3,-,4,12,8,10,5,2,1,-,10,1,8,10,4,8,10,11,6,5,5,18,6,152,
III (Central Luzon),Aurora,San Luis,-,-,2,-,-,-,-,-,1,2,1,2,2,1,2,2,1,1,2,-,-,2,2,1,7,31,
IV-A (CALABARZON),Batangas,Agoncillo,4,21,26,2,21,9,35,21,15,12,3,6,12,17,10,11,26,22,55,47,39,63,91,77,65,710,
IV-A (CALABARZON),Batangas,Alitagtag,27,15,28,25,16,17,21,21,30,11,8,5,16,6,8,23,33,26,30,13,27,25,16,52,28,527,
IV-A (CALABARZON),Batangas,Balayan,42,30,25,34,24,40,43,44,44,39,12,32,22,41,50,48,54,53,68,70,74,110,118,138,160,1415,
IV-A (CALABARZON),Batangas,Balete,2,4,4,2,4,-,2,6,2,1,2,2,9,8,6,-,1,1,6,13,3,15,22,28,23,166,
IV-A (CALABARZON),Batangas,Batangas City (Capital),176,144,157,172,210,246,217,175,215,150,139,121,203,209,253,201,217,227,328,319,355,370,416,526,394,6140,
IV-A (CALABARZON),Batangas,Bauan,37,42,30,50,36,67,47,41,48,53,37,26,58,57,73,67,82,98,128,138,143,151,208,237,257,2211,
IV-A (CALABARZON),Batangas,Calaca,8,18,26,14,11,22,18,12,9,7,10,9,23,21,20,23,14,29,29,54,35,58,53,63,74,660,
IV-A (CALABARZON),Batangas,Calatagan,4,5,5,7,3,4,-,3,2,9,2,4,2,4,4,3,6,11,19,2,16,10,21,15,21,182,
IV-A (CALABARZON),Batangas,Cuenca,36,8,8,14,25,23,8,33,12,18,2,5,15,8,20,9,23,27,21,27,18,36,33,27,28,484,
IV-A (CALABARZON),Batangas,Ibaan,18,14,15,6,20,30,21,11,19,7,9,18,5,22,13,45,41,49,32,54,27,47,54,43,54,674,
IV-A (CALABARZON),Batangas,Laurel,7,2,4,7,8,10,7,1,3,4,12,1,4,6,9,4,11,7,9,11,12,20,22,28,15,224,
IV-A (CALABARZON),Batangas,Lemery,25,20,26,17,27,40,21,47,31,34,23,25,36,42,50,38,64,49,96,79,113,109,151,148,154,1465,
IV-A (CALABARZON),Batangas,Lian,27,21,33,24,11,28,23,31,10,12,7,6,27,18,23,12,9,14,23,38,35,22,47,29,33,563,
IV-A (CALABARZON),Batangas,Lipa City,133,150,201,137,177,207,237,154,168,171,113,87,156,131,159,172,238,214,240,283,286,411,429,460,452,5566,
IV-A (CALABARZON),Batangas,Lobo,18,6,20,14,4,8,9,9,10,4,8,8,7,5,4,9,11,9,11,13,8,21,23,20,16,275,
IV-A (CALABARZON),Batangas,Mabini,8,17,28,20,21,29,18,25,27,20,9,31,58,123,158,118,121,116,101,155,188,304,281,329,270,2575,
IV-A (CALABARZON),Batangas,Malvar,34,7,28,18,14,21,28,10,13,8,11,38,20,33,24,35,42,28,22,46,51,47,62,76,71,787,
IV-A (CALABARZON),Batangas,Mataas Na Kahoy,3,25,14,22,30,3,11,10,21,18,6,17,14,28,18,21,34,14,33,44,34,18,77,65,52,632,
IV-A (CALABARZON),Batangas,Nasugbu,40,32,58,44,28,43,41,53,43,27,36,35,36,45,47,43,32,60,79,90,37,75,128,101,79,1332,
IV-A (CALABARZON),Batangas,Padre Garcia,2,3,9,22,3,11,8,18,15,10,3,16,14,12,13,7,18,13,13,39,40,44,54,34,37,458,
IV-A (CALABARZON),Batangas,Rosario,30,22,54,46,26,39,45,39,38,35,12,26,23,42,44,56,48,47,63,48,61,84,91,127,91,1237,
IV-A (CALABARZON),Batangas,San Jose,45,24,32,25,33,34,56,27,36,33,14,22,31,21,38,39,30,49,58,44,50,56,38,47,69,951,
IV-A (CALABARZON),Batangas,San Juan,10,22,23,25,24,46,32,11,28,27,11,6,15,15,18,29,38,31,43,37,33,44,65,48,33,714,
IV-A (CALABARZON),Batangas,San Luis,12,13,9,6,15,6,21,20,29,12,3,7,19,34,19,9,28,21,29,24,33,40,26,51,70,556,
IV-A (CALABARZON),Batangas,San Nicolas,9,16,6,27,16,32,8,4,6,4,7,22,5,17,7,10,15,17,22,19,14,39,51,38,24,435,
IV-A (CALABARZON),Batangas,San Pascual,19,28,35,37,37,57,30,40,41,65,45,49,36,54,84,59,104,66,122,112,83,142,131,224,163,1863,
IV-A (CALABARZON),Batangas,Santa Teresita,5,7,14,27,4,9,11,10,6,4,6,2,17,10,8,10,15,15,18,31,36,32,27,40,28,392,
IV-A (CALABARZON),Batangas,Santo Tomas,39,54,64,81,59,55,72,45,54,65,32,30,45,95,54,52,62,93,125,106,127,191,198,160,211,2169,
IV-A (CALABARZON),Batangas,Taal,32,29,51,27,38,34,37,32,25,29,30,32,36,35,32,24,45,47,34,66,72,77,84,74,87,1109,
IV-A (CALABARZON),Batangas,Talisay,17,34,23,27,49,32,31,19,22,24,14,20,25,16,17,35,28,27,51,58,50,94,134,127,93,1067,
IV-A (CALABARZON),Batangas,Tanauan,112,98,64,94,109,101,110,87,93,90,49,55,91,90,116,109,135,104,114,182,169,185,218,196,228,2999,
IV-A (CALABARZON),Batangas,Taysan,15,6,6,12,12,12,8,17,5,9,12,4,4,11,14,3,16,21,15,14,17,33,27,35,17,345,
IV-A (CALABARZON),Batangas,Tingloy,-,1,-,-,-,1,-,1,2,-,-,-,-,-,2,-,-,2,1,2,1,2,-,4,-,19,
IV-A (CALABARZON),Batangas,Tuy,18,2,13,10,10,17,11,22,12,12,8,10,7,16,38,17,20,41,29,34,30,48,56,48,63,592,
IV-A (CALABARZON),Batangas,Not Reported,-,1,-,2,1,-,1,4,-,-,-,-,-,1,-,-,-,1, ,1,-,-,-,-,-,12,
IV-A (CALABARZON),Cavite,Alfonso,16,14,14,19,25,30,17,18,20,12,7,16,11,24,15,31,32,36,58,32,31,35,62,34,53,662,
IV-A (CALABARZON),Cavite,Amadeo,10,17,24,12,31,35,27,16,18,11,2,10,22,14,20,21,18,10,29,43,25,37,26,68,51,597,
IV-A (CALABARZON),Cavite,Bacoor,447,435,430,381,448,480,542,393,504,520,396,393,522,557,657,616,774,910,972,1011,908,1055,1141,1114,913,16519,
IV-A (CALABARZON),Cavite,Carmona,16,43,29,42,18,24,23,24,55,42,18,17,27,29,16,27,20,50,65,42,67,91,45,82,109,1021,
IV-A (CALABARZON),Cavite,Cavite City,543,535,562,536,466,392,492,411,435,397,267,230,303,276,208,232,305,337,285,293,218,322,339,298,271,8953,
IV-A (CALABARZON),Cavite,Dasmari nas,86,91,152,145,146,173,221,216,200,237,213,207,296,316,382,359,421,474,693,718,605,744,723,824,760,9402,
IV-A (CALABARZON),Cavite,General Mariano Alvarez,19,28,28,52,37,43,67,65,77,57,37,41,77,95,58,61,64,90,129,92,114,138,99,144,165,1877,
IV-A (CALABARZON),Cavite,General Emilio Aguinaldo,2,1,3,12,8,5,6,13,1,2,9,2,5,3,10,11,3,9,11,3,7,8,9,5,14,162,
IV-A (CALABARZON),Cavite,General Trias,90,62,111,98,125,121,114,117,125,97,75,84,85,89,109,118,159,148,206,268,250,314,333,308,342,3948,
IV-A (CALABARZON),Cavite,Imus,320,295,398,354,369,431,336,385,421,421,286,348,500,496,505,476,575,627,822,859,739,954,1022,1081,903,13923,
IV-A (CALABARZON),Cavite,Indang,21,43,42,34,45,45,41,37,46,37,28,21,39,22,32,31,20,28,55,56,43,51,46,49,85,997,
IV-A (CALABARZON),Cavite,Kawit,184,175,214,203,189,191,214,193,173,179,108,97,135,137,115,94,113,149,140,166,180,159,171,158,154,3991,
IV-A (CALABARZON),Cavite,Magallanes,-,5,3,-,14,1,6,7,11,2,3,1,1,7,2,-,4,12,4,8,1,13,4,19,13,141,
IV-A (CALABARZON),Cavite,Maragondon,24,23,18,32,8,33,42,18,33,34,14,27,22,18,20,21,19,29,33,33,23,30,50,42,26,672,
IV-A (CALABARZON),Cavite,Mendez (Mendez-Nu nez),26,36,41,30,26,45,26,31,29,16,8,10,14,24,24,26,21,14,20,29,41,44,26,45,31,683,
IV-A (CALABARZON),Cavite,Naic,125,120,148,125,123,194,148,120,157,122,134,90,109,146,113,113,172,134,195,142,104,138,171,165,155,3463,
IV-A (CALABARZON),Cavite,Noveleta,70,81,67,76,94,106,99,79,84,85,42,49,63,96,83,80,96,89,106,88,81,99,134,115,87,2149,
IV-A (CALABARZON),Cavite,Rosario,141,190,162,143,159,99,143,101,147,126,40,86,113,74,88,124,99,99,133,148,99,123,130,138,101,3006,
IV-A (CALABARZON),Cavite,Silang,63,63,84,100,101,105,113,92,81,113,97,86,95,105,137,111,131,156,175,179,165,197,240,243,291,3323,
IV-A (CALABARZON),Cavite,Tagaytay City,21,18,4,18,8,35,6,17,22,15,21,14,9,16,23,8,26,31,55,31,37,60,44,70,42,651,
IV-A (CALABARZON),Cavite,Tanza,58,71,96,123,120,98,104,79,144,85,66,97,121,133,105,126,117,141,208,212,126,191,204,197,210,3232,
IV-A (CALABARZON),Cavite,Ternate,30,7,10,15,15,25,18,33,16,21,12,9,16,15,15,17,33,23,23,15,16,51,32,13,21,501,
IV-A (CALABARZON),Cavite,Trece Martires City (Capital),10,4,8,5,15,9,5,13,3,16,11,13,23,17,34,48,37,59,88,51,51,91,79,76,98,864,
IV-A (CALABARZON),Cavite,Not Reported,1,1,2,2,1,2,2,-,-,-,-,4,1,-,1,-,-,2,1,1,-,1,-,-,-,22,
IV-A (CALABARZON),Laguna,Alaminos,33,24,19,16,23,35,41,38,47,33,30,26,29,45,65,61,72,80,89,111,123,112,88,112,94,1446,
IV-A (CALABARZON),Laguna,Bay,6,16,25,15,21,28,29,9,17,13,18,27,19,34,19,20,25,52,51,40,52,48,80,63,58,785,
IV-A (CALABARZON),Laguna,Bi nan,127,128,173,218,215,213,233,183,196,226,160,127,189,321,269,243,285,309,405,346,332,349,441,458,342,6488,
IV-A (CALABARZON),Laguna,Cabuyao,49,56,67,54,71,64,69,82,57,52,49,41,87,80,96,90,111,137,195,248,219,306,353,384,351,3368,
IV-A (CALABARZON),Laguna,Calamba,98,151,199,200,172,188,215,164,244,273,142,147,164,236,229,234,264,322,394,341,416,378,561,472,434,6638,
IV-A (CALABARZON),Laguna,Calauan,14,17,24,8,21,13,9,20,18,7,17,17,15,17,20,14,23,32,39,37,27,36,50,43,58,596,
IV-A (CALABARZON),Laguna,Cavinti,7,5,21,4,8,27,14,7,8,17,3,10,12,14,19,14,9,10,7,8,8,9,11,10,12,274,
IV-A (CALABARZON),Laguna,Famy,-,1,1,6,-,1,4,-,-,-,-,-,2,1,-,1,2,6,3,1,3,11,2,5,6,56,
IV-A (CALABARZON),Laguna,Kalayaan,9,7,7,13,3,1,3,9,9,4,3,11,3,5,9,9,8,5,3,12,15,8,9,7,12,184,
IV-A (CALABARZON),Laguna,Liliw,10,14,19,24,15,9,12,19,15,13,2,8,11,9,20,29,19,18,21,19,17,28,36,44,28,459,
IV-A (CALABARZON),Laguna,Los Ba nos,65,95,94,115,110,94,98,94,110,110,84,59,85,100,111,74,95,159,120,173,129,123,164,126,165,2752,
IV-A (CALABARZON),Laguna,Luisiana,12,9,13,9,6,8,10,10,15,17,11,5,13,8,21,7,11,18,10,26,9,20,14,13,24,319,
IV-A (CALABARZON),Laguna,Lumban,6,16,3,12,11,13,19,14,11,7,4,7,8,12,16,2,6,14,15,13,13,13,9,24,11,279,
IV-A (CALABARZON),Laguna,Mabitac,5,7,7,19,4,7,7,3,-,4,4,3,3,9,2,1,6,8,4,7,8,6,4,14,4,146,
IV-A (CALABARZON),Laguna,Magdalena,5,2,4,2,2,12,24,7,5,10,6,10,-,1,13,3,4,2,4,5,7,8,20,10,15,181,
IV-A (CALABARZON),Laguna,Majayjay,12,7,10,13,10,18,11,6,15,25,9,7,10,11,23,9,16,13,9,14,16,13,25,26,15,343,
IV-A (CALABARZON),Laguna,Nagcarlan,19,16,22,9,25,29,37,36,31,11,7,12,19,31,14,19,31,30,30,34,30,32,40,47,53,664,
IV-A (CALABARZON),Laguna,Paete,28,28,12,13,19,17,30,31,13,7,8,11,20,30,26,19,17,14,34,37,14,28,23,19,23,521,
IV-A (CALABARZON),Laguna,Pagsanjan,39,27,21,32,34,26,43,27,27,33,13,9,27,13,19,16,28,36,50,35,40,23,43,31,55,747,
IV-A (CALABARZON),Laguna,Pakil,2,6,12,16,15,15,23,13,15,9,4,5,7,3,17,12,11,16,11,16,21,18,15,22,26,330,
IV-A (CALABARZON),Laguna,Pangil,16,9,9,6,8,4,19,7,17,23,8,10,14,10,7,24,14,14,26,19,21,13,12,22,34,366,
IV-A (CALABARZON),Laguna,Pila,13,16,12,15,9,17,14,22,25,25,9,15,24,15,24,14,32,31,38,21,36,24,47,55,50,603,
IV-A (CALABARZON),Laguna,Rizal,9,3,9,4,15,11,12,4,9,9,5,17,8,2,4,9,12,10,10,17,10,9,16,14,15,243,
IV-A (CALABARZON),Laguna,San Pablo City,212,269,305,318,294,308,299,246,269,197,133,194,203,230,221,220,250,336,342,338,296,310,372,337,353,6852,
IV-A (CALABARZON),Laguna,San Pedro,386,367,374,410,505,464,455,467,503,467,320,314,409,452,484,483,444,520,631,565,523,602,697,557,536,11935,
IV-A (CALABARZON),Laguna,Santa Cruz (Capital),49,44,51,62,83,62,66,72,58,49,54,53,66,48,67,75,83,118,102,97,82,95,99,90,118,1843,
IV-A (CALABARZON),Laguna,Santa Maria,12,7,2,14,2,7,5,15,19,6,7,5,9,7,9,2,13,7,10,12,6,15,11,12,18,232,
IV-A (CALABARZON),Laguna,Santa Rosa,89,58,107,97,66,106,72,83,134,147,106,98,116,224,231,245,230,333,383,433,386,454,522,507,423,5650,
IV-A (CALABARZON),Laguna,Siniloan,9,11,26,5,15,10,10,9,10,8,5,2,13,8,19,22,27,16,17,26,18,22,18,35,23,384,
IV-A (CALABARZON),Laguna,Victoria,6,12,15,15,18,10,15,18,7,8,12,1,12,10,13,19,25,10,24,25,23,12,29,15,37,391,
IV-A (CALABARZON),Laguna,Not Reported,6,4,5,1,3,4,4,3,-,-,-,3,2,5,-,-,-,3, ,-,-,-,-,-,-,43,
IV-A (CALABARZON),Quezon,Agdangan,6,-,-,5,1,2,5,-,-,2,1,4,-,-,3,-,5,6, ,1,8,3,2,9,11,74,
IV-A (CALABARZON),Quezon,Alabat,2,1,-,-,-,-,4,-,1,1,2,1,1,2,2,1,2,3,2,1,3,1,-,3,2,35,
IV-A (CALABARZON),Quezon,Atimonan,14,17,15,24,34,28,18,20,25,8,16,16,20,28,11,7,8,12,17,17,20,19,29,7,31,461,
IV-A (CALABARZON),Quezon,Buenavista,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,2,-,1,2,-,2,5,-,-,1,16,
IV-A (CALABARZON),Quezon,Burdeos,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,5,
IV-A (CALABARZON),Quezon,Calauag,7,4,3,11,11,8,10,13,17,8,12,4,4,8,5,4,13,10,13,13,10,7,10,4,6,215,
IV-A (CALABARZON),Quezon,Candelaria,38,37,30,43,42,33,54,48,41,30,25,31,38,38,53,37,38,66,65,58,60,69,83,111,85,1253,
IV-A (CALABARZON),Quezon,Catanauan,5,-,3,2,10,12,6,5,8,2,4,6,1,13,6,3,-,1,1,1,1,5,7,7,11,120,
IV-A (CALABARZON),Quezon,Dolores,17,30,14,13,26,23,34,8,17,15,5,7,7,10,6,15,18,16,31,23,26,24,18,14,23,440,
IV-A (CALABARZON),Quezon,General Luna,6,1,3,-,1,-,-,2,16,5,1,1,1,2,1,4,2,1,1,-,1,1,1,6,5,62,
IV-A (CALABARZON),Quezon,General Nakar,-,-,-,1,-,1,-,-,-,3,1,-,-,1,-,-,-, , ,-,-,3,1,3,-,14,
IV-A (CALABARZON),Quezon,Guinayangan,3,5,7,2,2,-,-,-,1,2,7,2,1,-,3,3,2,4,3,5,4,4,12,4,-,76,
IV-A (CALABARZON),Quezon,Gumaca,23,16,35,20,40,29,29,11,24,11,9,17,12,15,17,21,27,12,23,23,19,25,22,25,36,541,
IV-A (CALABARZON),Quezon,Infanta,11,16,7,9,9,13,14,7,5,7,2,5,8,15,8,9,12,15,12,21,17,24,32,12,29,319,
IV-A (CALABARZON),Quezon,Jomalig,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,3,
IV-A (CALABARZON),Quezon,Lopez,5,3,17,16,12,6,14,8,11,12,5,7,6,7,10,10,5,15,12,18,31,20,17,9,17,293,
IV-A (CALABARZON),Quezon,Lucban,24,37,25,26,38,26,41,30,45,34,23,14,13,11,30,15,40,50,37,24,22,56,48,41,82,832,
IV-A (CALABARZON),Quezon,Lucena City (Capital),177,140,146,202,176,181,219,159,157,144,132,108,150,145,191,146,230,246,208,247,223,254,252,281,261,4775,
IV-A (CALABARZON),Quezon,Macalelon,-,7,1,-,2,-,-,-,6,3,-,-,-,-,1,-,-,-,-,2,-,-,2,2,1,27,
IV-A (CALABARZON),Quezon,Mauban,7,21,11,8,17,18,8,9,10,14,6,7,2,14,8,7,7,17,23,12,5,17,10,10,18,286,
IV-A (CALABARZON),Quezon,Mulanay,2,2,3,4,-,1,2,-,1,-,9,7,-,1,1,4,5,3,6,5,6,20,15,10,9,116,
IV-A (CALABARZON),Quezon,Padre Burgos,6,12,1,3,3,1,-,7,1,-,2,4,2,2,-,-,-,-,3,3,1,1,7,2,-,61,
IV-A (CALABARZON),Quezon,Pagbilao,15,16,38,48,30,23,21,34,19,34,10,26,16,23,28,27,17,29,41,17,32,37,30,61,27,699,
IV-A (CALABARZON),Quezon,Panukulan,6,6,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,1,-,2,18,
IV-A (CALABARZON),Quezon,Patnanungan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,2,
IV-A (CALABARZON),Quezon,Perez,-,3,-,-,1,1,2,-,-,-,-,-,2,-,-,-,1,-,1,1,-,-,-,-,2,14,
IV-A (CALABARZON),Quezon,Pitogo,4,2,4,1,2,1,12,2,-,-,1,-,1,1,3,-,-,2,2,3,6,4,9,-,1,61,
IV-A (CALABARZON),Quezon,Plaridel,1,1,-,-,4,2,-,2,-,1,-,-,-,-,-,2,-,1,1,1,1,-,2,4,1,24,
IV-A (CALABARZON),Quezon,Polillo,5,-,7,-,1,3,8,-,2,-,1,3,5,1,-,1,7,2,1,2,-,4,1,4,-,58,
IV-A (CALABARZON),Quezon,Quezon,-,1,3,-,3,4,3,4,-,-,-,-,-,2,-,-,-,-,2,5,4,2,4,8,3,48,
IV-A (CALABARZON),Quezon,Real,-,1,2,2,4,-,3,-,-,1,2,3,3,11,3,1,1,3,8,2,6,3,3,4,5,71,
IV-A (CALABARZON),Quezon,Sampaloc,2,2,3,6,-,6,11,6,3,-,-,12,5,4,5,-,6,4,1,4,2,2,10,10,2,106,
IV-A (CALABARZON),Quezon,San Andres,-,-,-,-,-,2,1,2,2,-,-,-,-,1,-,-,-,-,1,-,3,2,1,1,2,18,
IV-A (CALABARZON),Quezon,San Antonio,9,1,1,3,-,5,10,7,3,4,3,2,1,6,3,4,5,14,7,12,9,13,19,13,5,159,
IV-A (CALABARZON),Quezon,San Francisco (Aurora),-,-,-,3,2,3,1,2,1,-,-,1,-,2,1,-,-,-,1,5,6,5,2,1,3,39,
IV-A (CALABARZON),Quezon,San Narciso,-,-,2,-,-,-,-,-,2,1,-,1,6,1,-,-,-,-,1,-,1,-,1,2,-,18,
IV-A (CALABARZON),Quezon,Sariaya,22,25,30,44,36,53,51,20,42,58,19,34,34,28,43,30,36,41,51,53,39,59,70,66,79,1063,
IV-A (CALABARZON),Quezon,Tagkawayan,7,9,-,2,12,10,1,2,2,1,2,2,1,1,1,3,4,7, ,5,4,2,10,10,3,101,
IV-A (CALABARZON),Quezon,Tayabas,15,23,17,32,21,22,31,30,19,18,9,14,30,25,27,22,24,26,40,25,35,63,39,63,67,737,
IV-A (CALABARZON),Quezon,Tiaong,32,29,56,44,27,24,46,32,33,42,28,23,21,36,31,17,27,25,58,57,49,63,62,64,54,980,
IV-A (CALABARZON),Quezon,Unisan,4,3,3,5,2,1,2,3,1,3,1,4,-,1,1,-,3,3,10,2,2,3,4,7,4,72,
IV-A (CALABARZON),Quezon,Not Reported,-,1,-,-,1,-,1,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,6,
IV-A (CALABARZON),Rizal,Angono,95,102,87,126,145,126,127,98,122,101,65,78,96,139,122,144,128,181,205,196,178,195,210,223,133,3422,
IV-A (CALABARZON),Rizal,Baras,17,24,25,12,17,14,27,22,28,36,6,12,30,16,9,7,14,29,28,23,20,28,21,23,33,521,
IV-A (CALABARZON),Rizal,Binangonan,77,81,123,62,98,77,136,64,125,83,90,80,89,114,102,91,162,177,199,172,166,217,247,232,187,3251,
IV-A (CALABARZON),Rizal,Cainta,332,287,356,391,341,475,428,368,441,420,308,254,471,520,518,521,545,618,668,654,638,706,763,669,595,12287,
IV-A (CALABARZON),Rizal,Cardona,37,68,57,43,54,47,48,48,70,24,24,24,29,20,29,22,58,48,57,56,28,68,41,37,37,1074,
IV-A (CALABARZON),Rizal,City Of Antipolo,256,238,284,276,274,338,354,346,431,344,296,315,381,455,459,506,691,722,910,804,784,806,957,870,899,12996,
IV-A (CALABARZON),Rizal,Jala-Jala,1,1,5,5,2,5,5,4,3,3,2,7,2,2,7,12,3,9,18,8,9,38,19,7,12,189,
IV-A (CALABARZON),Rizal,Morong,108,62,127,90,94,93,93,90,96,115,53,37,75,67,88,95,90,95,97,90,85,79,110,105,100,2234,
IV-A (CALABARZON),Rizal,Pililla,2,8,17,25,7,20,26,23,19,16,6,20,5,25,18,28,18,32,43,40,28,40,63,52,80,661,
IV-A (CALABARZON),Rizal,Rodriguez (Montalban),46,59,62,41,81,70,67,85,92,46,48,58,74,86,92,73,101,125,187,199,176,181,192,233,228,2702,
IV-A (CALABARZON),Rizal,San Mateo,102,122,141,164,145,150,170,98,129,129,118,101,135,150,173,194,216,241,329,233,264,241,317,277,274,4613,
IV-A (CALABARZON),Rizal,Tanay,71,54,80,87,74,59,58,108,100,110,74,48,91,64,87,42,65,88,102,108,85,111,82,84,75,2007,
IV-A (CALABARZON),Rizal,Taytay,108,165,176,123,175,189,167,167,197,173,148,167,185,234,214,202,245,295,294,336,300,339,335,347,337,5618,
IV-A (CALABARZON),Rizal,Teresa,19,7,27,16,21,36,25,29,52,32,13,16,34,20,51,46,45,40,25,45,44,58,71,57,43,872,
IV-A (CALABARZON),Rizal,Not Reported,2,-,1,2,2,2,-,-,-,-,-,8,2,3,-,-,-,5, ,-,-,-,-,-,-,27,
IV-A (CALABARZON),CALABARZON,CALABARZON,6438,6481,7512,7441,7623,8119,8397,7325,8261,7577,5411,5574,7390,8364,8783,8461,10019,11325,13500,13542,12611,15022,16657,16672,15670,244175,15.24
IV-B (MIMAROPA),Marinduque,Boac (Capital),6,1,2,9,1,8,10,8,5,9,6,7,9,6,16,13,6,29,5,3,7,11,11,13,7,208,
IV-B (MIMAROPA),Marinduque,Buenavista,2,1,1,-,4,1,-,-,6,-,1,1,-,2,2,-,-,-,2,-,-,-,3,-,4,30,
IV-B (MIMAROPA),Marinduque,Gasan,9,5,5,3,11,4,6,4,5,-,1,1,9,4,4,2,-,3, ,11,8,3,9,8,6,121,
IV-B (MIMAROPA),Marinduque,Mogpog,11,5,5,5,7,11,8,5,6,6,2,-,3,3,4,-,3,7,4,2,1,4,4,4,9,119,
IV-B (MIMAROPA),Marinduque,Santa Cruz,14,6,3,3,1,5,9,10,4,10,8,7,4,7,5,3,9,7,4,10,1,21,7,5,17,180,
IV-B (MIMAROPA),Marinduque,Torrijos,1,-,2,-,-,5,-,6,-,1,1,1,-,2,-,3,2,2,2,-,-,1,2,8,3,42,
IV-B (MIMAROPA),Marinduque,Not Reported,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,2, ,-,-,-,-,-,-,4,
IV-B (MIMAROPA),Occidental Mindoro,Abra De Ilog,-,2,6,-,-,1,1,1,1,-,5,1,2,2,-,1,3,1,5,5,-,5,2,8,3,55,
IV-B (MIMAROPA),Occidental Mindoro,Calintaan,-,-,-,-,-,1,6,1,1,1,2,-,-,-,1,-,2,1,1,1,1,2,6,1,4,32,
IV-B (MIMAROPA),Occidental Mindoro,Looc,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,3,
IV-B (MIMAROPA),Occidental Mindoro,Lubang,10,1,8,2,-,-,1,3,2,7,7,2,1,-,-,4,1,1, ,1,1,-,1,-,2,55,
IV-B (MIMAROPA),Occidental Mindoro,Magsaysay,-,3,1,-,1,1,-,4,-,1,2,-,-,-,1,-,1,2, ,1,1,2,3,5,4,33,
IV-B (MIMAROPA),Occidental Mindoro,Mamburao (Capital),6,3,2,2,5,1,4,9,7,2,1,2,1,6,2,1,4,6,10,7,6,6,14,14,10,131,
IV-B (MIMAROPA),Occidental Mindoro,Paluan,1,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,1,-,1,1,1,1,3,-,1,15,
IV-B (MIMAROPA),Occidental Mindoro,Rizal,-,-,-,-,6,-,2,1,-,1,-,1,-,1,-,-,1, ,-,-,1,1,-,9,3,27,
IV-B (MIMAROPA),Occidental Mindoro,Sablayan,1,3,7,1,4,-,-,5,5,7,3,1,5,-,1,6,8,2, ,2,8,12,3,7,13,104,
IV-B (MIMAROPA),Occidental Mindoro,San Jose,20,20,27,9,19,12,29,45,30,24,25,25,28,26,19,22,35,39,32,32,19,31,40,42,35,685,
IV-B (MIMAROPA),Occidental Mindoro,Santa Cruz,1,-,2,3,9,-,4,3,1,2,1,7,1,-,3,-,-,1,2,-,-,8,1,2,2,53,
IV-B (MIMAROPA),Occidental Mindoro,Not Reported,-,1,-,-,3,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,7,
IV-B (MIMAROPA),Oriental Mindoro,Baco,-,4,2,1,3,9,2,3,5,2,1,6,13,12,12,13,9,26,19,14,23,38,28,29,33,307,
IV-B (MIMAROPA),Oriental Mindoro,Bansud,-,1,4,-,-,2,2,-,1,-,2,8,8,6,1,4,7,5,7,4,12,5,19,13,10,121,
IV-B (MIMAROPA),Oriental Mindoro,Bongabong,6,4,6,6,7,5,13,6,2,-,7,9,8,2,8,3,6,7,3,6,16,6,27,27,25,215,
IV-B (MIMAROPA),Oriental Mindoro,Bulalacao (San Pedro),3,2,5,1,1,2,-,2,1,1,-,-,-,1,-,-,-,-,-,-,-,1,-,1,6,27,
IV-B (MIMAROPA),Oriental Mindoro,City Of Calapan (Capital),26,36,39,32,32,60,38,35,47,31,40,21,34,59,45,40,53,58,49,87,49,61,107,101,99,1279,
IV-B (MIMAROPA),Oriental Mindoro,Gloria,4,8,3,6,2,6,11,1,8,2,2,2,5,1,3,8,9,10,8,5,11,23,20,19,18,195,
IV-B (MIMAROPA),Oriental Mindoro,Mansalay,-,6,2,-,3,-,-,3,1,-,-,-,-,1,-,4,2,3,5,-,15,4,7,2,10,68,
IV-B (MIMAROPA),Oriental Mindoro,Naujan,8,8,5,2,14,15,8,5,7,5,8,15,7,14,16,16,14,27,16,31,22,32,43,48,42,428,
