region,province,city_or_municipality,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage_to_total
I (Ilocos Region),La Union,Tubao,41,16,30,34,39,30,26,56,39,22,30,22,25,14,22,24,24,31,34,36,27,10,44,49,37,762,
I (Ilocos Region),La Union,Not Reported,3,-,-,2,-,3,1,-,4,-,-,-,1,1,-,-,-,3, ,2,-,-,-,-,-,20,
I (Ilocos Region),Pangasinan,Agno,10,11,26,13,11,26,14,25,14,10,11,7,11,11,13,1,11,31,25,23,12,28,32,26,26,428,
I (Ilocos Region),Pangasinan,Aguilar,9,14,17,15,12,12,17,30,11,20,17,19,11,15,18,10,16,31,19,32,22,34,35,20,24,480,
I (Ilocos Region),Pangasinan,Alaminos,62,48,78,55,86,55,74,59,66,70,31,47,51,56,63,56,63,83,80,107,70,100,78,76,84,1698,
I (Ilocos Region),Pangasinan,Alcala,58,61,42,56,55,87,82,49,51,33,57,46,49,51,49,32,69,71,55,83,53,74,65,73,61,1462,
I (Ilocos Region),Pangasinan,Anda,10,5,18,12,13,12,22,14,15,17,12,11,17,4,7,9,18,8,14,16,18,13,12,8,12,317,
I (Ilocos Region),Pangasinan,Asingan,88,85,123,99,103,85,145,111,78,89,71,69,67,66,83,86,100,72,94,104,91,95,116,112,108,2340,
I (Ilocos Region),Pangasinan,Balungao,43,21,42,45,21,29,40,35,39,50,28,28,34,36,28,24,22,9,26,39,33,41,57,43,35,848,
I (Ilocos Region),Pangasinan,Bani,55,57,43,64,67,60,41,34,45,54,39,32,39,31,25,61,55,50,48,41,36,33,41,70,49,1170,
I (Ilocos Region),Pangasinan,Basista,8,5,18,9,18,15,14,28,14,7,10,18,34,22,21,14,27,21,21,27,23,40,25,37,34,510,
I (Ilocos Region),Pangasinan,Bautista,26,30,26,30,22,29,31,21,24,14,27,29,15,8,17,14,13,23,33,30,22,37,16,30,44,611,
I (Ilocos Region),Pangasinan,Bayambang,58,38,71,80,64,64,79,68,81,58,65,34,67,62,49,85,74,93,91,82,89,96,108,82,100,1838,
I (Ilocos Region),Pangasinan,Binalonan,146,181,184,186,222,202,272,257,196,149,132,94,144,113,147,152,188,217,196,231,178,219,204,232,208,4650,
I (Ilocos Region),Pangasinan,Binmaley,58,76,111,97,108,77,92,88,104,81,54,50,65,87,101,89,80,65,118,119,112,99,148,91,102,2272,
I (Ilocos Region),Pangasinan,Bolinao,59,60,43,53,61,51,59,42,52,52,50,37,38,47,41,45,59,59,67,45,60,73,61,78,62,1354,
I (Ilocos Region),Pangasinan,Bugallon,22,23,19,29,36,35,46,40,54,30,17,23,16,13,36,26,37,35,34,50,46,54,52,59,41,873,
I (Ilocos Region),Pangasinan,Burgos,6,17,5,14,5,10,8,5,6,16,13,9,14,8,9,1,9,13,15,9,9,16,13,14,4,248,
I (Ilocos Region),Pangasinan,Calasiao,94,72,125,116,126,122,100,126,134,118,80,97,91,85,124,124,106,153,147,151,141,163,201,125,153,3074,
I (Ilocos Region),Pangasinan,City Of Urdaneta,212,176,245,222,193,233,273,209,227,278,146,152,189,179,193,245,245,246,274,309,246,297,320,276,276,5861,
I (Ilocos Region),Pangasinan,Dagupan City,258,243,304,301,297,363,327,289,356,238,204,213,257,239,259,252,313,270,342,382,331,346,408,347,386,7525,
I (Ilocos Region),Pangasinan,Dasol,13,19,15,16,20,6,15,31,14,39,18,4,10,6,7,11,7,21,10,18,6,16,19,20,17,378,
I (Ilocos Region),Pangasinan,Infanta,14,15,23,14,23,27,13,26,14,11,14,4,10,5,7,9,26,5,16,11,4,18,25,13,38,385,
I (Ilocos Region),Pangasinan,Labrador,11,10,13,32,7,16,16,12,13,17,14,5,16,13,14,20,7,11,30,7,9,11,15,15,13,347,
I (Ilocos Region),Pangasinan,Laoac,32,13,25,29,23,56,34,47,48,42,31,40,63,38,43,41,54,57,39,71,53,96,85,85,67,1212,
I (Ilocos Region),Pangasinan,Lingayen (Capital),121,64,111,110,125,103,134,96,119,105,61,78,73,89,74,104,112,106,114,155,97,114,167,173,114,2719,
I (Ilocos Region),Pangasinan,Mabini,25,35,37,38,54,43,51,25,28,16,12,5,19,19,24,17,21,14,31,20,21,22,31,42,15,665,
I (Ilocos Region),Pangasinan,Malasiqui,63,54,108,113,115,101,104,69,105,114,64,54,93,125,99,99,65,85,132,134,100,103,156,171,141,2567,
I (Ilocos Region),Pangasinan,Manaoag,128,122,96,115,108,120,83,108,130,72,66,95,64,61,62,74,87,105,135,89,124,142,132,104,123,2545,
I (Ilocos Region),Pangasinan,Mangaldan,56,32,34,35,23,68,67,29,26,41,58,98,89,75,111,136,105,93,134,133,121,129,213,144,100,2150,
I (Ilocos Region),Pangasinan,Mangatarem,85,93,82,67,93,111,129,92,101,111,28,12,46,15,41,25,65,60,36,47,39,38,48,37,43,1544,
I (Ilocos Region),Pangasinan,Mapandan,60,54,44,75,59,66,87,103,106,94,56,82,58,55,65,41,83,99,101,113,73,105,117,101,97,1994,
I (Ilocos Region),Pangasinan,Natividad,30,20,21,19,16,54,31,19,32,24,12,11,22,13,6,25,23,27,38,17,29,36,40,25,39,629,
I (Ilocos Region),Pangasinan,Pozzorubio,81,99,102,129,99,60,98,87,121,90,87,74,56,71,99,96,108,88,91,132,116,115,150,121,133,2503,
I (Ilocos Region),Pangasinan,Rosales,88,76,81,58,60,81,65,77,72,48,54,50,64,52,86,59,84,87,85,79,68,99,114,98,74,1859,
I (Ilocos Region),Pangasinan,San Carlos City,34,37,51,51,51,51,57,40,42,45,78,87,109,141,144,136,178,198,189,149,165,225,261,184,222,2925,
I (Ilocos Region),Pangasinan,San Fabian,18,22,33,37,24,28,33,20,33,18,43,50,56,62,48,34,73,42,62,56,50,81,103,67,91,1184,
I (Ilocos Region),Pangasinan,San Jacinto,129,105,149,169,144,180,209,167,193,165,12,21,21,20,36,16,40,34,41,39,52,37,19,49,58,2105,
I (Ilocos Region),Pangasinan,San Manuel,52,57,76,59,68,94,66,61,85,33,29,53,50,60,73,55,67,62,65,74,64,99,97,77,72,1648,
I (Ilocos Region),Pangasinan,San Nicolas,37,43,50,58,55,42,68,53,73,44,21,39,33,32,41,35,45,54,24,61,31,39,57,79,68,1182,
I (Ilocos Region),Pangasinan,San Quintin,29,39,33,29,59,57,67,36,41,32,21,18,51,33,38,17,44,45,26,40,49,59,33,47,44,987,
I (Ilocos Region),Pangasinan,Santa Barbara,54,39,65,39,70,75,50,42,63,42,23,43,76,69,51,83,59,78,115,106,100,116,107,107,118,1790,
I (Ilocos Region),Pangasinan,Santa Maria,51,41,33,28,35,40,57,43,42,45,21,31,34,26,44,24,47,38,35,43,42,52,65,86,49,1052,
I (Ilocos Region),Pangasinan,Santo Tomas,28,28,24,19,10,38,25,18,9,16,15,9,9,22,12,21,8,15,31,16,17,29,21,32,10,482,
I (Ilocos Region),Pangasinan,Sison,44,30,47,47,50,59,47,58,43,40,55,45,48,34,38,28,57,44,77,58,33,42,62,49,64,1199,
I (Ilocos Region),Pangasinan,Sual,8,21,17,15,15,11,21,19,21,6,17,12,12,7,7,4,20,14,9,14,17,19,23,14,9,352,
I (Ilocos Region),Pangasinan,Tayug,67,40,85,47,45,63,101,98,42,57,59,48,45,68,55,46,64,51,75,59,57,68,75,62,76,1553,
I (Ilocos Region),Pangasinan,Umingan,36,49,50,43,36,49,57,52,54,57,54,38,52,34,32,27,45,44,56,56,46,78,86,53,55,1239,
I (Ilocos Region),Pangasinan,Urbiztondo,32,10,7,17,9,17,19,16,25,15,9,14,14,13,12,25,40,17,43,11,18,17,18,26,30,474,
I (Ilocos Region),Pangasinan,Villasis,61,89,77,76,118,95,102,85,104,75,55,46,63,63,81,93,75,87,92,101,110,100,160,105,133,2246,
I (Ilocos Region),Pangasinan,Not Reported,-,2,-,-,1,-,4,1,-,-,-,3,-,1,-,-,-,3, ,1,-,-,-,-,-,16,
II (Cagayan Valley),Batanes,Basco (Capital),2,-,-,1,-,1,1,1,1,3,-,2,-,2,-,1,6,-,7,5,6,10,4,7,3,63,
II (Cagayan Valley),Batanes,Itbayat,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,3,
II (Cagayan Valley),Batanes,Ivana,-,-,-,-,-,-,2,-,-,-,-,1,-,2,-,-,1,-,-,-,1,-,-,-,-,7,
II (Cagayan Valley),Batanes,Mahatao,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,
II (Cagayan Valley),Batanes,Sabtang,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,1,-,1,1,-,6,
II (Cagayan Valley),Cagayan,Abulug,4,4,8,4,10,5,6,4,8,4,5,4,2,9,4,8,5,8,10,9,11,8,22,22,21,205,
II (Cagayan Valley),Cagayan,Alcala,3,5,5,4,5,5,14,2,4,6,6,3,4,3,-,4,5,-,8,8,1,9,4,15,12,135,
II (Cagayan Valley),Cagayan,Allacapan,4,12,10,3,1,3,16,9,12,12,8,3,5,-,10,8,7,6,12,12,18,13,13,21,25,243,
II (Cagayan Valley),Cagayan,Amulung,12,1,5,1,1,3,2,4,5,3,-,-,-,3,-,-,2,4,7,9,9,11,4,3,10,99,
