region,suc,first_sem_2010-2011_bs_ab,first_sem_2010-2011_ms_ma,first_sem_2010-2011_phd,first_sem_2011-2012_bs_ab,first_sem_2011-2012_ms_ma,first_sem_2011-2012_phd,first_sem_2012-2013_bs_ab,first_sem_2012-2013_ms_ma,first_sem_2012_-2013_phd
VI (Western Visayas),Northern Iloilo Polytechnic State College,100,300,400,100,300,400,100,300,400
VI (Western Visayas),Northern Negros State College of Science and Technology,110,400,-,110,300,400,150,400,500
VI (Western Visayas),University of Antique,150,225,275,150,225,275,-,-,-
VI (Western Visayas),West Visayas State University,150,437.5,500,nd,nd,nd,170,525,600
VI (Western Visayas),Western Visayas College of Science and Technology,200,500,700,200,500,600 / 800,200,500,600 / 800
VII (Central Visayas),Cebu Normal University,75,200,250,75,200,250,75,200,250
VII (Central Visayas),Cebu Technological University - Main,150,300,350,150,300,350,150,300,350
VII (Central Visayas),Bohol Island State University - Bilar,158.8,300,-,nd,nd,nd,nd,nd,nd
VII (Central Visayas),Negros Oriental State University,nd,nd,nd,nd,nd,nd,nd,nd,nd
VII (Central Visayas),Siquijor State College,90,90,-,90,90,-,90,90,-
VIII (Eastern Visayas),Eastern Samar State College,100,150,-,100,150,150,100,150,150
VIII (Eastern Visayas),Leyte Institute of Technology,150,200,250,150,200,250,nd,nd,nd
VIII (Eastern Visayas),Leyte Normal University,150,200,300,150,200,300,150,200,300
VIII (Eastern Visayas),Visayas State University,120,200,250,nd,nd,nd,120,250,250
VIII (Eastern Visayas),Naval Institute of Technology,120,200,250,150,200,250,150,200,250
VIII (Eastern Visayas),Palompon Institute of Technology,150,250,300,150,250,300,150,250,300
VIII (Eastern Visayas),Samar State Univ (formerly Samar State Polytechnic College),100,200,300,100,200,300,nd,nd,nd
VIII (Eastern Visayas),Southern Leyte State University,150,200,-,150,350,-,150,350,-
VIII (Eastern Visayas),Norwest Samar State University,120,125,200,nd,nd,nd,120,125,200
VIII (Eastern Visayas),University of Eastern Philippine (Laoang Campus),150,250,300,150,250,300,150,250,300
IX (Zamboanga Peninsula),Basilan State College,100,100,530,30,100,350 / 530,30,350,350
IX (Zamboanga Peninsula),Jose Rizal Memorial State College,2500 regardless of the number of units,200,300,nds,nds,nds,2500 regardless of the number of units,200,300
IX (Zamboanga Peninsula),Josefina H. Cerilles State College,60,400,-,60,400,-,120,300,-
IX (Zamboanga Peninsula),Western Mindanao State University,30,220,350,30,220,350,30,220,350
IX (Zamboanga Peninsula),Zamboanga City State Polytechnic College,nds,nds,nds,75,250,250,75,250,250
IX (Zamboanga Peninsula),Zamboanga State College of Marine Science and Technology,50,250,-,100,250,-,100,250,-
X (Northern Mindanao),Bukidnon State College,225,400,600,225,400,500,225,400,500
X (Northern Mindanao),Camiguin Polytechnic State College,550/sem,350,-,550/sem,350,-,550/sem,350,-
X (Northern Mindanao),Central Mindanao University,90,540,735,90,540,735,150,540,735
X (Northern Mindanao),Mindanao Polytechnic State College,nds,nds,nds,325,450,500 / 624,325,450,500
X (Northern Mindanao),Misamis Oriental State College of Agriculture and Technology,150,250,-,150,250,-,150,250,600
X (Northern Mindanao),Northwestern Mindanao State College of Science and Technology,120,-,-,150,-,-,150,-,-
X (Northern Mindanao),Mindanao State University - Iligan Institute of Technology,100,600,600,100,600,600,100,1500,1500
XI (Davao Region),Davao Del Norte State College,40,200,300,40,200,300,80,200,300
XI (Davao Region),Davao Oriental State College of Science and Technology,74,319,-,74,319,-,74,319,-
XI (Davao Region),"Southern Philippines Agriculture, Business, Marine and Aquatic School of Technology",90,200,-,nd,nd,-,90,200,-
XI (Davao Region),University of Southeastern Philippines,200,300,300,nds,nds,nds,250,300,300
XII (SOCCSKSARGEN),Cotabato City State Polytechnic College,nds,nds,nds,nds,nds,nds,120,180,270
XII (SOCCSKSARGEN),Cotabato Foundation College of Science and Technology,nds,nds,nds,nds,nds,nds,100,250,350
XII (SOCCSKSARGEN),Sultan Kudarat Polytechnic State College,150,300,400,150,300,400,150,300,400
XII (SOCCSKSARGEN),University of Southern Mindanao,125,300,350,125,300,350,125,500,700
NCR (National Capital Region),"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",100,165,200,100,165,200,100,164,200
NCR (National Capital Region),Marikina Polytechnic College,100,300,300,100,300,300,100,300,300
NCR (National Capital Region),Philippine Normal University,35,390,450,35,430,500,35,480,550
NCR (National Capital Region),Philippine State College of Aeronautics,200,600,600,200,600,600,200,600,600
NCR (National Capital Region),Polytechnic University of the Philippines,12,200,250,12,200,250,12,200,250
NCR (National Capital Region),Rizal Technological University,200,500,600,200,500,600,200,500,600
NCR (National Capital Region),Technological University of the Philippines,150,200,300,nd,nd,nd,nd,nd,nd
NCR (National Capital Region),University of the Philippines System,1000,500,500,1000,500,500,1000,2500,2500
CAR (Cordillera Administrative Region),Abra State Institute of Science and Technology,60,-,-,80,-,-,100,-,-
CAR (Cordillera Administrative Region),Apayao State College,60,200,-,60,200,-,100,200,-
CAR (Cordillera Administrative Region),Benguet State University,nd,nd,nd,100,290,450,100,290,420
CAR (Cordillera Administrative Region),Ifugao State College of Agriculture and forestry,60,150,325,60,300,325,100,300,325
CAR (Cordillera Administrative Region),Kalinga-Apayao State College,60,160,250,nd,nd,nd,100,200,250
CAR (Cordillera Administrative Region),Mountain Province State Polytechnic College,60,150,250,60,150,250,75,150,250
ARMM (Autonomous Region in Muslim Mindanao),Adiong Memorial Polytechnic State College,nds,nds,nds,nds,nds,nds,50,200,-
ARMM (Autonomous Region in Muslim Mindanao),Mindanao State University,nds,nds,nds,7,300,300,50,300,400
ARMM (Autonomous Region in Muslim Mindanao),Sulu State College,nds,nds,nds,nd,nd,nd,nd,nd,nd
ARMM (Autonomous Region in Muslim Mindanao),Tawi-Tawi Regional Agricultural College,nds,nds,nds,nds,nds,nds,nds,nds,nds
ARMM (Autonomous Region in Muslim Mindanao),Mindanao State University - Tawi-Tawi College of Technology and Oceanography,nds,nds,nds,25,70,-,25,70,-
XIII (Caraga),Agusan Del Sur State College of Agriculture and Technology,nds,nds,nds,100,-,-,100,300,-
XIII (Caraga),Northern Mindanao State Institute of Science and Technology,200,300,300,200,300,300,200,300,450
XIII (Caraga),Surigao Del Sur Polytechnic State College,150,250,500,150,250,500,175,250,500
XIII (Caraga),Surigao State College of Technology,100,350,-,100,350,-,100,350,600
