region,suc,enrolment_2010-2011,enrolment_2011-2012,enrolment_2012-2013,graduates_2009-2010,graduates_2010-2011,graduates_2011-2012
V (Bicol Region),Partido State University,5329,5711,5846,575,672,1490
V (Bicol Region),Sorsogon State College,8144,11144,8593,930,1182,1387
VI (Western Visayas),Aklan State University,7711,8033,8482,1871,1864,2064
VI (Western Visayas),Carlos Hilado Memorial State College,9056,9935,14473,1605,1688,2582
VI (Western Visayas),Capiz State University (formerly PSPC),8404,9759,10362,1411,1767,1712
VI (Western Visayas),Guimaras State College,1318,1964,4011,154,365,652
VI (Western Visayas),Iloilo State College of Fisheries,3970,4980,4730,770,832,772
VI (Western Visayas),Negros State College of Agriculture,4477,6185,6125,399,550,983
VI (Western Visayas),Northern Iloilo Polytechnic State College,6171,8771,8515,1502,1718,1617
VI (Western Visayas),Northern Negros State College of Science and Technology,4145,3407,3451,904,1288,1007
VI (Western Visayas),University of Antique,7972,8841,10159,901,1066,1495
VI (Western Visayas),Western Visayas State University,14993,16385,17921,3574,3462,3532
VI (Western Visayas),Western Visayas College of Science and Technology,10328,10855,11695,2545,2393,2323
VII (Central Visayas),Cebu Normal University,7441,7166,7862,1128,1229,1333
VII (Central Visayas),Cebu Technological University,19526,21387,27856,4791,4710,6662
VII (Central Visayas),Bohol Island State University,10572,10374,13629,1371,1358,1945
VII (Central Visayas),Negros Oriental State University (formerly CVPC),17418,19385,20889,2912,2866,2701
VII (Central Visayas),Siquijor State College,2158,2567,2418,232,293,321
VIII (Eastern Visayas),Eastern Samar State University,8200,10641,11278,1029,1405,1583
VIII (Eastern Visayas),Eastern Visayas State University,14752,14936,16671,1948,2111,2236
VIII (Eastern Visayas),Leyte Normal University,6116,6203,6373,1009,947,1058
VIII (Eastern Visayas),Visayas State University (Leyte State University) ,6564,8679,9681,934,828,1240
VIII (Eastern Visayas),Naval State University,6501,6874,7654,1103,1032,1178
VIII (Eastern Visayas),Palompon Institute of Technology,3602,3295,4241,504,464,581
VIII (Eastern Visayas),Samar State College of Agriculture and forestry,589, -   , -   ,111, -   , -   
VIII (Eastern Visayas),Samar State University,3932,2667,4689,570,374,659
VIII (Eastern Visayas),Southern Leyte State University,6581,6818,7521,927,982,1234
VIII (Eastern Visayas),Northwestern Samar State University,6251,6511,7224,846,996,878
VIII (Eastern Visayas),University of Eastern Philippines,11636,11047,12148,1431,1348,1675
IX (Zamboanga Peninsula),J. H. Cerilles State College,6206,6972,8384,919,867,1202
IX (Zamboanga Peninsula),Basilan State College,3224,3948,3923,788,746,708
IX (Zamboanga Peninsula),Jose Rizal Memorial State University,6122,841,9477,985,141,1365
IX (Zamboanga Peninsula),Mindanao State University - TCTO,2267,1417,2061,230,283,266
IX (Zamboanga Peninsula),Sulu State College,3315,5229,5229, -   ,948,948
IX (Zamboanga Peninsula),Tawi-Tawi Regional Agricultural College,1825,1825,5589,295,295,354
IX (Zamboanga Peninsula),Western Mindanao State University,24213,23997,25057,3902,3017,2958
IX (Zamboanga Peninsula),Zamboanga City State Polytechnic College,3286,4609,4807,532,576,517
IX (Zamboanga Peninsula),Zambooanga State College of Marine Science and Technology,3216,3736,6124,491,483,608
X (Northern Mindanao),Bukidnon State University,9021,19457,22330,1158,1559,2811
X (Northern Mindanao),Camiguin Polytechnic State College,2970,2859,2925,471,563,691
X (Northern Mindanao),Central Mindanao University,8394,9014,9867,2170,898,1114
X (Northern Mindanao),Mindanao University of Science and Technology,8088,8395,8903,1205,1342,1256
X (Northern Mindanao),MSU - Iligan Institute of Technology,12476,11437,11837,1851,1804,1927
X (Northern Mindanao),Misamis Oriental State College of Agriculture and Technology,1169,1164,1015,152,177,217
X (Northern Mindanao),Northwest Mindanao State College of Sciience and Technology,1777,1855,3354,214,242,738
XI (Davao Region),Davao Del Norte State College,950,1099,1210,281,126,590
XI (Davao Region),Davao Oriental State College of Science and Technology,3979,4779,5745,264,349,545
XI (Davao Region),"Southern Philippines Agri-Business, Marine and Aquatic School of Technology",2014,2264,2453,244,254,300
XI (Davao Region),University of Southeastern Philippines,12492,12492,14549,1820,1820,2333
XII (SOCCSKSARGEN),Adiong Memorial Polytechnic State College,369,369,1606, -   , -   ,260
XII (SOCCSKSARGEN),Cotabato City State Polytechnic College,2543,2543,5845,444,444,469
XII (SOCCSKSARGEN),Cotabato Foundation College of Science and Technology,1600,1600,2728,262,262,323
XII (SOCCSKSARGEN),Mindanao State University - Main,29544,20918,35042,3563,2959,5222
XII (SOCCSKSARGEN),Sultan Kudarat State University,7120,8532,9682,1043,1106,862
XII (SOCCSKSARGEN),University of Southern Mindanao,12544,14114,14516,1810,1978,2195
CAR (Cordillera Administrative Region),Abra State Institute of Science and Technology,2640,3143,3165,480,485,590
CAR (Cordillera Administrative Region),Apayao State College,1332,1401,1574,194,228,184
CAR (Cordillera Administrative Region),Benguet State University,7675,7761,8455,1326,1303,1336
CAR (Cordillera Administrative Region),Ifugao State University,5056,2126,7258,895,329,998
CAR (Cordillera Administrative Region),Kalinga Apayao State College,4644,3318,4405,582,330,394
CAR (Cordillera Administrative Region),Mt. Province State Polytechnic College,5160,5144,4748,640,599,700
XIII Caraga,Agusan Del Sur State College of Agriculture and Technology,1833,2006,2134,210,237,316
XIII Caraga,Caraga State University,5118,5773,5540,293,577,729
XIII Caraga,Surigao Del Sur State University,8216,8801,8876,1282,1389,1712
XIII Caraga,Surigao State College of Technolgoy,5645,6588,7750,665,746,1249
NCR (National Capital Region),"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",10587,12743,16759,1757,1462,1840
NCR (National Capital Region),Marikina Polytechnic College,1804,2880,3660,202,408,437
NCR (National Capital Region),Philippines Normal University,13292,12084,12196,2134,2501,2550
NCR (National Capital Region),Philippines State College of Aeronautics,4006,3612,6362,972,1369,1854
NCR (National Capital Region),Polytechnic University of the Philippines,68026,60487,67541,10121,10391,11672
NCR (National Capital Region),Rizal Technological University,18825,20146,21395,3306,3017,2944
NCR (National Capital Region),Technological University of the Philippines,18916,22844,22087,4155,4330,4792
NCR (National Capital Region),University of the Philippines System,49627,51385,55332,8390,7753,8232
Total,Total,1025559,1092889,1234125,159234,175782,192624
