city_or_municipality,position,name,nikname,party_affiliation,votes_obtained
Lantawan,Councilor,"Dansalan, Gamar Nul",Gams,Independent,4290
Lantawan,Councilor,"Ismael, Hudairi Salajin",Iri,Liberal Party,5019
Maluso,Mayor,"Salajin, Sakib Abdurahim",Kibs,Liberal Party,6346
Maluso,Vice-Mayor,"Muksan, Hji Hamid Gampal",Falcon,Liberal Party,4820
Maluso,Councilor,"Ferjan, Ahmad Cawanan",Andan,Independent,5131
Maluso,Councilor,"Suaib, Ibni Sonny",Lucman,Independent,3210
Maluso,Councilor,"Irada, Abdulmajid Mahamil",Mhadz,Independent,3377
Maluso,Councilor,"Abdulsalam, Radjail Jamahali",Habib,Liberal Party,3650
Maluso,Councilor,"Sonny, Faisal Reyes",Fai,Independent,3887
Maluso,Councilor,"Jalilula, Nurhusin Jamadin",Bobot,Independent,4382
Maluso,Councilor,"Pisingan, Nasser Aminuddin",Nas,Independent,4489
Maluso,Councilor,"Daud, Indanan Kasim",Dan,Independent,6353
Sumisip,Mayor,"Asarul, Haber Amin",Habs,-,12376
Sumisip,Vice-Mayor,"Jannatul, Almasheer Uddin",John,-,6475
Sumisip,Councilor,"Saratal, Hadji Said Daggong",Hji. Said,Lakas-Christian Muslim Democrats,8880
Sumisip,Councilor,"Ambil, Layla Musa",Lhea,-,12003
Sumisip,Councilor,"Pahalawan, Muhammad Hussein Amigos",Phol,Independent,7192
Sumisip,Councilor,"Hataman, Marwan Kannama",Mar,Lakas-Christian Muslim Democrats,7194
Sumisip,Councilor,"Alfaro, Abdurahman Hataman",Lannang,Independent,7482
Sumisip,Councilor,"Handang, Lennie Adjain",Len,Liberal Party,7747
Sumisip,Councilor,"Alamsahi, Ibno Ajanab",Anjo,Independent,8691
Sumisip,Councilor,"Tahajid, Ibrahim Maram",Edsmer,Lakas-Christian Muslim Democrats,11870
Tabuan-Lasa,Mayor,"Asarul, Haber Amin",Habs,-,12376
Tabuan-Lasa,Vice-Mayor,"Jannatul, Almasheer Uddin",John,-,6475
Tabuan-Lasa,Councilor,"Saratal, Hadji Said Daggong",Hji. Said,Lakas-Christian Muslim Democrats,8880
Tabuan-Lasa,Councilor,"Ambil, Layla Musa",Lhea,-,12003
Tabuan-Lasa,Councilor,"Pahalawan, Muhammad Hussein Amigos",Phol,Independent,7192
Tabuan-Lasa,Councilor,"Hataman, Marwan Kannama",Mar,Lakas-Christian Muslim Democrats,7194
Tabuan-Lasa,Councilor,"Alfaro, Abdurahman Hataman",Lannang,Independent,7482
Tabuan-Lasa,Councilor,"Handang, Lennie Adjain",Len,Liberal Party,7747
Tabuan-Lasa,Councilor,"Alamsahi, Ibno Ajanab",Anjo,Independent,8691
Tabuan-Lasa,Councilor,"Tahajid, Ibrahim Maram",Edsmer,Lakas-Christian Muslim Democrats,11870
Tuburan,Mayor,"Kallahal, Durie Sahasal",Durs,Liberal Party,3389
Tuburan,Vice-Mayor,"Latip, Roger Calang",Rodz,Liberal Party,3278
Tuburan,Councilor,"Halain, Garam Sakilun",Gars,Liberal Party,2931
Tuburan,Councilor,"Saala, Basir Goropod",Hj. Basir,Liberal Party,2289
Tuburan,Councilor,"Adam, Abdulla Hagoni",Abdul,Liberal Party,2563
Tuburan,Councilor,"Salain, Bon Musarin",Abukahair,Liberal Party,2565
Tuburan,Councilor,"Aman, Fauzi Alimew",Hji. Fauzi,Liberal Party,2714
Tuburan,Councilor,"Jaiman, Hudjaman Adday",Hadji Hud,Liberal Party,2845
Tuburan,Councilor,"Kasim, Abdulhabir Mahotoh",Habir,Liberal Party,2879
Tuburan,Councilor,"Kallahal, Jhaber Sahasal",Jabz,Liberal Party,3140
Ungkaya Pukan,Mayor,"Maturan, Joel Tawani",Joe Adzmal,Liberal Party,4258
Ungkaya Pukan,Vice-Mayor,"Barahim, Ahmadin Taguni",Ahmad,-,4256
Ungkaya Pukan,Councilor,"Iklaman, Edwin Janang",Hj. Samad,Independent,2742
Ungkaya Pukan,Councilor,"Indama, Hadrie Jallaman",Die,-,2752
Ungkaya Pukan,Councilor,"Assadu, Ahmad Samputu",Madz,-,2542
Ungkaya Pukan,Councilor,"Sabdain, Johnny Amilon",Aturan Atud,-,2583
Ungkaya Pukan,Councilor,"Istajal, Mustakim Tagunie",Akeh,-,2606
Ungkaya Pukan,Councilor,"Tagunie, Salie Totong",Sal,-,2613
Ungkaya Pukan,Councilor,"Nusalan, Khair Gasta",Abdulkahir,-,2625
Ungkaya Pukan,Councilor,"Maninggil, Jerry Sarail",Jer,-,3085
