city_municipality,position ,name,nickname,party_affiliation,votes_obtained
Boston,Councilor,"Linaza, Juvenil Cabrera",Dondoy,Independent,2194
Boston,Councilor,"Castillones, Nelson Valdez",Nel,Independent,2372
Boston,Councilor,"Castres, Grace Vilda Tenorio",Jing,Independent,2395
Boston,Councilor,"Alac, Roque, , Jr. Tagalog",Boy,Independent,2616
Boston,Councilor,"Pagaduan, Henrey Allan Ragay",Jong,Lakas-Kampi,2630
Boston,Councilor,"Waniwan, Susitte Castres",Seth,Independent,2702
Boston,Councilor,"Rosit, Ramie Butulan",Ram,Lakas-Kampi,3010
Boston,Councilor,"Castillones, Vicente, Sr. Rosit",Vic,Independent,3188
Caraga,Mayor,"Duma-An, William Sobiaco",Willyboy,Liberal Party,8738
Caraga,Vice-Mayor,"Sobrecarey, Belshazzar Gagnao",Nonoy,Puwersa ng Masang Pilipino,5944
Caraga,Councilor,"Cayetano, Vilie Clovis Matucol",Clovis,Liberal Party,4806
Caraga,Councilor,"Anderson, Erlinda Cahilog",Daday,Nacionalista Party,4816
Caraga,Councilor,"Pandili, Wilfredo Salisad",Gobar,Nacionalista Party,5009
Caraga,Councilor,"Iturralde, Marilyn Sy",Allen,Independent,5043
Caraga,Councilor,"Zamora, Earlson Dominguez",Son,Nacionalista Party,5263
Caraga,Councilor,"Benitez, Melody Anne Santos",Odang,Independent,5321
Caraga,Councilor,"Silat, Pepito Balilahon",Petoy,Nacionalista Party,5353
Caraga,Councilor,"Pagsac, Eutiquio, Jr. Baguiohanon",Dodong,Nacionalista Party,5462
Cateel,Mayor,"Nunez, Camilo Toroba",Miloy,Nacionalista Party,11275
Cateel,Vice-Mayor,"Castro, Isidro Sibayan",Isid,Nacionalista Party,9011
Cateel,Councilor,"Robles, Rudy Juanillo",Boy,Independent,5065
Cateel,Councilor,"Steinl, Cynthia Songcat",Cynth,Independent,5221
Cateel,Councilor,"Castro, Eva Lilith Abella",Eva,Independent,5448
Cateel,Councilor,"Espirituoso, Conrada Rivas",Condring,Nacionalista Party,5600
Cateel,Councilor,"Go, Edred Balbido",Ed,Nacionalista Party,5635
Cateel,Councilor,"Yuson, Ederick Amemita",Donde,Nacionalista Party,6345
Cateel,Councilor,"Magno, Nemesio III Carreon",Nongnong,Nacionalista Party,7601
Cateel,Councilor,"Nunez, Erlinda Calanas",Linda,Nacionalista Party,9240
Governor Generoso,Mayor,"Orencia, Vicente Danog",Enting,Nacionalista Party,12867
Governor Generoso,Vice-Mayor,"Cielo, Virgilio Dela Cerna",Dodong,Nacionalista Party,10335
Governor Generoso,Councilor,"Ortega, Angelita Calamba",Lita,Nacionalista Party,6037
Governor Generoso,Councilor,"Limbadan, Ermian Exim",Yan-Yan,Independent,6222
Governor Generoso,Councilor,"Cabrera, Isagani Samson",Ganing,Independent,6263
Governor Generoso,Councilor,"Almacin, Romie Sostia",Rom,Liberal Party,6556
Governor Generoso,Councilor,"Maunas, Jone France Valles",Jon,Nacionalista Party,6698
Governor Generoso,Councilor,"Anasco, Mexiquel Inojales",Kingking,Nacionalista Party,7243
Governor Generoso,Councilor,"Musa, Basser Talib",Asing,Nacionalista Party,7399
Governor Generoso,Councilor,"Macalanggan, Ben Rauro",Sirad,Independent,7776
Lupon,Mayor,"Lim, Domingo Abordo",Doming,Lakas-Kampi,16220
Lupon,Vice-Mayor,"Barabag, Bonso Salindong",Bons,Independent,14618
Lupon,Councilor,"Salazar, Bernardita Saguimpa",Didith,Lakas-Kampi,11169
Lupon,Councilor,"Evangelista, Kent Lim",Kent,Nacionalista Party,11480
Lupon,Councilor,"Angsinco, Cenen Austria",Bebot,Lakas-Kampi,11485
Lupon,Councilor,"Suriba, Reynaldo Pasion",Rey,Lakas-Kampi,11913
Lupon,Councilor,"Roflo, Capistrano, Jr. Vidal",Dennis,Lakas-Kampi,12037
Lupon,Councilor,"Bote, Romeo, Jr. Rada",Jun,Nacionalista Party,12426
Lupon,Councilor,"Dacquiado, Reden Paras",Eding,Independent,13236
Lupon,Councilor,"Alonzo, Santos, Jr. Quedado",Sonny,Nacionalista Party,16641
Manay,Mayor,"Dayanghirang, Jon Marco Mendoza",Jm,Nacionalista Party,11716
Manay,Vice-Mayor,"Manuay, Alvino Tuba",Binoy,Nacionalista Party,8154
Manay,Councilor,"Bandigan, Winston Ortiz",Bucoy,Nacionalista Party,6876
Manay,Councilor,"Moralizon, Reynaldo Castro",Rey,Nacionalista Party,7097
Manay,Councilor,"Lahora, Alfonso, Jr. Dela Cruz",Benjie,Liberal Party,7719
Manay,Councilor,"Tengson, Honesto De Guzman",Nestor,Nacionalista Party,7914
Manay,Councilor,"Dayanghirang, Samuel Castillo",Abing,Nacionalista Party,9196
Manay,Councilor,"Mariano, Vincent Paul Basoc",Vp,Nacionalista Party,9597
Manay,Councilor,"Quibo, Japhet Mantog",Jojo,Nacionalista Party,10703
Manay,Councilor,"Dayanghirang, Antero Manolo, Jr. Lechoncito",Nol,Nacionalista Party,12271
Mati City,Mayor,"Rabat, Michelle Marie D Nakpil",Michelle,Lakas-Kampi,26667
Mati City,Vice-Mayor,"Rabat, Carlo Luis Peralta",Batman,Laban ng Demokratikong Pilipino,24753
Mati City,Councilor,"Albao, Virginia Manatad",Virgie,Lakas-Kampi,16766
Mati City,Councilor,"Tolentino, Dennis Tibudan",Goygoy,Lakas-Kampi,17997
Mati City,Councilor,"Linsag, Rosendo Bantayan",Endoy,Lakas-Kampi,18475
Mati City,Councilor,"Oliveros, Rey Panilag",Rey,Lakas-Kampi,19416
Mati City,Councilor,"Acera, Alan, Sr. Rodriguez",Kap,Lakas-Kampi,20694
Mati City,Councilor,"Andrada, Alan Estillore",Alan,Lakas-Kampi,21908
Mati City,Councilor,"Dayanghirang, Jerome Cayacay",Jimboy,Independent,22048
Mati City,Councilor,"Rodriguez, Orlando, Jr. Failma",Sonny,Lakas-Kampi,22083
Mati City,Councilor,"Balugo, Noli Santiago",Nol,Laban ng Demokratikong Pilipino,24220
Mati City,Councilor,"Gayta, Ma Glenda Monette Rabat",Glenda,Independent,28491
San Isidro,Mayor,"Saulon, Edgar Flor Villagracia",Boy,Nacionalista Party,8428
San Isidro,Vice-Mayor,"Gonzaga, Rolando Manuales",Lando,Lakas-Kampi,6401
San Isidro,Councilor,"Galagar, Nador Ranises",Dor,Lakas-Kampi,4884
San Isidro,Councilor,"Manuat, Leopoldo Aguilar",Boy,Nacionalista Party,5034
San Isidro,Councilor,"Marcojos, Serlino, Sr. Masillones",Dodong,Independent,5392
San Isidro,Councilor,"Megrino, Luis Salang",Luis,Lakas-Kampi,5416
San Isidro,Councilor,"Academia, Juliet Arilla",Julie,Nacionalista Party,5821
San Isidro,Councilor,"Virtudazo, Jacinta Gonzaga",Seneng,Lakas-Kampi,5887
San Isidro,Councilor,"Ranises, Marcelo Ednilan",Mar,Independent,6103
San Isidro,Councilor,"Ruelo, Apolinar, Jr. Cagape",Apol,Lakas-Kampi,7527
Tarragona,Mayor,"Uy, Samuel Lopez",Sammy,Nacionalista Party,7295
Tarragona,Vice-Mayor,"Pusta, Merly Wating",Merl,Nacionalista Party,3567
Tarragona,Councilor,"Enriquez, Benito V Ii Bualan",Ben-Ben,Puwersa ng Masang Pilipino,3489
Tarragona,Councilor,"Guisang, Angelita Solomon",Lita,Nacionalista Party,3540
Tarragona,Councilor,"Marianito, Rodolfo Langgam",Boroy,Nacionalista Party,3731
Tarragona,Councilor,"Dagnopan, Ismael Luis",Mike,Puwersa ng Masang Pilipino,3853
Tarragona,Councilor,"Casamino, Alejandro Jaime",Aiding,Independent,3913
Tarragona,Councilor,"Bulaong, Art Benjie Calipusan",Art,Nacionalista Party,3917
Tarragona,Councilor,"Matais, Edwin Colicot",Edwin,Independent,4468
Tarragona,Councilor,"Tesoy, Joeber Estanislao",Jun-Jun,Nacionalista Party,4564
