city_or_municipality,position,name,nickname,party_affliation,votes_obtained
San Isidro,Councilor,"Peligro, Cristito Merin",Ngongor,Liberal Party,2778
San Isidro,Councilor,"Espenido, Nestor Domi",Tor,Liberal Party,2715
San Isidro,Councilor,"Dulpina, Norberto Comboy",Berto,Nationalista Party,2687
San Isidro,Councilor,"Penera, Richel Tormento",Wawa,Liberal Party,2682
Santa Monica Sapao,Mayor,"Dolar, Fernando Nogaliza",Dodong,Independent,3154
Santa Monica Sapao,Vice-Mayor,"Virtudazo, Renato Arlan",Bulaw,Liberal Party,2988
Santa Monica Sapao,Councilor,"Liza, Juliana Merlin",Liana,Liberal Party,3460
Santa Monica Sapao,Councilor,"Laplana, Jose Arlan",Jo,Liberal Party,3151
Santa Monica Sapao,Councilor,"Liza, Crisanto Tisang",Cris,Independent,2861
Santa Monica Sapao,Councilor,"Salaan, Lonielito Billona",Anel,Liberal Party,2786
Santa Monica Sapao,Councilor,"Alaba, Cecilio Macaldo",Cel,Liberal Party,2784
Santa Monica Sapao,Councilor,"Cometa, Maximino Iii Febra",Bebot,Independent,2459
Santa Monica Sapao,Councilor,"Arlan, Edgar Lim",Edgar,Liberal Party,2379
Santa Monica Sapao,Councilor,"Tan, Nephtali Becero",Borloloy,Independent,2363
Sison,Mayor,"Fetalvero, Leicester Plaza",Lyser,Liberal Party,6117
Sison,Vice-Mayor,"Lumpay, Clemente Jr. Gajol",Balok,Liberal Party,4711
Sison,Councilor,"Alas, Cristy Leyson",Dayday,Liberal Party,5584
Sison,Councilor,"Fetalvero, Karissa Rivamonte",Kariss,Liberal Party,5329
Sison,Councilor,"Cano, Myrnalin Fetalvero",Neneng,Liberal Party,4513
Sison,Councilor,"Avila, William Espina",Loklok,Liberal Party,4416
Sison,Councilor,"Larines, Victoria Seraspe",Vicky,Liberal Party,4358
Sison,Councilor,"Cinco, Gaspar Diaz",Gaga,Liberal Party,4328
Sison,Councilor,"Becina, Dominador Sr. Diola",Doming,Liberal Party,4035
Sison,Councilor,"Roweras, Henry Mante",Dodo,Liberal Party,4024
Socorro,Mayor,"Florano, Denia Taruc",Denia,PADAJON,6908
Socorro,Vice-Mayor,"Taruc, Dominador Lasala",Doming,PADAJON,8942
Socorro,Councilor,"Dizon, Glenn Mark Coniato",Dongdong,Liberal Party,8264
Socorro,Councilor,"Coniato, Samuel Gamutan",Bendong,Independent,7470
Socorro,Councilor,"Dacera, Wilberto Mantilla",Berting,PADAJON,7348
Socorro,Councilor,"Gambing, Leolito Gromacon",Loloy,Liberal Party,7218
Socorro,Councilor,"Ajoc, Romero Henson",Mero,Liberal Party,6596
Socorro,Councilor,"Galanida, Felizardo Angcog",Sarding,Liberal Party,6574
Socorro,Councilor,"Carduza, Marlito Taruc",Bobot,Independent,6569
Socorro,Councilor,"Lasala, Nector Mullanida",Boy,Liberal Party,6077
Surigao City,City Mayor,"Matugas, Ernesto Tinio",Nitoy,Liberal Party,34561
Surigao City,City Vice-Mayor,"Menor, Danilo Comanda",Danny,Liberal Party,34574
Surigao City,Councilor,"Recabo, Rise Faith Redoble",Rise,Liberal Party,35984
Surigao City,Councilor,"Yuipco, Kent Lim",Manoy,Liberal Party,32453
Surigao City,Councilor,"Gorgod, Carlos  Jr. Chato",Yoyo,Liberal Party,32294
Surigao City,Councilor,"Abian, Baltazar Catindin",Batang,Makabayang Koalisyon ng Mamamayan,31898
Surigao City,Councilor,"Matugas, Ernesto Jr. Uy",Estong,Liberal Party,30281
Surigao City,Councilor,"Aldonza, Leonilo Altura",Nilo,Makabayang Koalisyon ng Mamamayan,27563
Surigao City,Councilor,"Almeda, Fernando Iii Siscon",Thirdy,United Nationalist Alliance,27456
Surigao City,Councilor,"Begil, Jose Jr. Villalba",Joe,Makabayang Koalisyon ng Mamamayan,26235
Surigao City,Councilor,"Lancin, Luceniano Escalante",Dodong,Nationalista Party,25414
Surigao City,Councilor,"Consigo, Perfecto Boquilon",Pepe,Liberal Party,25268
Tagana-an,Mayor,"Diaz, Cesar Alsong",Sario,Liberal Party,6646
Tagana-an,Vice-Mayor,"Aristan, Falcone Doclin",Paly,Liberal Party,4260
Tagana-an,Councilor,"Aloy, Marionito Buico",Tata,Liberal Party,6437
Tagana-an,Councilor,"Jalbo, Gil Lopez",Baxter,Nationalista Party,6038
Tagana-an,Councilor,"Benedicto, Mercy Bonostro",Mers,Liberal Party,5859
Tagana-an,Councilor,"Manubag, Marte Millan",Mart,Liberal Party,5838
Tagana-an,Councilor,"Beberino, Vicente Jr. Suacillo",Edot,Liberal Party,5715
Tagana-an,Councilor,"Diaz, Cesar Jr. Batoy",Jr,Liberal Party,5372
Tagana-an,Councilor,"Balmedina, Roberto Belgado",Robert,Liberal Party,5145
Tagana-an,Councilor,"Pesidas, Evelyn Amomonpon",Bebeth,Liberal Party,5113
Tubod,Mayor,"Arcillas, Cristina Hemady Romarate",Ched,Liberal Party,6218
Tubod,Vice-Mayor,"Macula, Severa Liza Labadan",Diding,Liberal Party,4918
Tubod,Councilor,"Balgoma, Marilyn Abuyo",Yeyen,Liberal Party,5513
Tubod,Councilor,"Nalitan, Edeltrudo Gales",Edel,Independent,5189
Tubod,Councilor,"Biong, Zita Nalitan",Nene,Liberal Party,5131
Tubod,Councilor,"Dumadag, Felisberto Fuertes",Colong,Liberal Party,4805
Tubod,Councilor,"Alipao, Arlin Ignalig",Arlin,Liberal Party,4317
Tubod,Councilor,"Eludo, John Darwin Calamba",Darwin,Liberal Party,4307
Tubod,Councilor,"Dumadag, Bernabe Palarca",Dodong,Liberal Party,4161
Tubod,Councilor,"Damole, Alejandro Sr. Artego",Ale,Liberal Party,3476
