particular,A110,A112,A115,A120,A125,A130,A135,A140,A200,A310,A320,A325,A330,A335,A340,A345,A400,A500,A800,A850,A855,A900,A910,Total
     The Judiciary,"5,161,709",0,"72,027",0,0,"241,474",0,"330,824",0,"445,261","34,131",0,"47,064",0,"30,028",0,0,"404,606","509,167","315,072",0,"1,013,538",0,"8,604,901"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Supreme Court of the Philippines and the,,,,,,,,,,,,,,,,,,,,,,,,
                Lower Courts,"4,707,732",0,"69,307",0,0,"225,377",0,"303,437",0,"393,822","31,102",0,"44,114",0,"27,532",0,0,"358,751","462,909","224,959",0,"941,183",0,"7,790,225"
               Presidential Electoral Tribunal,"27,042",0,113,0,0,0,0,0,0,"2,879",78,0,144,0,52,0,0,"1,257","1,897",0,0,"2,976",0,"36,438"
          Sandiganbayan,"66,437",0,0,0,0,"5,326",0,"10,444",0,"7,487",459,0,687,0,389,0,0,"8,183","6,777","13,231",0,"11,567",0,"130,987"
          Court of Appeals,"306,134",0,"2,607",0,0,"10,771",0,"16,943",0,"36,211","2,218",0,"1,868",0,"1,801",0,0,"32,887","32,765","72,953",0,"51,018",0,"568,176"
          Court of Tax Appeals,"54,364",0,0,0,0,0,0,0,0,"4,862",274,0,251,0,254,0,0,"3,528","4,819","3,929",0,"6,794",0,"79,075"
,,,,,,,,,,,,,,,,,,,,,,,,
     Civil Service Commission,"285,842",0,665,0,0,"1,092",0,0,0,"25,354","1,270",0,"1,555",0,618,0,"2,259","31,280","45,678","4,847",0,"34,779",0,"435,239"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Civil Service Commission,"278,538",0,665,0,0,861,0,0,0,"24,508","1,224",0,"1,468",0,575,0,"2,198","30,339","44,489","4,847",0,"31,585",0,"421,297"
               Career Executive Service Board,"7,304",0,0,0,0,231,0,0,0,846,46,0,87,0,43,0,61,941,"1,189",0,0,"3,194",0,"13,942"
,,,,,,,,,,,,,,,,,,,,,,,,
     Commission on Audit,"2,492,226",0,0,0,0,"62,534",0,"12,125",0,"314,482","12,928",0,"8,120",0,"4,257",0,"8,944","303,149","305,824","6,111",0,"385,638",0,"3,916,338"
