particular,A110,A112,A115,A120,A125,A130,A140,A200,A310,A315,A320,A325,A330,A335,A340,A345,A500,A800,A850,A855,A900,A910,Total
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"2,446,872",0,"366,046",0,0,0,0,0,"293,671",0,"15,968",0,"14,978",0,"15,875",0,"181,646","270,332",0,0,"404,416",0,"4,009,804"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"2,446,872",0,"366,046",0,0,0,0,0,"293,671",0,"15,968",0,"14,978",0,"15,875",0,"181,646","270,332",0,0,"404,416",0,"4,009,804"
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agriculture,"1,848,801",0,"37,557",0,0,0,0,0,"221,935",0,"12,682",0,"11,812",0,"12,026",0,"33,081","206,702",0,0,"386,339",0,"2,770,935"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"1,371,099",0,"30,201",0,0,0,0,0,"164,572",0,"9,560",0,"8,896",0,"9,041",0,"19,851","153,996",0,0,"298,228",0,"2,065,444"
          Agricultural Credit Policy Council,"9,615",0,0,0,0,0,0,0,"1,154",0,48,0,45,0,46,0,"1,899",998,0,0,"1,195",0,"15,000"
          Bureau of Fisheries and Aquatic Resources,"237,733",0,"4,293",0,0,0,0,0,"28,553",0,"1,660",0,"1,549",0,"1,562",0,"4,306","26,662",0,0,"42,688",0,"349,006"
          Bureau of Post-Harvest Research and Extension,"30,943",0,0,0,0,0,0,0,"3,715",0,169,0,159,0,166,0,"2,461","3,279",0,0,"12,875",0,"53,767"
          Cotton Development Administration,"26,980",0,0,0,0,0,0,0,"3,239",0,154,0,145,0,154,0,"1,321","2,889",0,0,"3,909",0,"38,791"
          Fertilizer and Pesticide Authority,"18,354",0,112,0,0,0,0,0,"2,204",0,107,0,99,0,104,0,656,"1,966",0,0,"2,658",0,"26,260"
          Fiber Industry Development Authority,"98,733",0,734,0,0,0,0,0,"11,851",0,635,0,591,0,617,0,963,"10,857",0,0,"16,001",0,"140,982"
          Livestock Development Council,"5,466",0,355,0,0,0,0,0,657,0,37,0,34,0,36,0,214,601,0,0,886,0,"8,286"
          National Agricultural and Fishery Council,"27,671",0,"1,862",0,0,0,0,0,"3,322",0,172,0,161,0,166,0,442,"3,021",0,0,"4,360",0,"41,177"
          National Meat Inspection Service,"4,646",0,0,0,0,0,0,0,558,0,28,0,26,0,27,0,358,503,0,0,702,0,"6,848"
          Philippine Carabao Center,"17,561",0,0,0,0,0,0,0,"2,110",0,112,0,107,0,107,0,610,"1,930",0,0,"2,837",0,"25,374"
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Budget and Management,"235,702",0,"4,200",0,0,0,0,0,"28,307",0,"1,214",0,"1,140",0,"1,207",0,"21,001","24,646",0,0,"30,519",0,"347,936"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"235,702",0,"4,200",0,0,0,0,0,"28,307",0,"1,214",0,"1,140",0,"1,207",0,"21,001","24,646",0,0,"30,519",0,"347,936"
,,,,,,,,,,,,,,,,,,,,,,,
     Department of Education,"90,162,279",0,"848,379","5,503,278",0,0,0,132,"11,258,320",0,"658,799",0,"616,397",0,"652,134",0,"99,222","10,140,247",0,0,"16,881,807",0,"136,820,994"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Secretary,"90,104,348",0,"848,264","5,502,779",0,0,0,0,"11,251,362",0,"658,377",0,"616,006",0,"651,733",0,"96,148","10,133,675",0,0,"16,871,215",0,"136,733,907"
          National Book Development Board,"6,964",0,0,0,0,0,0,0,838,0,41,0,39,0,40,0,"1,181",747,0,0,"1,010",0,"10,860"
          National Council for Children's Television,777,0,0,499,0,0,0,0,94,0,4,0,4,0,4,0,144,80,0,0,92,0,"1,698"
          National Museum,"42,483",0,84,0,0,0,0,0,"5,100",0,327,0,301,0,307,0,"1,313","4,897",0,0,"8,239",0,"63,051"
          Philippine High School for the Arts,"7,707",0,31,0,0,0,0,132,926,0,50,0,47,0,50,0,436,848,0,0,"1,251",0,"11,478"
,,,,,,,,,,,,,,,,,,,,,,,
     State Universities and Colleges,"11,658,847",0,"410,091","6,041",0,0,0,0,"1,399,307",0,"73,882",0,"68,755",0,"70,850",0,"634,767","1,277,886",0,0,"2,055,387",0,"17,655,813"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          National Capital Region,"3,579,383",0,"192,284",0,0,0,0,0,"429,546",0,"22,046",0,"20,554",0,"21,211",0,"413,093","389,329",0,0,"733,695",0,"5,801,141"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eulogio 'Amang' Rodriguez Institute of,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,"65,884",0,"1,462",0,0,0,0,0,"7,909",0,398,0,372,0,389,0,"2,230","7,144",0,0,"10,104",0,"95,892"
               Marikina Polytechnic College,"35,156",0,852,0,0,0,0,0,"4,220",0,253,0,235,0,242,0,812,"3,981",0,0,"6,471",0,"52,222"
               Philippine Normal University,"124,026",0,"2,960",0,0,0,0,0,"14,887",0,718,0,666,0,690,0,"54,335","13,313",0,0,"18,347",0,"229,942"
               Philippine State College of Aeronautics,"33,445",0,243,0,0,0,0,0,"4,014",0,221,0,205,0,212,0,"2,005","3,703",0,0,"5,600",0,"49,648"
               Polytechnic University of the Philippines,"327,032",0,"24,508",0,0,0,0,0,"39,246",0,"2,078",0,"1,938",0,"2,003",0,"75,427","35,900",0,0,"53,097",0,"561,229"
               Rizal Technological University,"87,174",0,"2,130",0,0,0,0,0,"10,464",0,534,0,497,0,520,0,"8,560","9,481",0,0,"13,645",0,"133,005"
               Technological University of the Philippines,"199,544",0,"4,133",0,0,0,0,0,"23,949",0,"1,163",0,"1,086",0,"1,137",0,"32,166","21,467",0,0,"29,684",0,"314,329"
               University of the Philippines System,"2,707,122",0,"155,996",0,0,0,0,0,"324,857",0,"16,681",0,"15,555",0,"16,018",0,"237,558","294,340",0,0,"596,747",0,"4,364,874"
,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"723,099",0,"14,822",0,0,0,0,0,"86,785",0,"4,538",0,"4,221",0,"4,345",0,"14,363","79,129",0,0,"115,653",0,"1,046,955"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"249,880",0,"4,072",0,0,0,0,0,"29,988",0,"1,493",0,"1,389",0,"1,432",0,"3,148","27,035",0,0,"38,086",0,"356,523"
               Ilocos Sur Polytechnic State College,"57,763",0,"1,214",0,0,0,0,0,"6,933",0,403,0,374,0,383,0,653,"6,489",0,0,"10,293",0,"84,505"
               Mariano Marcos State University,"173,534",0,"4,869",0,0,0,0,0,"20,827",0,"1,107",0,"1,031",0,"1,060",0,"3,587","19,069",0,0,"28,259",0,"253,343"
               Pangasinan State University,"124,044",0,"2,479",0,0,0,0,0,"14,888",0,819,0,762,0,781,0,"4,556","13,740",0,0,"20,798",0,"182,867"
               University of Northern Philippines,"117,878",0,"2,188",0,0,0,0,0,"14,149",0,716,0,665,0,689,0,"2,419","12,796",0,0,"18,217",0,"169,717"
,,,,,,,,,,,,,,,,,,,,,,,
          Cordillera Administrative Region,"312,349",0,"7,235",0,0,0,0,0,"37,492",0,"2,043",0,"1,901",0,"1,958",0,"18,477","34,504",0,0,"51,828",0,"467,787"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,"40,203",0,"1,135",0,0,0,0,0,"4,827",0,271,0,252,0,260,0,"3,465","4,473",0,0,"6,862",0,"61,748"
               Apayao State College,"19,915",0,"1,899",0,0,0,0,0,"2,391",0,132,0,123,0,129,0,449,"2,206",0,0,"3,333",0,"30,577"
               Benguet State University,"134,548",0,"1,669",0,0,0,0,0,"16,149",0,865,0,803,0,822,0,"6,159","14,805",0,0,"21,971",0,"197,791"
               Ifugao State College of Agriculture and Forestry,"47,330",0,"1,909",0,0,0,0,0,"5,681",0,312,0,290,0,298,0,"3,890","5,235",0,0,"7,951",0,"72,896"
               Kalinga-Apayao State College,"34,035",0,355,0,0,0,0,0,"4,085",0,220,0,206,0,213,0,"3,196","3,752",0,0,"5,576",0,"51,638"
               Mountain Province State Polytechnic College,"36,318",0,268,0,0,0,0,0,"4,359",0,243,0,227,0,236,0,"1,318","4,033",0,0,"6,135",0,"53,137"
,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"503,973",0,"12,178",0,0,0,0,0,"60,490",0,"3,096",0,"2,872",0,"2,949",0,"13,249","54,860",0,0,"78,973",0,"732,640"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),"6,975",0,"2,227",0,0,0,0,0,837,0,51,0,47,0,49,0,240,792,0,0,"1,290",0,"12,508"
               Cagayan State University,"159,836",0,"3,994",0,0,0,0,0,"19,183",0,990,0,918,0,938,0,"4,875","17,441",0,0,"25,122",0,"233,297"
               Isabela State University,"215,272",0,"4,180",0,0,0,0,0,"25,837",0,"1,286",0,"1,195",0,"1,232",0,"3,320","23,283",0,0,"32,970",0,"308,575"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"104,839",0,"1,619",0,0,0,0,0,"12,585",0,653,0,605,0,618,0,"4,123","11,446",0,0,"16,677",0,"153,165"
               Quirino State College,"17,051",0,158,0,0,0,0,0,"2,048",0,116,0,107,0,112,0,691,"1,898",0,0,"2,914",0,"25,095"
,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"769,929",0,"11,636",0,0,0,0,0,"92,420",0,"4,941",0,"4,585",0,"4,725",0,"32,637","84,655",0,0,"125,960",0,"1,131,488"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,"15,382",0,747,0,0,0,0,0,"1,847",0,109,0,101,0,102,0,"1,790","1,733",0,0,"2,754",0,"24,565"
               Bataan Peninsula State University,"73,747",0,"2,060",0,0,0,0,0,"8,852",0,508,0,474,0,492,0,"14,652","8,247",0,0,"12,985",0,"122,017"
               Bulacan Agricultural State College,"23,635",0,179,0,0,0,0,0,"2,838",0,160,0,149,0,153,0,468,"2,626",0,0,"4,004",0,"34,212"
               Bulacan State University,"94,688",0,401,0,0,0,0,0,"11,366",0,566,0,529,0,553,0,"2,974","10,244",0,0,"14,409",0,"135,730"
               Central Luzon State University,"153,644",0,804,0,0,0,0,0,"18,440",0,"1,019",0,937,0,950,0,"1,814","17,041",0,0,"26,141",0,"220,790"
               Don Honorio Ventura College of Arts and Trades,"52,378",0,"2,159",0,0,0,0,0,"6,287",0,307,0,287,0,301,0,844,"5,637",0,0,"7,813",0,"76,013"
               Nueva Ecija University of Science and Technology,"96,981",0,715,0,0,0,0,0,"11,640",0,597,0,555,0,576,0,"1,866","10,560",0,0,"15,206",0,"138,696"
               Pampanga Agricultural College,"49,369",0,"1,235",0,0,0,0,0,"5,927",0,324,0,301,0,310,0,"2,593","5,456",0,0,"8,240",0,"73,755"
               Philippine Merchant Marine Academy,"34,814",0,883,0,0,0,0,0,"4,179",0,267,0,244,0,240,0,"2,325","4,008",0,0,"6,853",0,"53,813"
               Ramon Magsaysay Technological University,"50,437",0,"1,559",0,0,0,0,0,"6,057",0,329,0,304,0,317,0,"1,476","5,561",0,0,"8,358",0,"74,398"
               Tarlac College of Agriculture,"55,477",0,380,0,0,0,0,0,"6,659",0,346,0,323,0,333,0,886,"6,062",0,0,"8,802",0,"79,268"
               Tarlac State University,"69,377",0,514,0,0,0,0,0,"8,328",0,409,0,381,0,398,0,949,"7,480",0,0,"10,395",0,"98,231"
,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"491,229",0,"11,935",0,0,0,0,0,"58,961",0,"3,231",0,"3,005",0,"3,129",0,"8,265","54,352",0,0,"82,010",0,"716,117"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"106,526",0,"2,086",0,0,0,0,0,"12,786",0,703,0,655,0,684,0,"1,521","11,795",0,0,"17,868",0,"154,624"
               Cavite State University,"104,886",0,"3,674",0,0,0,0,0,"12,589",0,682,0,632,0,654,0,"2,451","11,575",0,0,"17,318",0,"154,461"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),"85,970",0,"3,533",0,0,0,0,0,"10,319",0,571,0,531,0,554,0,944,"9,536",0,0,"14,504",0,"126,462"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"70,201",0,900,0,0,0,0,0,"8,427",0,452,0,420,0,438,0,754,"7,724",0,0,"11,455",0,"100,771"
               University of Rizal System,"123,646",0,"1,742",0,0,0,0,0,"14,840",0,823,0,767,0,799,0,"2,595","13,722",0,0,"20,865",0,"179,799"
,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"309,771",0,"11,974",0,0,0,0,0,"37,185",0,"2,109",0,"1,962",0,"2,030",0,"5,877","34,560",0,0,"53,472",0,"458,940"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,"30,685",0,559,0,0,0,0,0,"3,683",0,200,0,186,0,195,0,656,"3,385",0,0,"5,042",0,"44,591"
               Mindoro State College of Agriculture and Technology,"39,786",0,"1,088",0,0,0,0,0,"4,776",0,277,0,259,0,267,0,555,"4,467",0,0,"7,074",0,"58,549"
               Occidental Mindoro National College,"50,971",0,"3,833",0,0,0,0,0,"6,118",0,350,0,326,0,339,0,270,"5,700",0,0,"8,922",0,"76,829"
               Palawan State University,"79,401",0,748,0,0,0,0,0,"9,531",0,525,0,491,0,512,0,"1,578","8,799",0,0,"13,316",0,"114,901"
               Romblon State College,"55,529",0,920,0,0,0,0,0,"6,666",0,393,0,361,0,369,0,"1,450","6,251",0,0,"9,914",0,"81,853"
               Western Philippines University,"53,399",0,"4,826",0,0,0,0,0,"6,411",0,364,0,339,0,348,0,"1,368","5,958",0,0,"9,204",0,"82,217"
,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"621,251",0,"18,871",0,0,0,0,0,"74,566",0,"3,925",0,"3,661",0,"3,790",0,"18,849","68,077",0,0,"99,940",0,"912,930"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"206,479",0,"5,237",0,0,0,0,0,"24,780",0,"1,238",0,"1,155",0,"1,195",0,"6,674","22,355",0,0,"31,538",0,"300,651"
               Camarines Norte State College,"65,671",0,997,0,0,0,0,0,"7,882",0,440,0,411,0,429,0,"1,216","7,304",0,0,"11,194",0,"95,544"
               Camarines Sur Polytechnic Colleges,"46,861",0,999,0,0,0,0,0,"5,626",0,294,0,276,0,286,0,"1,110","5,127",0,0,"7,502",0,"68,081"
               Camarines Sur State Agricultural College,"83,859",0,"7,593",0,0,0,0,0,"10,066",0,534,0,495,0,512,0,"1,207","9,196",0,0,"13,514",0,"126,976"
               Catanduanes State Colleges,"93,393",0,990,0,0,0,0,0,"11,210",0,597,0,557,0,573,0,"5,094","10,261",0,0,"15,231",0,"137,906"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,"19,470",0,424,0,0,0,0,0,"2,338",0,139,0,130,0,132,0,727,"2,199",0,0,"3,525",0,"29,084"
               Partido State University,"53,330",0,"1,571",0,0,0,0,0,"6,400",0,351,0,328,0,342,0,"1,114","5,905",0,0,"8,944",0,"78,285"
               Sorsogon State College,"52,188",0,"1,060",0,0,0,0,0,"6,264",0,332,0,309,0,321,0,"1,707","5,730",0,0,"8,492",0,"76,403"
,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"832,309",0,"22,540",0,0,0,0,0,"99,909",0,"5,505",0,"5,123",0,"5,286",0,"13,531","92,164",0,0,"141,907",0,"1,218,274"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"85,403",0,"4,640",0,0,0,0,0,"10,251",0,557,0,517,0,531,0,"1,597","9,433",0,0,"14,193",0,"127,122"
               Capiz State University,"124,517",0,"2,801",0,0,0,0,0,"14,945",0,792,0,738,0,762,0,"1,537","13,671",0,0,"20,117",0,"179,880"
               Carlos C. Hilado Memorial State College,"61,224",0,"1,335",0,0,0,0,0,"7,349",0,402,0,375,0,392,0,394,"6,774",0,0,"10,213",0,"88,458"
               Guimaras State College,"14,276",0,362,0,0,0,0,0,"1,714",0,97,0,91,0,94,0,416,"1,592",0,0,"2,450",0,"21,092"
               Iloilo State College of Fisheries,"75,359",0,"2,417",0,0,0,0,0,"9,047",0,501,0,466,0,478,0,679,"8,355",0,0,"12,677",0,"109,979"
               Negros State College of Agriculture,"19,371",0,241,0,0,0,0,0,"2,326",0,136,0,128,0,131,0,368,"2,181",0,0,"3,454",0,"28,336"
               Northern Iloilo Polytechnic State College,"98,132",0,"1,491",0,0,0,0,0,"11,780",0,666,0,617,0,641,0,"1,418","10,940",0,0,"16,858",0,"142,543"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,"12,792",0,475,0,0,0,0,0,"1,536",0,84,0,78,0,81,0,387,"1,413",0,0,"2,123",0,"18,969"
               Polytechnic State College of Antique,"50,169",0,"1,177",0,0,0,0,0,"6,025",0,350,0,324,0,333,0,"1,578","5,629",0,0,"8,888",0,"74,473"
               Western Visayas College of Science and Technology,"100,272",0,"2,988",0,0,0,0,0,"12,036",0,640,0,597,0,622,0,925,"11,006",0,0,"16,263",0,"145,349"
               West Visayas State University,"190,794",0,"4,613",0,0,0,0,0,"22,900",0,"1,280",0,"1,192",0,"1,221",0,"4,232","21,170",0,0,"34,671",0,"282,073"
,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"335,836",0,"3,501",0,0,0,0,0,"40,306",0,"2,191",0,"2,038",0,"2,108",0,"15,463","37,097",0,0,"55,789",0,"494,329"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,"36,013",0,277,0,0,0,0,0,"4,323",0,232,0,216,0,224,0,"6,569","3,964",0,0,"5,901",0,"57,719"
               Cebu State College of Science and Technology,"139,717",0,"1,139",0,0,0,0,0,"16,767",0,935,0,869,0,895,0,"3,978","15,537",0,0,"23,840",0,"203,677"
               Central Visayas State College of,,,,,,,,,,,,,,,,,,,,,,,
"                     Agriculture, Forestry and Technology","64,628",0,"1,126",0,0,0,0,0,"7,756",0,453,0,420,0,432,0,"2,428","7,271",0,0,"11,541",0,"96,055"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),"79,306",0,664,0,0,0,0,0,"9,519",0,465,0,435,0,455,0,"1,807","8,541",0,0,"11,842",0,"113,034"
               Siquijor State College,"16,172",0,295,0,0,0,0,0,"1,941",0,106,0,98,0,102,0,681,"1,784",0,0,"2,665",0,"23,844"
,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"743,207",0,"37,238",0,0,0,0,0,"89,214",0,"4,969",0,"4,620",0,"4,732",0,"24,701","82,570",0,0,"126,490",0,"1,117,741"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"93,319",0,"2,916",0,0,0,0,0,"11,201",0,688,0,632,0,638,0,"2,959","10,640",0,0,"17,485",0,"140,478"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"99,632",0,"2,643",0,0,0,0,0,"11,958",0,642,0,596,0,615,0,"2,060","10,967",0,0,"16,340",0,"145,453"
               Leyte Normal University,"45,378",0,700,0,0,0,0,0,"5,448",0,296,0,278,0,287,0,"3,170","5,005",0,0,"7,510",0,"68,072"
               Visayas State University (Leyte State University),"142,740",0,"21,953",0,0,0,0,0,"17,135",0,926,0,861,0,870,0,"3,457","15,739",0,0,"23,573",0,"227,254"
               Naval Institute of Technology,"38,784",0,751,0,0,0,0,0,"4,656",0,261,0,242,0,247,0,887,"4,315",0,0,"6,653",0,"56,796"
               Palompon Institute of Technology,"42,405",0,818,0,0,0,0,0,"5,092",0,275,0,255,0,264,0,"1,161","4,671",0,0,"6,968",0,"61,909"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"68,330",0,"1,449",0,0,0,0,0,"8,203",0,493,0,462,0,476,0,853,"7,746",0,0,"12,598",0,"100,610"
               Samar State College of Agriculture and Forestry,"10,133",0,522,0,0,0,0,0,"1,216",0,69,0,63,0,65,0,709,"1,130",0,0,"1,769",0,"15,676"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),"55,842",0,"1,317",0,0,0,0,0,"6,703",0,370,0,344,0,354,0,"4,278","6,191",0,0,"9,470",0,"84,869"
               Tiburcio Tancinco Memorial Institute of,,,,,,,,,,,,,,,,,,,,,,,
                     Science and Technology,"28,122",0,533,0,0,0,0,0,"3,376",0,189,0,175,0,180,0,"1,613","3,130",0,0,"4,794",0,"42,112"
               University of Eastern Philippines,"118,522",0,"3,636",0,0,0,0,0,"14,226",0,760,0,712,0,736,0,"3,554","13,036",0,0,"19,330",0,"174,512"
,,,,,,,,,,,,,,,,,,,,,,,
          Region IX - WESTERN MINDANAO,"533,942",0,"18,226",685,0,0,0,0,"64,084",0,"3,595",0,"3,337",0,"3,423",0,"13,181","59,439",0,0,"91,288",0,"791,200"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Basilan State College,"21,832",0,263,0,0,0,0,0,"2,620",0,146,0,135,0,140,0,435,"2,426",0,0,"3,699",0,"31,696"
               J. H. Cerilles State College,"17,841",0,512,0,0,0,0,0,"2,143",0,134,0,125,0,128,0,590,"2,044",0,0,"3,388",0,"26,905"
               Jose Rizal Memorial State College,"76,797",0,"2,227",0,0,0,0,0,"9,217",0,550,0,511,0,526,0,344,"8,686",0,0,"13,978",0,"112,836"
               MSU-Tawi-Tawi College of Technology and Oceanography,"149,459",0,"5,949",685,0,0,0,0,"17,937",0,"1,034",0,955,0,958,0,"1,850","16,756",0,0,"26,275",0,"221,858"
               Sulu State College,"24,847",0,792,0,0,0,0,0,"2,982",0,165,0,154,0,160,0,731,"2,757",0,0,"4,186",0,"36,774"
               Tawi-Tawi Regional Agricultural College,"20,737",0,501,0,0,0,0,0,"2,489",0,131,0,122,0,127,0,578,"2,269",0,0,"3,305",0,"30,259"
               Western Mindanao State University,"147,955",0,"4,339",0,0,0,0,0,"17,758",0,923,0,860,0,896,0,"6,952","16,168",0,0,"23,445",0,"219,296"
