particulars,name_1,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,sw1
               Carlos C. Hilado Memorial State College,               Carlos C. Hilado Memorial State College,88458,11527,3012,0,0,0,7349,0,0,81109,11527,3012,0,0,0,0,0,0,0
               Guimaras State College,               Guimaras State College,21092,2218,3012,0,0,0,1714,0,0,19378,2218,3012,0,0,0,0,0,0,0
               Iloilo State College of Fisheries,               Iloilo State College of Fisheries,109979,10015,3012,0,0,0,9047,0,0,100932,10015,3012,0,0,0,0,0,0,0
               Negros State College of Agriculture,               Negros State College of Agriculture,28336,7644,3012,0,0,0,2326,0,0,26010,7644,3012,0,0,0,0,0,0,0
               Northern Iloilo Polytechnic State College,               Northern Iloilo Polytechnic State College,142543,13568,3012,0,0,0,11780,0,0,130763,13568,3012,0,0,0,0,0,0,0
               Northern Negros State College of,               Northern Negros State College of,,,,,,,,,,,,,,,,,,,
                     Science and Technology,                     Science and Technology,18969,3990,3012,0,0,0,1536,0,0,17433,3990,3012,0,0,0,0,0,0,0
               Polytechnic State College of Antique,               Polytechnic State College of Antique,74473,12501,3012,0,0,0,6025,0,0,68448,12501,3012,0,0,0,0,0,0,0
               Western Visayas College of Science,               Western Visayas College of Science,,,,,,,,,,,,,,,,,,,
                     and Technology,                     and Technology,145349,26027,3012,0,0,0,12036,0,0,133313,26027,3012,0,0,0,0,0,0,0
               West Visayas State University,               West Visayas State University,282073,45519,3012,0,0,0,22900,0,0,259173,45519,3012,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,          Region VII - CENTRAL VISAYAS,494329,141890,15060,0,0,0,40306,0,0,454023,141890,15060,0,0,0,0,0,0,1
               Cebu Normal University,               Cebu Normal University,57719,36833,3012,0,0,0,4323,0,0,53396,36833,3012,0,0,0,0,0,0,0
               Cebu State College of Science and Technology,               Cebu State College of Science and Technology,203677,34533,3012,0,0,0,16767,0,0,186910,34533,3012,0,0,0,0,0,0,0
               Central Visayas State College of,               Central Visayas State College of,,,,,,,,,,,,,,,,,,,
"                     Agriculture, Forestry and Technology","                     Agriculture, Forestry and Technology",96055,24065,3012,0,0,0,7756,0,0,88299,24065,3012,0,0,0,0,0,0,0
               Negros Oriental State University,               Negros Oriental State University,,,,,,,,,,,,,,,,,,,
