Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
     Department of Foreign Affairs,0,0,0,0,"291,349","141,667",0,"92,320",0,0,0,0,"525,336"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"291,349","141,667",0,"92,320",0,0,0,0,"525,336"
,,,,,,,,,,,,,
     Department of Health,0,0,0,0,"586,713","193,039",0,"20,200","567,500","1,085,621",0,0,"2,453,073"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"586,713","184,184",0,"12,000","567,500","1,085,621",0,0,"2,436,018"
          Commission on Population,0,0,0,0,0,"2,505",0,0,0,0,0,0,"2,505"
          National Nutrition Council,0,0,0,0,0,"6,350",0,"8,200",0,0,0,0,"14,550"
,,,,,,,,,,,,,
     Department of the Interior and Local Government,0,0,0,0,"136,900","15,871",0,"513,177","815,718",0,0,0,"1,481,666"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"3,145",0,0,"248,078",0,0,0,"251,223"
          Bureau of Fire Protection,0,0,0,0,0,0,0,0,"358,770",0,0,0,"358,770"
          Bureau of Jail Management and Penology,0,0,0,0,"36,900",0,0,"13,470","32,670",0,0,0,"83,040"
          Local Government Academy,0,0,0,0,0,0,0,750,0,0,0,0,750
          National Police Commission,0,0,0,0,0,"12,726",0,0,0,0,0,0,"12,726"
          Philippine National Police,0,0,0,0,"100,000",0,0,"498,957","176,200",0,0,0,"775,157"
,,,,,,,,,,,,,
     Department of Justice,0,0,0,0,"491,200","176,965",0,750,"11,335",0,0,0,"680,250"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"435,163","106,790",0,0,0,0,0,0,"541,953"
          Bureau of Corrections,0,0,0,0,"4,700",0,0,0,0,0,0,0,"4,700"
          Bureau of Immigration,0,0,0,0,0,"45,000",0,0,0,0,0,0,"45,000"
          Commission on the Settlement of Land Problems,0,0,0,0,390,0,0,750,0,0,0,0,"1,140"
          Land Registration Authority,0,0,0,0,0,"10,000",0,0,0,0,0,0,"10,000"
          National Bureau of Investigation,0,0,0,0,"30,000",0,0,0,"11,335",0,0,0,"41,335"
          Office of the Government Corporate Counsel,0,0,0,0,0,175,0,0,0,0,0,0,175
          Office of the Solicitor General,0,0,0,0,0,"15,000",0,0,0,0,0,0,"15,000"
          Parole and Probation Administration,0,0,0,0,"10,734",0,0,0,0,0,0,0,"10,734"
          Public Attorney's Office,0,0,0,0,"10,213",0,0,0,0,0,0,0,"10,213"
,,,,,,,,,,,,,
     Department of Labor and Employment,0,0,0,0,"43,728","100,102",0,"5,850","116,870",0,0,0,"266,550"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"52,900",0,"5,000",0,0,0,0,"57,900"
          National Conciliation and Mediation Board,0,0,0,0,0,"2,485",0,0,0,0,0,0,"2,485"
          National Labor Relations Commission,0,0,0,0,0,"2,503",0,0,0,0,0,0,"2,503"
          National Maritime Polytechnic,0,0,0,0,0,"12,910",0,0,"20,590",0,0,0,"33,500"
          National Wages and Productivity Commission,0,0,0,0,0,"5,735",0,850,0,0,0,0,"6,585"
          Philippine Overseas Employment Administration,0,0,0,0,"4,728","2,150",0,0,0,0,0,0,"6,878"
          Technical Education and Skills Development Authority,0,0,0,0,"39,000","21,419",0,0,"96,280",0,0,0,"156,699"
,,,,,,,,,,,,,
     Department of National Defense,0,0,0,0,"1,028,386","3,497",0,"2,000",0,0,0,0,"1,033,883"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          National Defense College of the Philippines,0,0,0,0,"14,864","1,253",0,0,0,0,0,0,"16,117"
          Philippine Veterans Affairs Office,0,0,0,0,0,244,0,0,0,0,0,0,244
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Philippine Veterans Affairs Office (Proper),0,0,0,0,0,80,0,0,0,0,0,0,80
               Military Shrines Service,0,0,0,0,0,164,0,0,0,0,0,0,164
,,,,,,,,,,,,,
          Armed Forces of the Philippines,0,0,0,0,"1,013,522","2,000",0,"2,000",0,0,0,0,"1,017,522"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               General Headquarters (Proper),0,0,0,0,"1,013,522","2,000",0,"2,000",0,0,0,0,"1,017,522"
,,,,,,,,,,,,,
     Department of Public Works and Highways,0,0,0,0,0,"127,380",0,"4,000",110,"83,209,570",0,0,"83,341,060"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"127,380",0,"4,000",110,"83,209,570",0,0,"83,341,060"
,,,,,,,,,,,,,
     Department of Science and Technology,0,"10,000",0,"27,205","750,867","178,379",0,"21,440","279,890",0,0,0,"1,267,781"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"27,205","126,950","21,163",0,"12,000","74,043",0,0,0,"261,361"
          Advanced Science and Technology Institute,0,0,0,0,0,"12,804",0,0,0,0,0,0,"12,804"
          Food and Nutrition Research Institute,0,0,0,0,0,532,0,"2,000","5,963",0,0,0,"8,495"
          Forest Products Research and Development Institute,0,0,0,0,0,"22,583",0,0,0,0,0,0,"22,583"
          Industrial Technology Development Institute,0,0,0,0,"5,000","7,300",0,"1,000","52,048",0,0,0,"65,348"
          Metals Industry Research and Development Center,0,0,0,0,0,500,0,0,"8,136",0,0,0,"8,636"
          National Academy of Science and Technology,0,0,0,0,0,"3,400",0,"1,000",0,0,0,0,"4,400"
          National Research Council of the Philippines,0,0,0,0,0,0,0,0,"1,070",0,0,0,"1,070"
"          Philippine Atmospheric, Geophysical and",,,,,,,,,,,,,
                Astronomical Services Administration,0,0,0,0,"40,870","9,566",0,0,"38,416",0,0,0,"88,852"
          Philippine Council for Advanced Science and,,,,,,,,,,,,,
                Technology Research and Development,0,0,0,0,0,"9,000",0,"1,000",0,0,0,0,"10,000"
"          Philippine Council for Agriculture, Forestry",,,,,,,,,,,,,
                and Natural Resources Research and Development,0,0,0,0,0,"2,000",0,0,0,0,0,0,"2,000"
          Philippine Council for Aquatic and Marine,,,,,,,,,,,,,
                Research and Development,0,0,0,0,"4,200",800,0,0,0,0,0,0,"5,000"
          Philippine Council for Health Research and Development,0,0,0,0,0,"1,500",0,0,0,0,0,0,"1,500"
          Philippine Council for Industry and Energy,,,,,,,,,,,,,
