region,airport,airline_operation, january , february , march , april , may , june , july , august , september , october , november , december ,total
VI (Western Visayas),Iloilo,PAL,446787,718038,411554,385546,482845,484470,525631,550043,472571,524908,474472,489371,5966236
VI (Western Visayas),Iloilo,Cebu Pacific,480496,712493,415938,793802,704202,697976,572360,524288,585040,482821,416589,568198,6954203
VI (Western Visayas),Iloilo,Air Philippine, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VI (Western Visayas),Iloilo,Zest Air, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VI (Western Visayas),Iloilo,Cebgo, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VI (Western Visayas),Kalibo,International, - , - , - , - , - , - , - ,-, - , - , - , - , - 
VI (Western Visayas),Kalibo,PAL, - , - , - , - , - , - , - ,-, - , - , - , - , -   
VI (Western Visayas),Kalibo,Air Philippine, - , - , - , - , - , - , - ,-, - , - , - , - , -   
VI (Western Visayas),Kalibo,China M.Air, - , - , - , - , - , - , - ,-, - , - , - , - , - 
VI (Western Visayas),Kalibo,JIN Air, - , - , - , - , - , - , - ,-, - , - , - , - , - 
VI (Western Visayas),Kalibo,Air Asia or Zest Air, - , - , - , - , - , - , - ,-, - , - , - , - , -   
VI (Western Visayas),Kalibo,Domestic, - , - , - , - , - , - , - ,-, - , - , - , - , - 
VI (Western Visayas),Kalibo,PAL,63186,63646,84089,36187,48899,52969,51499,78214,41345,45265,50619,67640,683558
VI (Western Visayas),Kalibo,Air Philippine, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VI (Western Visayas),Kalibo,Cebu Pacific,44145,39217,41777,50076,47401,52969,44822,49840,42545,46147,126300,67033,652272
VI (Western Visayas),Kalibo,Air Asia or Zest Air,107871,82225,84222,87310,99263,94743,104484,57419,92096,148386,94497,93368,1145884
VI (Western Visayas),Kalibo,Tiger Air or Seair,17453,6161,11628,220, - , - ,28585,6088,2838, - , - , - ,72973
VI (Western Visayas),Kalibo,Silk Air, - , - , - , - , - , - , - ,-, - , - , - , - , -   
VI (Western Visayas),Kalibo,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VI (Western Visayas),Roxas,PAL,45648,47585,58135,107662,127813,111586,117465,57063,122121,137566,95627,119070,1147341
VI (Western Visayas),Roxas,Cebu Pacific,30176,29579,35059,67206,62283,68639,71732,31358,70519,87418,90941,105454,750364
VI (Western Visayas),Roxas,Tiger Airways,12526,13865,8718,21336,32358,22702,25898,10769,12900, - , - , - ,161072
VI (Western Visayas),Roxas,G. Aviation, - , - ,-, - , - ,1400,760,-, - , - , - , - , - 
VII (Central Visayas),Dumaguete,PALEX,107556,127535,157912,150462,155140,104061,122250,167960,122286,143417,87098,120639,1566316
VII (Central Visayas),Dumaguete,Tiger Air,-, - ,-, - , - , - , - ,-, - , - , - , - , -   
VII (Central Visayas),Dumaguete,Military,-, - ,-, - , - , - , - ,-, - , - , - , - , -   
VII (Central Visayas),Dumaguete,Cebu Pacific,231643,192339,199274,216640,303146,256936,250385,228508,243317,210770,178354,242502,2753814
VII (Central Visayas),Dumaguete,G. Aviation,250, - ,3360,2500,456, - ,100,1050, - ,300,1800, - ,9816
VII (Central Visayas),Mactan ,International, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VII (Central Visayas),Mactan ,Domestic, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VII (Central Visayas),Mactan ,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
VII (Central Visayas),Mactan ,Military, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
VII (Central Visayas),Siquijor,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
VII (Central Visayas),Tagbilaran,PAL,114892,80067,100762,97919,109339,101964,121158,66093,97345,112373,121239,135191,1258342
VII (Central Visayas),Tagbilaran,Cebu Pacific,43822,38874,52391,38677,40212,20109,26080,21752,43570,96131,132965,164019,718602
VII (Central Visayas),Tagbilaran,Air Philippine, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VII (Central Visayas),Tagbilaran,Zest Air,87293,90715,99029,76027,82916,65636,77561,74862,78950,85751,84556,113444,1016740
VII (Central Visayas),Tagbilaran,Tiger Airways,57718,49538,62829,61276,78692,75347,89136,89082,47002, - , - , - ,610620
VII (Central Visayas),Tagbilaran,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VII (Central Visayas),Ubay,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
VIII (Eastern Visayas),Bantayan,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
VIII (Eastern Visayas),Biliran,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
VIII (Eastern Visayas),Borongan,G. Aviation, no landing and take-off , - , - , - , - , - , - ,-, - , - , - , - , -   
VIII (Eastern Visayas),Calbayog,PAL,5674,5360,6908,7763,9260,6127,6198,8711,8840,6492,6831,7134,85298
VIII (Eastern Visayas),Calbayog,Cebu Pacific, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VIII (Eastern Visayas),Calbayog,PAL, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VIII (Eastern Visayas),Calbayog,Zest Air, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VIII (Eastern Visayas),Catarman,PAL,7201,6578,7813,6562,8509,7915,8273,5153,8031,8486,8168,5421,88110
VIII (Eastern Visayas),Catarman,Cebu Pacific, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VIII (Eastern Visayas),Catarman,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VIII (Eastern Visayas),Catbalogan,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
VIII (Eastern Visayas),Guiuan,G. Aviation, - , - , - , - , - , - , - ,-, - , - , - , - , - 
VIII (Eastern Visayas),Hilongos,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
VIII (Eastern Visayas),Maasin,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
VIII (Eastern Visayas),Ormoc,PAL Express, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VIII (Eastern Visayas),Ormoc,Zest Air, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VIII (Eastern Visayas),Ormoc,Air Philippine, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VIII (Eastern Visayas),Ormoc,A. Spirit, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VIII (Eastern Visayas),Ormoc,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
VIII (Eastern Visayas),Tacloban,PALEX,97509,114172,73797,141180,82982,82982,140302,58909,26316,88403,172970,160781,1240303
VIII (Eastern Visayas),Tacloban,PAL, - , - , - , - , - , - , - ,5283,780,1047, - ,7099,14209
VIII (Eastern Visayas),Tacloban,Cebu Pacific,414804,265377,359494,137181,275353,275353,424711,369109,422417,395605,366284,352891,4058579
VIII (Eastern Visayas),Tacloban,Air Asia or Zest Air,94590,93846,114055,85001,137015,137015,123340,82067,54077,52097,67271,49015,1089389
VIII (Eastern Visayas),Tacloban,Tiger Airways, - , - ,-,-, - , - , - ,-, - , - , - , - , -   
VIII (Eastern Visayas),Tacloban,G. Aviation,183110,1000,10900,7000,126,126, - ,-, - , - , - , - ,202262
VIII (Eastern Visayas),Tacloban,Military, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
ARMM,Cag. de Sulu,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
IX (Zamboanga Peninsula),Dipolog,PAL, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
IX (Zamboanga Peninsula),Dipolog,PALEX,172745,135783,155464,151847,184400,68413,100190,283371,2012261,76714,134260,187422,3662870
IX (Zamboanga Peninsula),Dipolog,Cebu Pacific,149719,136593,161401,151392,165302,142590,174022,204110,147089,135742,140905,188859,1897724
IX (Zamboanga Peninsula),Dipolog,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
IX (Zamboanga Peninsula),Ipil,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
ARMM,Jolo,Air Philippine, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
ARMM,Jolo,PAL,2275,5299,125, - , - , - , - ,-, - , - , - , - ,7699
ARMM,Jolo,Cebu Pacific, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
ARMM,Jolo,G. Aviation, - , - ,-, - , - , - , - ,689, - , - , - , - ,689
ARMM,Jolo,Military, - , - ,-, - , - ,8500, - ,12000,4000, - , - ,5000,29500
IX (Zamboanga Peninsula),Liloy,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
IX (Zamboanga Peninsula),Pagadian,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , - 
IX (Zamboanga Peninsula),Pagadian,Air Philippine, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
IX (Zamboanga Peninsula),Pagadian,Cebu Pacific,77149,77383,95009,79700,94528,84367,83019,86646,181341,87442,88312,248249,1283145
ARMM,Sanga-Sanga,Air Philippine, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
ARMM,Sanga-Sanga,Cebu Pacific,54950,55367,819139,70405, - ,74992,65845,-, - ,70396,385925, - ,1597019
ARMM,Sanga-Sanga,G. Aviation, - , - ,-, - , - , - , - ,-, - , - , - , - , -   
