region,province,municipality,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage
V (Bicol Region),Camarines Sur,Garchitorena,-,-,1,-,-,-,-,-,-,1,2,
V (Bicol Region),Camarines Sur,Goa,-,-,5,1,2,1,6,1,2,3,21,
V (Bicol Region),Camarines Sur,Iriga City,11,17,18,13,2,10,13,11,14,14,123,
V (Bicol Region),Camarines Sur,Lagonoy,1,1,-,-,-,2,1,-,2,2,9,
V (Bicol Region),Camarines Sur,Libmanan,1,1,3,8,-,3,3,4,8,5,36,
V (Bicol Region),Camarines Sur,Lupi,1,1,1,1,-,2,-,1,1,1,9,
V (Bicol Region),Camarines Sur,Magarao,1,2,2,1,1,1,4,1,5,2,20,
V (Bicol Region),Camarines Sur,Milaor,-,-,-,1,1,-,1,5,1,3,12,
V (Bicol Region),Camarines Sur,Minalabac,-,1,6,2,-,2,2,2,-,4,19,
V (Bicol Region),Camarines Sur,Nabua,8,11,3,6,1,12,11,11,9,4,76,
V (Bicol Region),Camarines Sur,Naga City,31,28,32,54,4,46,31,35,40,49,350,
V (Bicol Region),Camarines Sur,Ocampo,-,-,2,3,-,4,3,1,2,2,17,
V (Bicol Region),Camarines Sur,Pamplona,-,1,-,2,-,-,-,-,3,-,6,
V (Bicol Region),Camarines Sur,Pasacao,3,5,3,1,1,2,3,1,4,1,24,
V (Bicol Region),Camarines Sur,Pili (Capital),2,8,5,6,1,4,12,6,10,6,60,
V (Bicol Region),Camarines Sur,Presentacion (Parubcan),-,-,-,-,-,-,1,-,-,1,2,
V (Bicol Region),Camarines Sur,Ragay,1,-,1,3,3,2,2,3,2,2,19,
V (Bicol Region),Camarines Sur,Sag_ay,-,-,2,1,-,-,-,-,1,-,4,
V (Bicol Region),Camarines Sur,San Fernando,4,6,1,4,-,1,3,3,-,2,24,
V (Bicol Region),Camarines Sur,San Jose,1,-,3,2,-,1,2,1,2,1,13,
V (Bicol Region),Camarines Sur,Sipocot,-,5,-,4,-,4,3,4,2,5,27,
V (Bicol Region),Camarines Sur,Siruma,-,-,-,-,1,-,-,-,-,-,1,
V (Bicol Region),Camarines Sur,Tigaon,2,-,3,2,-,1,2,-,2,4,16,
V (Bicol Region),Camarines Sur,Tinambac,2,2,-,1,-,2,-,1,3,1,12,
V (Bicol Region),Catanduanes,Bagamanoc,-,-,-,-,-,-,1,-,-,-,1,
V (Bicol Region),Catanduanes,Baras,-,-,2,1,-,1,-,-,1,-,5,
V (Bicol Region),Catanduanes,Bato,-,-,1,2,-,1,2,-,-,1,7,
V (Bicol Region),Catanduanes,Caramoran,1,-,-,3,-,-,-,-,-,2,6,
V (Bicol Region),Catanduanes,Gigmoto,1,-,-,-,-,-,-,-,-,-,1,
V (Bicol Region),Catanduanes,Pandan,-,-,-,-,-,-,1,1,-,-,2,
V (Bicol Region),Catanduanes,Panganiban (Payo),1,-,-,-,-,-,-,-,-,-,1,
V (Bicol Region),Catanduanes,San Andres (Calolbon),1,2,-,1,-,1,2,-,-,1,8,
V (Bicol Region),Catanduanes,San Miguel,-,-,-,-,-,-,-,-,-,1,1,
V (Bicol Region),Catanduanes,Viga,1,-,1,2,-,-,-,1,-,-,5,
V (Bicol Region),Catanduanes,Virac (Capital),4,1,5,3,-,3,6,4,3,8,37,
V (Bicol Region),Masbate,Aroroy,-,-,3,1,-,1,2,1,-,1,9,
V (Bicol Region),Masbate,Baleno,-,1,3,-,-,2,-,2,3,2,13,
V (Bicol Region),Masbate,Balud,-,1,-,-,-,-,-,1,1,2,5,
V (Bicol Region),Masbate,Batuan,-,-,-,-,-,-,-,-,-,1,1,
V (Bicol Region),Masbate,Cataingan,1,1,-,1,-,3,3,3,-,2,14,
V (Bicol Region),Masbate,Cawayan,1,-,1,-,-,1,2,1,-,-,6,
V (Bicol Region),Masbate,Claveria,-,1,3,-,-,-,1,1,2,-,8,
V (Bicol Region),Masbate,Dimasalang,-,-,3,1,-,1,-,-,-,1,6,
V (Bicol Region),Masbate,Esperanza,1,-,1,1,-,-,-,1,-,1,5,
V (Bicol Region),Masbate,Mandaon,-,-,1,-,-,2,-,-,-,-,3,
V (Bicol Region),Masbate,Masbate (Capital),4,4,2,5,-,5,9,3,12,8,52,
V (Bicol Region),Masbate,Milagros,-,-,2,2,-,2,1,1,-,-,8,
V (Bicol Region),Masbate,Mobo,-,1,-,2,-,-,1,1,-,-,5,
V (Bicol Region),Masbate,Monreal,1,-,1,1,-,-,-,-,1,-,4,
V (Bicol Region),Masbate,Palanas,-,-,1,-,-,1,1,-,1,-,4,
V (Bicol Region),Masbate,Pio V. Corpuz (Limbuhan),-,1,1,-,-,-,2,-,-,-,4,
V (Bicol Region),Masbate,Placer,4,-,1,-,-,2,4,1,-,2,14,
V (Bicol Region),Masbate,San Fernando,-,-,1,-,-,1,-,-,1,-,3,
V (Bicol Region),Masbate,San Jacinto,4,-,-,1,-,-,2,-,-,1,8,
V (Bicol Region),Masbate,San Pascual,-,-,1,-,-,-,1,4,1,2,9,
V (Bicol Region),Masbate,Uson,-,2,-,2,1,2,6,2,1,2,18,
V (Bicol Region),Sorsogon,Bacon,3,3,2,1,-,2,1,1,1,1,15,
V (Bicol Region),Sorsogon,Barcelona,-,-,-,1,-,-,-,1,1,-,3,
V (Bicol Region),Sorsogon,Bulan,4,2,5,2,1,4,2,4,-,4,28,
V (Bicol Region),Sorsogon,Bulusan,-,4,1,1,-,-,1,2,1,-,10,
V (Bicol Region),Sorsogon,Casiguran,-,-,3,1,-,-,1,-,1,1,7,
V (Bicol Region),Sorsogon,Castilla,2,-,-,1,-,-,-,3,1,-,7,
V (Bicol Region),Sorsogon,Donsol,-,-,2,1,-,2,3,-,2,1,11,
V (Bicol Region),Sorsogon,Gubat,2,2,6,3,3,2,2,3,8,1,32,
V (Bicol Region),Sorsogon,Irosin,2,1,4,3,-,1,1,-,5,3,20,
V (Bicol Region),Sorsogon,Juban,-,2,1,1,-,-,2,1,-,1,8,
V (Bicol Region),Sorsogon,Magallanes,2,-,-,-,-,-,-,-,-,1,3,
V (Bicol Region),Sorsogon,Matnog,5,4,3,-,-,2,2,1,1,2,20,
V (Bicol Region),Sorsogon,Pilar,-,1,3,2,-,1,-,2,3,4,16,
V (Bicol Region),Sorsogon,Prieto Diaz,1,-,-,1,-,1,-,1,-,-,4,
V (Bicol Region),Sorsogon,Santa Magdalena,1,-,1,2,-,2,-,1,-,-,7,
V (Bicol Region),Sorsogon,Sorsogon (Capital),6,14,12,17,3,14,12,7,8,10,103,
V (Bicol Region),No City or Municipality Reported,No City or Municipality Reported,-,-,-,-,-,-,-,-,-,-,-,
VI (Western Visayas),Aklan,Altavas,1,2,1,1,-,1,3,1,3,2,15,
VI (Western Visayas),Aklan,Balete,-,2,-,1,-,1,-,1,-,1,6,
VI (Western Visayas),Aklan,Banga,3,6,3,6,-,5,3,2,5,4,37,
VI (Western Visayas),Aklan,Batan,2,2,4,3,-,2,1,1,1,1,17,
VI (Western Visayas),Aklan,Buruanga,1,-,1,1,-,1,2,1,-,1,8,
VI (Western Visayas),Aklan,Ibajay,2,2,1,3,-,4,3,1,1,5,22,
VI (Western Visayas),Aklan,Kalibo (Capital),13,12,21,16,5,15,11,23,12,15,143,
VI (Western Visayas),Aklan,Lezo,5,1,-,1,-,2,4,-,1,-,14,
VI (Western Visayas),Aklan,Libacao,-,1,-,-,-,2,1,2,1,-,7,
VI (Western Visayas),Aklan,Madalag,-,-,-,-,-,1,2,-,1,-,4,
VI (Western Visayas),Aklan,Makato,1,3,3,5,1,-,1,2,-,3,19,
VI (Western Visayas),Aklan,Malay,10,9,6,11,1,7,8,20,6,11,89,
VI (Western Visayas),Aklan,Malinao,3,1,2,1,-,1,-,2,2,2,14,
VI (Western Visayas),Aklan,Nabas,1,2,1,3,-,2,2,4,1,3,19,
VI (Western Visayas),Aklan,New Washington,3,4,-,4,-,1,3,2,1,8,26,
VI (Western Visayas),Aklan,Numancia,2,6,4,9,2,4,11,3,8,7,56,
VI (Western Visayas),Aklan,Tangalan,-,-,1,1,-,3,2,-,3,1,11,
VI (Western Visayas),Antique,Anini-Y,-,-,1,2,-,1,-,1,2,-,7,
VI (Western Visayas),Antique,Barbaza,2,2,2,1,-,1,2,1,-,1,12,
VI (Western Visayas),Antique,Belison,-,1,1,-,-,2,1,1,-,-,6,
VI (Western Visayas),Antique,Bugasong,-,3,3,4,-,5,-,2,1,2,20,
VI (Western Visayas),Antique,Caluya,-,1,1,-,-,-,-,-,-,1,3,
VI (Western Visayas),Antique,Culasi,1,2,1,2,-,2,1,2,1,3,15,
VI (Western Visayas),Antique,Tobias Fornier (Dao),2,2,1,1,-,1,-,1,-,-,8,
VI (Western Visayas),Antique,Hamtic,2,3,1,2,1,2,1,5,4,4,25,
VI (Western Visayas),Antique,Laua-An,2,2,-,-,-,-,1,1,-,2,8,
VI (Western Visayas),Antique,Libertad,2,1,3,-,-,2,4,2,2,1,17,
VI (Western Visayas),Antique,Pandan,1,2,4,2,1,-,1,4,2,2,19,
VI (Western Visayas),Antique,Patnongon,3,1,1,3,-,3,-,4,2,1,18,
VI (Western Visayas),Antique,San Jose (Capital),5,5,3,4,3,6,4,3,9,8,50,
VI (Western Visayas),Antique,San Remigio,1,1,-,1,-,1,1,1,-,1,7,
VI (Western Visayas),Antique,Sebaste,2,3,1,-,1,1,3,1,4,2,18,
VI (Western Visayas),Antique,Sibalom,-,3,-,1,-,1,2,1,4,5,17,
VI (Western Visayas),Antique,Tibiao,1,1,-,1,-,1,-,-,3,1,8,
VI (Western Visayas),Antique,Valderrama,-,1,-,4,-,2,-,1,-,2,10,
VI (Western Visayas),Capiz,Cuartero,1,-,2,1,-,-,2,-,1,1,8,
VI (Western Visayas),Capiz,Dao,1,-,-,-,-,1,-,-,1,1,4,
VI (Western Visayas),Capiz,Dumalag,1,-,1,2,-,2,1,4,1,1,13,
VI (Western Visayas),Capiz,Dumarao,2,1,2,-,-,1,-,2,4,2,14,
VI (Western Visayas),Capiz,Ivisan,2,3,2,7,1,-,1,4,1,1,22,
VI (Western Visayas),Capiz,Jamindan,-,3,-,-,-,-,2,1,-,-,6,
VI (Western Visayas),Capiz,Ma-Ayon,2,1,1,2,-,2,-,2,1,1,12,
VI (Western Visayas),Capiz,Mambusao,1,2,-,5,1,3,2,3,5,3,25,
VI (Western Visayas),Capiz,Panay,-,1,2,2,-,3,3,4,4,2,21,
VI (Western Visayas),Capiz,Panitan,2,3,1,1,-,2,4,3,1,2,19,
VI (Western Visayas),Capiz,Pilar,-,1,2,2,1,1,1,3,1,3,15,
VI (Western Visayas),Capiz,Pontevedra,1,3,2,1,-,1,-,6,5,2,21,
VI (Western Visayas),Capiz,President Roxas,-,-,1,-,1,2,4,1,2,2,13,
VI (Western Visayas),Capiz,Roxas City (Capital),19,20,28,21,1,18,26,29,28,32,222,
VI (Western Visayas),Capiz,Sapi-An,-,1,3,1,1,1,1,1,-,-,9,
VI (Western Visayas),Capiz,Sigma,1,-,2,1,-,-,1,-,-,-,5,
VI (Western Visayas),Capiz,Tapaz,-,1,2,1,-,-,2,2,2,4,14,
VI (Western Visayas),Iloilo,Ajuy,1,2,3,3,-,3,2,2,3,1,20,
VI (Western Visayas),Iloilo,Alimodian,-,3,2,2,1,1,1,5,-,3,18,
VI (Western Visayas),Iloilo,Anilao,-,-,-,-,-,1,-,2,1,-,4,
VI (Western Visayas),Iloilo,Badiangan,1,1,1,-,-,1,2,1,1,2,10,
VI (Western Visayas),Iloilo,Balasan,4,1,4,3,-,4,1,5,-,3,25,
VI (Western Visayas),Iloilo,Banate,4,2,-,7,1,1,2,-,5,1,23,
VI (Western Visayas),Iloilo,Barotac Nuevo,5,4,6,3,1,5,2,3,5,5,39,
VI (Western Visayas),Iloilo,Barotac Viejo,4,3,2,2,-,2,-,1,2,1,17,
VI (Western Visayas),Iloilo,Batad,-,1,1,1,-,1,1,-,-,-,5,
VI (Western Visayas),Iloilo,Bingawan,-,-,1,-,-,2,-,2,-,-,5,
VI (Western Visayas),Iloilo,Cabatuan,1,3,6,1,1,4,3,6,2,7,34,
VI (Western Visayas),Iloilo,Calinog,-,5,1,1,-,2,3,4,5,3,24,
VI (Western Visayas),Iloilo,Carles,2,-,-,3,-,1,4,2,1,2,15,
VI (Western Visayas),Iloilo,Concepcion,1,-,-,3,-,3,1,1,-,-,9,
VI (Western Visayas),Iloilo,Dingle,1,1,7,5,2,2,6,3,2,2,31,
VI (Western Visayas),Iloilo,Duenas,1,4,1,3,1,-,2,8,-,1,21,
VI (Western Visayas),Iloilo,Dumangas,3,3,3,-,-,3,5,8,4,6,35,
VI (Western Visayas),Iloilo,Estancia,2,1,4,4,-,1,-,2,4,3,21,
VI (Western Visayas),Iloilo,Guimbal,-,2,2,5,1,3,2,5,1,1,22,
VI (Western Visayas),Iloilo,Igbaras,1,1,2,1,-,-,5,3,3,2,18,
VI (Western Visayas),Iloilo,Iloilo City (Capital),95,88,99,129,22,90,117,121,126,116,1003,
VI (Western Visayas),Iloilo,Janiuay,3,2,3,2,-,5,2,8,2,5,32,
VI (Western Visayas),Iloilo,Lambunao,3,2,1,3,-,1,1,5,5,5,26,
VI (Western Visayas),Iloilo,Leganes,3,1,3,4,-,-,3,1,-,3,18,
VI (Western Visayas),Iloilo,Lemery,-,-,-,-,-,-,-,-,-,-,-,
VI (Western Visayas),Iloilo,Leon,2,2,2,4,-,6,3,3,1,4,27,
VI (Western Visayas),Iloilo,Maasin,2,2,1,3,1,1,3,3,3,4,23,
VI (Western Visayas),Iloilo,Miagao,4,5,3,4,1,6,3,4,3,10,43,
VI (Western Visayas),Iloilo,Mina,1,4,6,2,-,2,4,2,3,3,27,
VI (Western Visayas),Iloilo,New Lucena,2,-,-,2,-,2,2,5,1,1,15,
VI (Western Visayas),Iloilo,Oton,6,4,9,12,2,6,15,12,10,10,86,
VI (Western Visayas),Iloilo,City of Passi,3,3,4,2,-,3,6,4,7,7,39,
VI (Western Visayas),Iloilo,Pavia,2,5,6,5,1,9,6,4,8,10,56,
VI (Western Visayas),Iloilo,Pototan,11,5,7,6,2,11,5,5,5,7,64,
VI (Western Visayas),Iloilo,San Dionisio,-,1,2,-,-,2,1,-,1,1,8,
VI (Western Visayas),Iloilo,San Enrique,2,2,2,1,-,1,1,3,-,2,14,
VI (Western Visayas),Iloilo,San Joaquin,2,2,1,2,-,4,3,2,2,-,18,
VI (Western Visayas),Iloilo,San Miguel,1,1,-,3,-,-,3,1,3,1,13,
VI (Western Visayas),Iloilo,San Rafael,-,-,-,-,-,-,-,1,-,-,1,
VI (Western Visayas),Iloilo,Santa Barbara,4,6,4,4,2,4,3,5,5,6,43,
VI (Western Visayas),Iloilo,Sara,-,2,3,2,-,-,1,3,4,1,16,
VI (Western Visayas),Iloilo,Tigbauan,2,4,5,7,-,3,7,5,4,8,45,
VI (Western Visayas),Iloilo,Tubungan,1,-,1,-,-,-,-,2,-,1,5,
VI (Western Visayas),Iloilo,Zarraga,2,-,1,2,-,-,5,3,1,1,15,
VI (Western Visayas),Negros Occidental,Bacolod City (Capital),133,142,162,188,21,152,157,179,173,200,1507,
VI (Western Visayas),Negros Occidental,Bago City,6,8,4,12,2,5,9,17,13,23,99,
VI (Western Visayas),Negros Occidental,Binalbagan,1,6,4,5,1,2,1,5,4,3,32,
VI (Western Visayas),Negros Occidental,Cadiz City,3,10,14,14,1,7,6,11,11,13,90,
VI (Western Visayas),Negros Occidental,Calatrava,1,1,1,3,-,5,6,5,10,3,35,
VI (Western Visayas),Negros Occidental,Candoni,2,-,2,1,-,-,1,1,-,-,7,
VI (Western Visayas),Negros Occidental,Cauayan,1,2,2,1,-,7,2,4,8,3,30,
VI (Western Visayas),Negros Occidental,Enrique B. Magalona (Saravia),2,2,3,4,-,2,5,6,3,-,27,
VI (Western Visayas),Negros Occidental,Escalante,7,7,1,3,1,8,4,8,11,10,60,
VI (Western Visayas),Negros Occidental,Himamaylan,5,4,3,4,1,5,4,5,2,3,36,
VI (Western Visayas),Negros Occidental,Hinigaran,2,8,13,6,1,4,7,1,8,4,54,
VI (Western Visayas),Negros Occidental,Hinoba-An (Asia),2,2,1,1,-,4,2,2,1,5,20,
VI (Western Visayas),Negros Occidental,Ilog,2,2,2,1,-,2,-,3,-,2,14,
VI (Western Visayas),Negros Occidental,Isabela,-,-,-,3,-,2,3,1,2,1,12,
VI (Western Visayas),Negros Occidental,City of Kabankalan,3,9,8,18,1,9,8,14,13,14,97,
VI (Western Visayas),Negros Occidental,La Carlota City,3,6,8,6,3,10,5,10,10,13,74,
VI (Western Visayas),Negros Occidental,La Castellana,2,-,-,1,-,1,1,1,5,3,14,
VI (Western Visayas),Negros Occidental,Manapla,-,2,4,4,-,1,-,4,3,-,18,
VI (Western Visayas),Negros Occidental,Moises Padilla (Magallon),1,-,-,1,-,-,2,-,-,1,5,
VI (Western Visayas),Negros Occidental,Murcia,7,2,6,8,-,2,5,3,2,7,42,
VI (Western Visayas),Negros Occidental,Pontevedra,2,6,2,7,1,-,4,6,5,4,37,
VI (Western Visayas),Negros Occidental,Pulupandan,1,1,1,-,-,3,2,4,3,2,17,
VI (Western Visayas),Negros Occidental,Sagay City,10,7,7,12,-,10,9,9,5,13,82,
VI (Western Visayas),Negros Occidental,San Carlos City,6,18,11,20,8,20,28,22,18,18,169,
VI (Western Visayas),Negros Occidental,San Enrique,1,-,1,3,1,3,2,3,2,6,22,
VI (Western Visayas),Negros Occidental,Silay City,12,14,11,23,3,13,16,13,16,14,135,
VI (Western Visayas),Negros Occidental,Sipalay,2,2,2,2,-,5,8,3,1,6,31,
VI (Western Visayas),Negros Occidental,City of Talisay,12,17,12,20,1,10,21,15,14,16,138,
VI (Western Visayas),Negros Occidental,Toboso,-,1,-,3,-,1,3,2,2,3,15,
VI (Western Visayas),Negros Occidental,Valladolid,1,4,1,5,-,6,4,1,3,-,25,
VI (Western Visayas),Negros Occidental,City of Victorias,5,11,13,14,2,5,6,4,13,9,82,
VI (Western Visayas),Negros Occidental,Salvador Benedicto,-,-,-,-,-,-,1,-,-,1,2,
VI (Western Visayas),Guimaras,Buenavista,3,4,1,1,1,10,4,10,3,6,43,
VI (Western Visayas),Guimaras,Jordan (Capital),-,2,3,4,-,3,-,2,4,4,22,
VI (Western Visayas),Guimaras,Nueva Valencia,2,1,-,2,-,1,2,1,7,2,18,
VI (Western Visayas),Guimaras,San Lorenzo,-,-,-,-,-,-,-,1,-,-,1,
VI (Western Visayas),Guimaras,Sibunag,-,-,-,-,-,-,3,1,-,1,5,
VI (Western Visayas),No City or Municipality Reported,No City or Municipality Reported,-,-,-,-,-,-,1,-,-,-,1,
VII (Central Visayas),Bohol,Alburquerque,5,3,5,6,-,2,5,4,2,5,37,
VII (Central Visayas),Bohol,Alicia,2,-,2,1,-,-,-,5,5,6,21,
VII (Central Visayas),Bohol,Anda,1,3,2,6,1,3,2,3,3,2,26,
VII (Central Visayas),Bohol,Antequera,1,1,2,3,-,1,-,-,3,1,12,
VII (Central Visayas),Bohol,Baclayon,5,1,5,2,-,5,5,1,3,7,34,
VII (Central Visayas),Bohol,Balilihan,1,2,4,2,-,-,-,-,2,2,13,
VII (Central Visayas),Bohol,Batuan,-,1,-,-,-,1,2,-,1,-,5,
VII (Central Visayas),Bohol,Bilar,6,-,3,4,1,1,3,1,2,3,24,
VII (Central Visayas),Bohol,Buenavista,1,2,1,7,-,4,3,1,6,4,29,
VII (Central Visayas),Bohol,Calape,10,10,8,8,-,9,9,6,7,4,71,
VII (Central Visayas),Bohol,Candijay,1,1,3,5,-,2,1,4,6,-,23,
VII (Central Visayas),Bohol,Carmen,2,1,4,3,-,5,6,3,10,5,39,
VII (Central Visayas),Bohol,Catigbian,1,3,2,3,2,1,2,1,1,3,19,
VII (Central Visayas),Bohol,Clarin,5,1,2,5,2,3,4,3,5,-,30,
VII (Central Visayas),Bohol,Corella,1,-,1,1,-,-,4,1,1,-,9,
VII (Central Visayas),Bohol,Cortes,1,3,1,5,-,1,3,3,3,6,26,
VII (Central Visayas),Bohol,Dagohoy,-,1,1,3,-,3,2,1,2,3,16,
VII (Central Visayas),Bohol,Danao,1,1,1,2,-,1,3,2,1,1,13,
VII (Central Visayas),Bohol,Dauis,6,5,6,7,1,12,9,14,15,12,87,
VII (Central Visayas),Bohol,Dimiao,-,2,3,1,-,1,1,6,-,1,15,
VII (Central Visayas),Bohol,Duero,-,3,-,2,1,3,4,1,4,3,21,
VII (Central Visayas),Bohol,Garcia Hernandez,-,4,-,6,-,1,4,3,4,3,25,
VII (Central Visayas),Bohol,Guindulman,3,3,4,2,-,6,8,5,11,3,45,
VII (Central Visayas),Bohol,Inabanga,5,6,7,6,1,5,5,5,7,4,51,
VII (Central Visayas),Bohol,Jagna,6,4,9,2,-,2,10,2,6,7,48,
VII (Central Visayas),Bohol,Jetafe,3,3,3,3,-,2,1,3,1,-,19,
VII (Central Visayas),Bohol,Lila,1,1,1,5,-,2,5,4,2,2,23,
VII (Central Visayas),Bohol,Loay,2,6,5,2,1,4,4,3,5,9,41,
VII (Central Visayas),Bohol,Loboc,5,6,4,7,1,6,8,4,6,9,56,
VII (Central Visayas),Bohol,Loon,14,11,8,5,1,9,7,7,5,9,76,
VII (Central Visayas),Bohol,Mabini,1,2,-,2,-,5,1,4,3,4,22,
VII (Central Visayas),Bohol,Maribojoc,1,2,5,4,2,1,6,2,1,8,32,
VII (Central Visayas),Bohol,Panglao,10,7,7,8,-,7,14,12,13,21,99,
VII (Central Visayas),Bohol,Pilar,-,-,-,2,1,-,5,1,5,3,17,
VII (Central Visayas),Bohol,Pres. Carlos P. Garcia (Pitogo),-,1,-,2,-,-,1,2,-,-,6,
VII (Central Visayas),Bohol,Sagbayan (Borja),-,2,3,2,-,1,-,2,3,2,15,
VII (Central Visayas),Bohol,San Isidro,-,-,1,-,-,-,5,-,-,1,7,
VII (Central Visayas),Bohol,San Miguel,3,1,1,3,1,-,3,2,2,3,19,
VII (Central Visayas),Bohol,Sevilla,-,-,-,-,-,-,-,3,-,2,5,
VII (Central Visayas),Bohol,Sierra Bullones,-,-,2,4,-,2,3,3,4,1,19,
VII (Central Visayas),Bohol,Sikatuna,2,-,-,1,-,1,2,-,1,1,8,
VII (Central Visayas),Bohol,Tagbilaran City (Capital),39,52,54,49,10,48,54,42,50,43,441,
VII (Central Visayas),Bohol,Talibon,2,4,7,7,-,7,8,3,10,13,61,
VII (Central Visayas),Bohol,Trinidad,1,1,4,1,1,5,6,4,5,5,33,
VII (Central Visayas),Bohol,Tubigon,8,12,8,12,1,7,9,10,9,6,82,
VII (Central Visayas),Bohol,Ubay,2,7,4,11,2,4,3,8,8,7,56,
VII (Central Visayas),Bohol,Valencia,2,1,3,3,-,4,3,3,3,6,28,
VII (Central Visayas),Bohol,Bien Unido,2,3,5,3,-,4,3,2,1,4,27,
VII (Central Visayas),Cebu,Alcantara,4,5,6,3,1,6,12,5,10,5,57,
VII (Central Visayas),Cebu,Alcoy,5,1,4,3,-,1,3,4,4,10,35,
VII (Central Visayas),Cebu,Alegria,2,2,2,5,1,2,5,1,-,4,24,
VII (Central Visayas),Cebu,Aloguinsan,3,2,4,4,-,2,-,3,4,5,27,
VII (Central Visayas),Cebu,Argao,14,7,17,23,4,19,19,18,28,27,176,
VII (Central Visayas),Cebu,Asturias,5,5,6,7,-,3,4,6,6,5,47,
VII (Central Visayas),Cebu,Badian,3,5,4,3,3,6,10,6,13,10,63,
VII (Central Visayas),Cebu,Balamban,15,12,10,11,2,9,13,8,12,11,103,
VII (Central Visayas),Cebu,Bantayan,2,7,4,4,4,7,4,4,13,4,53,
VII (Central Visayas),Cebu,Barili,2,16,8,7,2,6,7,15,12,22,97,
VII (Central Visayas),Cebu,Bogo,15,18,12,14,3,9,15,14,20,15,135,
VII (Central Visayas),Cebu,Boljoon,-,4,2,1,1,-,5,5,5,3,26,
VII (Central Visayas),Cebu,Borbon,6,6,3,10,1,4,8,6,12,10,66,
VII (Central Visayas),Cebu,Carcar,31,33,38,40,4,27,30,36,49,39,327,
VII (Central Visayas),Cebu,Carmen,16,14,7,13,2,14,10,13,12,13,114,
VII (Central Visayas),Cebu,Catmon,4,5,6,8,1,5,4,6,4,5,48,
VII (Central Visayas),Cebu,Cebu City (Capital),568,583,622,747,93,491,640,610,633,638,5625,
VII (Central Visayas),Cebu,Compostela,12,9,9,11,1,8,10,12,14,19,105,
VII (Central Visayas),Cebu,Consolacion,30,33,27,42,13,43,47,43,46,55,379,
VII (Central Visayas),Cebu,Cordoba,13,16,18,21,2,23,29,20,26,37,205,
VII (Central Visayas),Cebu,Daanbantayan,14,15,16,17,1,12,16,16,9,22,138,
VII (Central Visayas),Cebu,Dalaguete,5,17,8,12,-,14,12,13,12,16,109,
VII (Central Visayas),Cebu,Danao City,22,26,26,41,3,30,30,32,24,40,274,
VII (Central Visayas),Cebu,Dumanjug,4,10,8,6,-,4,8,6,9,7,62,
VII (Central Visayas),Cebu,Ginatilan,4,4,5,2,1,3,6,4,7,5,41,
VII (Central Visayas),Cebu,Lapu-Lapu City (Opon),134,190,201,219,31,166,227,238,273,243,1922,
VII (Central Visayas),Cebu,Liloan,21,27,40,37,7,38,42,35,49,46,342,
VII (Central Visayas),Cebu,Madridejos,3,-,5,3,-,2,4,1,6,4,28,
VII (Central Visayas),Cebu,Malabuyoc,1,3,5,1,-,2,6,1,3,4,26,
VII (Central Visayas),Cebu,Mandaue City,127,136,136,151,29,115,139,149,154,149,1285,
VII (Central Visayas),Cebu,Medellin,7,9,12,5,-,6,9,6,9,13,76,
VII (Central Visayas),Cebu,Minglanilla,36,41,54,60,10,42,54,60,57,62,476,
VII (Central Visayas),Cebu,Moalboal,13,5,6,23,1,8,10,10,23,22,121,
VII (Central Visayas),Cebu,Naga,21,27,18,30,6,22,31,32,34,33,254,
VII (Central Visayas),Cebu,Oslob,7,4,5,4,1,4,7,1,8,4,45,
VII (Central Visayas),Cebu,Pilar,3,2,2,1,-,-,3,2,1,2,16,
VII (Central Visayas),Cebu,Pinamungahan,7,5,8,4,-,11,3,12,3,13,66,
VII (Central Visayas),Cebu,Poro,4,3,5,1,1,6,4,3,5,6,38,
VII (Central Visayas),Cebu,Ronda,6,4,7,4,-,3,3,4,3,9,43,
VII (Central Visayas),Cebu,Samboan,3,2,3,4,2,2,6,5,4,4,35,
VII (Central Visayas),Cebu,San Fernando,25,33,16,28,1,23,17,19,23,28,213,
VII (Central Visayas),Cebu,San Francisco,1,5,3,3,-,3,3,8,7,7,40,
VII (Central Visayas),Cebu,San Remigio,6,7,7,10,1,13,8,5,15,15,87,
VII (Central Visayas),Cebu,Santa Fe,4,4,5,5,-,5,11,5,13,7,59,
VII (Central Visayas),Cebu,Santander,2,1,1,3,-,1,5,3,6,8,30,
VII (Central Visayas),Cebu,Sibonga,9,15,14,15,-,13,18,21,20,18,143,
VII (Central Visayas),Cebu,Sogod,3,4,4,9,-,5,4,8,9,12,58,
VII (Central Visayas),Cebu,Tabogon,1,1,6,4,-,5,2,3,7,6,35,
VII (Central Visayas),Cebu,Tabuelan,-,2,4,2,-,4,2,5,4,2,25,
VII (Central Visayas),Cebu,Talisay,97,121,127,108,23,86,120,122,133,123,1060,
VII (Central Visayas),Cebu,Toledo City,51,49,58,68,9,43,68,55,57,54,512,
VII (Central Visayas),Cebu,Tuburan,5,6,3,3,-,4,4,8,12,7,52,
VII (Central Visayas),Cebu,Tudela,-,3,3,-,-,-,4,1,4,2,17,
VII (Central Visayas),Negros Oriental,Amlan (Ayuquitan),7,3,7,3,3,3,7,6,8,6,53,
VII (Central Visayas),Negros Oriental,Ayungon,-,1,3,3,-,-,2,3,1,1,14,
VII (Central Visayas),Negros Oriental,Bacong,4,17,3,11,3,12,11,14,10,10,95,
