region,province,municipality,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,total,percentage
II (Cagayan Valley),Nueva Vizcaya,Santa Fe,1,1,1,1,-,-,2,1,2,-,9,
II (Cagayan Valley),Nueva Vizcaya,Solano,10,8,10,10,3,6,3,15,15,14,94,
II (Cagayan Valley),Nueva Vizcaya,Villaverde,2,2,-,-,-,-,1,1,-,1,7,
II (Cagayan Valley),Nueva Vizcaya,Alfonso Castaneda,-,1,-,1,-,-,1,-,-,-,3,
II (Cagayan Valley),Quirino,Aglipay,1,2,-,1,-,-,1,1,-,2,8,
II (Cagayan Valley),Quirino,Cabarroguis (Capital),1,1,3,2,-,2,2,3,-,3,17,
II (Cagayan Valley),Quirino,Diffun,3,3,2,6,1,2,4,6,2,6,35,
II (Cagayan Valley),Quirino,Maddela,1,1,1,2,-,2,1,1,1,1,11,
II (Cagayan Valley),Quirino,Saguday,-,-,-,-,-,-,-,1,-,-,1,
II (Cagayan Valley),Quirino,Nagtipunan,-,-,1,-,-,1,2,-,-,-,4,
II (Cagayan Valley),No City or Municipality Reported,No City or Municipality Reported,-,-,-,1,-,-,-,-,-,-,1,
III (Central Luzon),Bataan,Abucay,8,7,13,7,4,12,11,13,11,11,97,
III (Central Luzon),Bataan,Bagac,5,2,5,5,1,4,5,4,7,4,42,
III (Central Luzon),Bataan,Balanga (Capital),18,13,20,31,3,24,25,14,22,25,195,
III (Central Luzon),Bataan,Dinalupihan,31,30,38,40,5,19,35,36,27,30,291,
III (Central Luzon),Bataan,Hermosa,12,10,10,15,3,18,16,12,13,11,120,
III (Central Luzon),Bataan,Limay,7,11,7,9,2,5,12,11,9,6,79,
III (Central Luzon),Bataan,Mariveles,10,20,16,14,2,17,12,24,17,23,155,
III (Central Luzon),Bataan,Morong,6,5,4,4,-,2,7,4,1,6,39,
III (Central Luzon),Bataan,Orani,14,12,11,14,3,11,14,15,17,16,127,
III (Central Luzon),Bataan,Orion,14,10,14,11,3,14,10,13,20,14,123,
III (Central Luzon),Bataan,Pilar,8,5,5,8,1,8,14,11,5,9,74,
III (Central Luzon),Bataan,Samal,5,4,8,15,3,6,1,7,6,9,64,
III (Central Luzon),Bulacan,Angat,13,6,10,13,2,8,5,9,15,11,92,
III (Central Luzon),Bulacan,Balagtas (Bigaa),15,18,18,21,2,16,19,12,12,10,143,
III (Central Luzon),Bulacan,Baliuag,32,33,40,44,10,39,46,45,37,33,359,
III (Central Luzon),Bulacan,Bocaue,22,15,15,25,4,17,24,19,25,19,185,
III (Central Luzon),Bulacan,Bulacan,13,17,16,18,2,15,8,14,20,17,140,
III (Central Luzon),Bulacan,Bustos,8,10,11,19,-,11,13,20,13,14,119,
III (Central Luzon),Bulacan,Calumpit,20,29,22,22,5,21,20,14,18,24,195,
III (Central Luzon),Bulacan,Guiguinto,15,17,13,24,2,15,20,19,16,17,158,
III (Central Luzon),Bulacan,Hagonoy,58,42,47,40,1,27,31,38,22,31,337,
III (Central Luzon),Bulacan,Malolos  (Capital),69,73,75,97,12,54,66,86,60,65,657,
III (Central Luzon),Bulacan,Marilao,31,44,43,57,4,45,49,45,61,61,440,
III (Central Luzon),Bulacan,Meycauayan,69,87,89,105,10,64,47,49,55,50,625,
III (Central Luzon),Bulacan,Norzagaray,5,11,8,16,-,15,11,17,16,12,111,
III (Central Luzon),Bulacan,Obando,10,13,13,18,1,14,13,11,14,13,120,
III (Central Luzon),Bulacan,Pandi,10,8,9,13,1,9,8,7,11,9,85,
III (Central Luzon),Bulacan,Paombong,16,4,23,15,-,12,13,19,10,18,130,
III (Central Luzon),Bulacan,Plaridel,27,19,31,33,5,23,31,33,26,36,264,
III (Central Luzon),Bulacan,Pulilan,15,20,27,37,1,8,11,7,16,24,166,
III (Central Luzon),Bulacan,San Ildefonso,11,12,20,12,2,10,13,14,15,16,125,
III (Central Luzon),Bulacan,San Jose Del Monte,77,104,115,122,13,100,98,101,114,129,973,
III (Central Luzon),Bulacan,San Miguel,23,20,25,43,4,27,25,22,22,30,241,
III (Central Luzon),Bulacan,San Rafael,16,7,11,12,2,10,21,13,23,14,129,
III (Central Luzon),Bulacan,Santa Maria,29,44,35,37,8,44,53,49,36,29,364,
III (Central Luzon),Bulacan,Dona Remedios Trinidad,-,1,-,-,-,-,3,1,-,-,5,
III (Central Luzon),Nueva Ecija,Aliaga,9,8,5,9,1,4,11,7,10,9,73,
III (Central Luzon),Nueva Ecija,Bongabon,4,7,11,9,-,5,6,5,4,14,65,
III (Central Luzon),Nueva Ecija,Cabanatuan City,72,94,100,120,11,78,116,86,71,99,847,
III (Central Luzon),Nueva Ecija,Cabiao,11,22,22,11,-,12,13,12,17,15,135,
III (Central Luzon),Nueva Ecija,Carranglan,-,4,2,4,-,2,4,1,3,2,22,
III (Central Luzon),Nueva Ecija,Cuyapo,9,14,8,9,1,8,12,4,4,9,78,
III (Central Luzon),Nueva Ecija,Gabaldon (Bitulok and Sabani),2,-,1,1,2,-,1,2,4,3,16,
III (Central Luzon),Nueva Ecija,Gapan,17,18,34,40,4,27,29,25,25,26,245,
III (Central Luzon),Nueva Ecija,General Mamerto Natividad,3,4,3,3,1,6,8,7,8,5,48,
III (Central Luzon),Nueva Ecija,General Tinio (Papaya),7,13,7,9,2,7,9,4,10,9,77,
III (Central Luzon),Nueva Ecija,Guimba,14,6,13,10,5,19,14,8,6,16,111,
III (Central Luzon),Nueva Ecija,Jaen,11,13,8,14,2,11,17,15,5,7,103,
III (Central Luzon),Nueva Ecija,Laur,2,3,1,2,2,5,7,6,2,3,33,
III (Central Luzon),Nueva Ecija,Licab,-,-,-,1,-,-,3,4,6,3,17,
III (Central Luzon),Nueva Ecija,Llanera,4,5,8,5,3,8,12,4,5,11,65,
III (Central Luzon),Nueva Ecija,Lupao,6,6,6,3,-,5,10,4,7,11,58,
III (Central Luzon),Nueva Ecija,Munoz,8,8,10,14,2,9,14,15,9,12,101,
III (Central Luzon),Nueva Ecija,Nampicuan,2,1,-,1,-,-,1,1,1,-,7,
III (Central Luzon),Nueva Ecija,Palayan City (Capital),6,4,7,4,-,6,7,3,4,4,45,
III (Central Luzon),Nueva Ecija,Pantabangan,3,-,3,2,-,5,1,4,2,1,21,
III (Central Luzon),Nueva Ecija,Penaranda,4,5,8,9,-,6,7,7,4,4,54,
III (Central Luzon),Nueva Ecija,Quezon,3,2,1,5,-,1,4,3,5,6,30,
III (Central Luzon),Nueva Ecija,Rizal,7,9,10,4,-,12,8,6,9,9,74,
III (Central Luzon),Nueva Ecija,San Antonio,9,2,11,12,1,16,10,7,17,12,97,
