city_or_municipality,position,name,nickname,party_affliation,votes_obtained
Kitaotao,Councilor,"Tumindog, Moreno Gawilan",Moreno,Bangon Pilipinas Party,6511
Kitaotao,Councilor,"Dacillo, Rey Quimpang",Eboy,Bangon Pilipinas Party,5782
Lantapan,Mayor,"Balansag, Godofredo Iran",Godo,Bangon Pilipinas Party,14928
Lantapan,Vice-Mayor,"Devibar, Ernie Rivas",Etie,Bangon Pilipinas Party,15546
Lantapan,Councilor,"Gallano, Sulpicio Jr. Dayao",Jungals,Bangon Pilipinas Party,14547
Lantapan,Councilor,"Rubio, Abraham Cabacungan",Bam-Bam,Aksyon Democratic,14455
Lantapan,Councilor,"Alsula, Emmanuel Jurolan",Jun-Als,Nationalista Party,12035
Lantapan,Councilor,"Yam-Oc, Ranillo Salem",Neil,Bangon Pilipinas Party,11842
Lantapan,Councilor,"Bucag, Raul Somobo",Cocong,Bangon Pilipinas Party,11072
Lantapan,Councilor,"Tagayuna, Oscar Yabo",Oca,Bangon Pilipinas Party,10155
Lantapan,Councilor,"Camarinta, Raymond John Israel",Jan-Jan,Bangon Pilipinas Party,9670
Lantapan,Councilor,"Labial, Leonard Hope Rubio",Nard,Bangon Pilipinas Party,9531
Libona,Mayor,"Calingasan, Leonardo Genesis Tejano",Totom,Bangon Pilipinas Party,13791
Libona,Vice-Mayor,"Lopez, Aurelio Balagot",Bobot,Bangon Pilipinas Party,12463
Libona,Councilor,"Buta, Vicentico Anino",Nonoy,Independent,10784
Libona,Councilor,"Edralin, Ernie Al Ometer",Dodong,AKBAYAN,9673
Libona,Councilor,"Tanquis, Eterio Pon",Amay,Bangon Pilipinas Party,9290
Libona,Councilor,"Balais, Vicente Fabela",Enteng,Bangon Pilipinas Party,8518
Libona,Councilor,"Ibarita, Fernando Palado",Anding,Bangon Pilipinas Party,8359
Libona,Councilor,"Gallego, Vladimir Pantaleon",Nonoy,Bangon Pilipinas Party,8276
Libona,Councilor,"Buenaflor, Alejandro Gabo",Andro,Bangon Pilipinas Party,8046
Libona,Councilor,"Yongco, Farrah Logro",Farrah,Nationalista Party,7670
Malitbog,Mayor,"Dela Rosa, Osmundo Neri",Munding,Bangon Pilipinas Party,6948
Malitbog,Vice-Mayor,"Casi, Gary Duat",Gary Casi,Independent,5513
Malitbog,Councilor,"Sagosa, Roldan Uba",Agong Roldan,Bangon Pilipinas Party,6740
Malitbog,Councilor,"Dominguez, Rudy Esta",Dodong,Bangon Pilipinas Party,6362
Malitbog,Councilor,"Amistoso, Jombelina Kilem",Gangga,Bangon Pilipinas Party,6240
Malitbog,Councilor,"Abrogue, Isaias Ejem",Sayas,Bangon Pilipinas Party,5863
Malitbog,Councilor,"Dela Rosa, Catherine Bandialan",Cathy,Bangon Pilipinas Party,5825
Malitbog,Councilor,"Kilem, Eddie Pagtalunan",Ed,Bangon Pilipinas Party,5024
Malitbog,Councilor,"Emata, Alberto Ambonglay",Dongdong,Independent,4979
Malitbog,Councilor,"Emata, Gerald Maagad",Bongbong,Independent,4783
Manolo Fortich,Mayor,"Qui, Rogelio Narvasa",Dodo,Bangon Pilipinas Party,29170
Manolo Fortich,Vice-Mayor,"Demata, Miguel Dades",Mike,Bangon Pilipinas Party,19933
Manolo Fortich,Councilor,"Qui, Juanito Intelegando",Titing,Bangon Pilipinas Party,19165
