region,province,city_or_municipality,2012
VIII (Eastern Visayas),Samar,San Jorge,0
VIII (Eastern Visayas),Samar,Pagsanghan,0
VIII (Eastern Visayas),Samar,Total Samar,7
VIII (Eastern Visayas),Southern Leyte,Anahawan,0
VIII (Eastern Visayas),Southern Leyte,Bontoc,0
VIII (Eastern Visayas),Southern Leyte,Hinunangan,0
VIII (Eastern Visayas),Southern Leyte,Hinundayan,0
VIII (Eastern Visayas),Southern Leyte,Libagon,0
VIII (Eastern Visayas),Southern Leyte,Liloan,0
VIII (Eastern Visayas),Southern Leyte,Maasin (Capital),5
VIII (Eastern Visayas),Southern Leyte,Macrohon,0
VIII (Eastern Visayas),Southern Leyte,Malitbog,0
VIII (Eastern Visayas),Southern Leyte,Padre Burgos,1
VIII (Eastern Visayas),Southern Leyte,Pintuyan,0
VIII (Eastern Visayas),Southern Leyte,Saint Bernard,1
VIII (Eastern Visayas),Southern Leyte,San Francisco,0
VIII (Eastern Visayas),Southern Leyte,San Juan (Cabalian),1
VIII (Eastern Visayas),Southern Leyte,San Ricardo,0
VIII (Eastern Visayas),Southern Leyte,Silago,0
VIII (Eastern Visayas),Southern Leyte,Sogod,2
VIII (Eastern Visayas),Southern Leyte,Tomas Oppus,0
VIII (Eastern Visayas),Southern Leyte,Limasawa,0
VIII (Eastern Visayas),Southern Leyte,Total Southern Leyte,10
VIII (Eastern Visayas),Biliran,Almeria,0
VIII (Eastern Visayas),Biliran,Biliran,1
VIII (Eastern Visayas),Biliran,Cabucgayan,0
VIII (Eastern Visayas),Biliran,Caibiran,1
VIII (Eastern Visayas),Biliran,Culaba,2
VIII (Eastern Visayas),Biliran,Kawayan,0
VIII (Eastern Visayas),Biliran,Maripipi,0
VIII (Eastern Visayas),Biliran,Naval (Capital),1
VIII (Eastern Visayas),Biliran,Total Biliran,5
VIII (Eastern Visayas),No City/Municipality Reported,No City/Municipality Reported,0
VIII (Eastern Visayas),Total Eastern Visayas,Total Eastern Visayas,52
IX (Zamboanga Peninsula),Zamboanga Del Norte,Dapitan City,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Dipolog City (Capital),1
IX (Zamboanga Peninsula),Zamboanga Del Norte,Katipunan,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,La Libertad,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Labason,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Liloy,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Manukan,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Mutia,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Pinan (New Pinan),0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Polanco,1
IX (Zamboanga Peninsula),Zamboanga Del Norte,Pres. Manuel A. Roxas,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Rizal,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Salug,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Sergio Osmena Sr.,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Siayan,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Sibuco,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Sibutad,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Sindangan,2
IX (Zamboanga Peninsula),Zamboanga Del Norte,Siocon,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Sirawai,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Tampilisan,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Jose Dalman (Ponot),0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Gutalac,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Godod,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Bacungan (Leon T. Postigo),0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Kalawit,0
IX (Zamboanga Peninsula),Zamboanga Del Norte,Total Zamboanga Del Norte,4
IX (Zamboanga Peninsula),Zamboanga Del Sur,Aurora,1
IX (Zamboanga Peninsula),Zamboanga Del Sur,Bayog,4
IX (Zamboanga Peninsula),Zamboanga Del Sur,Dimataling,1
IX (Zamboanga Peninsula),Zamboanga Del Sur,Dinas,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Dumalinao,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Dumingag,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Josefina,1
IX (Zamboanga Peninsula),Zamboanga Del Sur,Kumalarang,2
IX (Zamboanga Peninsula),Zamboanga Del Sur,Labangan,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Lapuyan,1
IX (Zamboanga Peninsula),Zamboanga Del Sur,Mahayag,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Margosatubig,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Midsalip,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Molave,1
IX (Zamboanga Peninsula),Zamboanga Del Sur,Ramon Magsaysay (Liargo),0
IX (Zamboanga Peninsula),Zamboanga Del Sur,San Miguel,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,San Pablo,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Tabina,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Tambulig,3
IX (Zamboanga Peninsula),Zamboanga Del Sur,Tukuran,2
IX (Zamboanga Peninsula),Zamboanga Del Sur,Lakewood,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Pitogo,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Sominot (Don Mariano Marcos),0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Vincenzo A. Sagun,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Guipos,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Tigbao,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Pagadian City (Capital),17
IX (Zamboanga Peninsula),Zamboanga Del Sur,Zamboanga City,17
IX (Zamboanga Peninsula),Zamboanga Del Sur,Total,50
IX (Zamboanga Peninsula),Zamboanga Del Sur,Alicia,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Buug,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Ipil,2
IX (Zamboanga Peninsula),Zamboanga Del Sur,Kabasalan,1
IX (Zamboanga Peninsula),Zamboanga Del Sur,Malangas,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Naga,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Olutanga,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Siay,1
IX (Zamboanga Peninsula),Zamboanga Del Sur,Titay,1
IX (Zamboanga Peninsula),Zamboanga Del Sur,Tungawan,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Talusan,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Payao,1
IX (Zamboanga Peninsula),Zamboanga Del Sur,Imelda,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Diplahan,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Mabuhay,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Roseller Lim,0
IX (Zamboanga Peninsula),Zamboanga Del Sur,Total Zamboanga Del Sur,6
IX (Zamboanga Peninsula),Basilan,Isabela (Capital),0
IX (Zamboanga Peninsula),No City/Municipality Reported,No City/Municipality Reported,0
IX (Zamboanga Peninsula),Total Zamboanga Peninsula,Total Zamboanga Peninsula,60
X (Northern Mindanao),Bukidnon,Baungon,1
X (Northern Mindanao),Bukidnon,Damulog,1
X (Northern Mindanao),Bukidnon,Dangcagan,8
X (Northern Mindanao),Bukidnon,Don Carlos,3
X (Northern Mindanao),Bukidnon,Impasug-Ong,0
X (Northern Mindanao),Bukidnon,Kadingilan,4
X (Northern Mindanao),Bukidnon,Kalilangan,3
X (Northern Mindanao),Bukidnon,Kibawe,14
X (Northern Mindanao),Bukidnon,Kitaotao,0
X (Northern Mindanao),Bukidnon,Lantapan,0
X (Northern Mindanao),Bukidnon,Libona,3
X (Northern Mindanao),Bukidnon,City Malaybalay (Capital),1
X (Northern Mindanao),Bukidnon,Malitbog,0
X (Northern Mindanao),Bukidnon,Manolo Fortich,1
X (Northern Mindanao),Bukidnon,Maramag,3
X (Northern Mindanao),Bukidnon,Pangantucan,0
X (Northern Mindanao),Bukidnon,Quezon,0
X (Northern Mindanao),Bukidnon,San Fernando,1
X (Northern Mindanao),Bukidnon,Sumilao,0
X (Northern Mindanao),Bukidnon,Talakag,0
X (Northern Mindanao),Bukidnon,Valencia,7
X (Northern Mindanao),Bukidnon,Cabanglasan,0
X (Northern Mindanao),Bukidnon,Total Bukidnon,50
X (Northern Mindanao),Camiguin,Catarman,1
X (Northern Mindanao),Camiguin,Guinsiliban,0
X (Northern Mindanao),Camiguin,Mahinog,0
X (Northern Mindanao),Camiguin,Mambajao (Capital),1
X (Northern Mindanao),Camiguin,Sagay,0
X (Northern Mindanao),Camiguin,Total Camiguin,2
X (Northern Mindanao),Misamis Occidental,Aloran,1
X (Northern Mindanao),Misamis Occidental,Baliangao,2
X (Northern Mindanao),Misamis Occidental,Bonifacio,0
X (Northern Mindanao),Misamis Occidental,Calamba,0
X (Northern Mindanao),Misamis Occidental,Clarin,3
X (Northern Mindanao),Misamis Occidental,Jimenez,1
X (Northern Mindanao),Misamis Occidental,Lopez Jaena,0
X (Northern Mindanao),Misamis Occidental,Oroquieta City (Capital),1
X (Northern Mindanao),Misamis Occidental,Ozamis City,2
X (Northern Mindanao),Misamis Occidental,Panaon,0
X (Northern Mindanao),Misamis Occidental,Plaridel,1
X (Northern Mindanao),Misamis Occidental,Sapang Dalaga,0
X (Northern Mindanao),Misamis Occidental,Sinacaban,0
X (Northern Mindanao),Misamis Occidental,Tangub City,2
X (Northern Mindanao),Misamis Occidental,Tudela,0
X (Northern Mindanao),Misamis Occidental,Total Misamis Occidental,13
X (Northern Mindanao),Misamis Oriental,Alubijid,1
X (Northern Mindanao),Misamis Oriental,Balingasag,3
X (Northern Mindanao),Misamis Oriental,Balingoan,0
X (Northern Mindanao),Misamis Oriental,Binuangan,0
X (Northern Mindanao),Misamis Oriental,Cagayan De Oro City (Capital),27
X (Northern Mindanao),Misamis Oriental,Claveria,0
X (Northern Mindanao),Misamis Oriental,El Salvador,1
X (Northern Mindanao),Misamis Oriental,Gingoog City,2
X (Northern Mindanao),Misamis Oriental,Gitagum,0
X (Northern Mindanao),Misamis Oriental,Initao,0
X (Northern Mindanao),Misamis Oriental,Jasaan,1
X (Northern Mindanao),Misamis Oriental,Kinoguitan,2
X (Northern Mindanao),Misamis Oriental,Lagonglong,0
X (Northern Mindanao),Misamis Oriental,Laguindingan,0
X (Northern Mindanao),Misamis Oriental,Libertad,0
X (Northern Mindanao),Misamis Oriental,Lugait,0
X (Northern Mindanao),Misamis Oriental,Magsaysay (Linugos),4
X (Northern Mindanao),Misamis Oriental,Manticao,0
X (Northern Mindanao),Misamis Oriental,Medina,0
X (Northern Mindanao),Misamis Oriental,Naawan,1
X (Northern Mindanao),Misamis Oriental,Opol,2
X (Northern Mindanao),Misamis Oriental,Salay,2
X (Northern Mindanao),Misamis Oriental,Sugbongcogon,0
X (Northern Mindanao),Misamis Oriental,Tagoloan,0
X (Northern Mindanao),Misamis Oriental,Talisayan,2
X (Northern Mindanao),Misamis Oriental,Villanueva,1
X (Northern Mindanao),Misamis Oriental,Total Misamis Oriental,49
X (Northern Mindanao),Lanao Del Norte,Bacolod,0
X (Northern Mindanao),Lanao Del Norte,Baloi,0
X (Northern Mindanao),Lanao Del Norte,Baroy,0
X (Northern Mindanao),Lanao Del Norte,Iligan City,1
X (Northern Mindanao),Lanao Del Norte,Kapatagan,0
X (Northern Mindanao),Lanao Del Norte,Sultan Naga Dimaporo (Karomatan),0
X (Northern Mindanao),Lanao Del Norte,Kauswagan,0
X (Northern Mindanao),Lanao Del Norte,Kolambugan,0
X (Northern Mindanao),Lanao Del Norte,Lala,0
X (Northern Mindanao),Lanao Del Norte,Linamon,0
X (Northern Mindanao),Lanao Del Norte,Magsaysay,1
X (Northern Mindanao),Lanao Del Norte,Maigo,0
X (Northern Mindanao),Lanao Del Norte,Salvador,0
X (Northern Mindanao),Lanao Del Norte,Sapad,0
X (Northern Mindanao),Lanao Del Norte,Tubod (Capital),0
X (Northern Mindanao),Lanao Del Norte,Total Lanao Del Norte,2
X (Northern Mindanao),No City/Municipality Reported,No City/Municipality Reported,0
X (Northern Mindanao),Total Northern Mindanao,Total Northern Mindanao,116
XI (Davao Region),Davao Del Norte,Asuncion (Saug),0
XI (Davao Region),Davao Del Norte,Carmen,1
XI (Davao Region),Davao Del Norte,Kapalong,0
XI (Davao Region),Davao Del Norte,New Corella,1
XI (Davao Region),Davao Del Norte,Panabo,3
XI (Davao Region),Davao Del Norte,Island Garden City of Samal,1
XI (Davao Region),Davao Del Norte,Santo Tomas,2
XI (Davao Region),Davao Del Norte,City of Tagum (Capital),5
XI (Davao Region),Davao Del Norte,Talaingod,0
XI (Davao Region),Davao Del Norte,Braulio E. Dujali,0
XI (Davao Region),Davao Del Norte,Total Davao Del Norte,13
XI (Davao Region),Davao Del Sur,Bansalan,3
XI (Davao Region),Davao Del Sur,Davao City,47
XI (Davao Region),Davao Del Sur,Digos (Capital),4
XI (Davao Region),Davao Del Sur,Don Marcelino,0
XI (Davao Region),Davao Del Sur,Hagonoy,2
XI (Davao Region),Davao Del Sur,Jose Abad Santos (Trinidad),0
XI (Davao Region),Davao Del Sur,Kiblawan,0
XI (Davao Region),Davao Del Sur,Magsaysay,0
XI (Davao Region),Davao Del Sur,Malalag,0
XI (Davao Region),Davao Del Sur,Malita,4
XI (Davao Region),Davao Del Sur,Matanao,1
XI (Davao Region),Davao Del Sur,Padada,0
XI (Davao Region),Davao Del Sur,Santa Cruz,2
XI (Davao Region),Davao Del Sur,Santa Maria,0
XI (Davao Region),Davao Del Sur,Sulop,0
XI (Davao Region),Davao Del Sur,Sarangani,1
XI (Davao Region),Davao Del Sur,Total Davao Del Sur,64
XI (Davao Region),Davao Oriental,Baganga,0
XI (Davao Region),Davao Oriental,Banaybanay,1
XI (Davao Region),Davao Oriental,Boston,0
XI (Davao Region),Davao Oriental,Caraga,1
XI (Davao Region),Davao Oriental,Cateel,1
XI (Davao Region),Davao Oriental,Governor Generoso,0
XI (Davao Region),Davao Oriental,Lupon,0
XI (Davao Region),Davao Oriental,Manay,1
XI (Davao Region),Davao Oriental,Mati (Capital),2
XI (Davao Region),Davao Oriental,San Isidro,0
XI (Davao Region),Davao Oriental,Tarragona,0
XI (Davao Region),Davao Oriental,Total Davao Oriental,6
XI (Davao Region),Compostela Valley,Compostela,2
XI (Davao Region),Compostela Valley,Laak (San Vicente),0
XI (Davao Region),Compostela Valley,Mabini (Dona Alicia),1
XI (Davao Region),Compostela Valley,Maco,3
XI (Davao Region),Compostela Valley,Maragusan (San Mariano),0
XI (Davao Region),Compostela Valley,Mawab,0
XI (Davao Region),Compostela Valley,Monkayo,1
XI (Davao Region),Compostela Valley,Montevista,0
XI (Davao Region),Compostela Valley,Nabunturan,2
XI (Davao Region),Compostela Valley,New Bataan,0
XI (Davao Region),Compostela Valley,Pantukan,0
XI (Davao Region),Compostela Valley,Total Compostela Valley,9
XI (Davao Region),No City/Municipality Reported,No City/Municipality Reported,0
XI (Davao Region),Total Davao Region,Total Davao Region,92
XII (SOCCSKSARGEN),South Cotabato,Banga,10
XII (SOCCSKSARGEN),South Cotabato,General Santos City (Dadiangas),79
XII (SOCCSKSARGEN),South Cotabato,Koronadal (Capital),14
XII (SOCCSKSARGEN),South Cotabato,Norala,1
XII (SOCCSKSARGEN),South Cotabato,Polomolok,8
XII (SOCCSKSARGEN),South Cotabato,Surallah,4
XII (SOCCSKSARGEN),South Cotabato,Tampakan,2
XII (SOCCSKSARGEN),South Cotabato,Tantangan,0
XII (SOCCSKSARGEN),South Cotabato,T'Boli,0
XII (SOCCSKSARGEN),South Cotabato,Tupi,4
XII (SOCCSKSARGEN),South Cotabato,Santo Nino,3
XII (SOCCSKSARGEN),South Cotabato,Lake Sebu,0
XII (SOCCSKSARGEN),South Cotabato,Total South Cotabato,125
XII (SOCCSKSARGEN),Sarangani,Alabel (Capital),3
XII (SOCCSKSARGEN),Sarangani,Glan,5
XII (SOCCSKSARGEN),Sarangani,Kiamba,6
XII (SOCCSKSARGEN),Sarangani,Maasim,0
XII (SOCCSKSARGEN),Sarangani,Maitum,0
XII (SOCCSKSARGEN),Sarangani,Malapatan,1
XII (SOCCSKSARGEN),Sarangani,Malungon,2
XII (SOCCSKSARGEN),Sarangani,Total Sarangani,17
XII (SOCCSKSARGEN),North Cotabato,Alamada,0
XII (SOCCSKSARGEN),North Cotabato,Carmen,0
XII (SOCCSKSARGEN),North Cotabato,Kabacan,4
XII (SOCCSKSARGEN),North Cotabato,City of Kidapawan (Capital),3
XII (SOCCSKSARGEN),North Cotabato,Libungan,2
XII (SOCCSKSARGEN),North Cotabato,Magpet,0
XII (SOCCSKSARGEN),North Cotabato,Makilala,1
XII (SOCCSKSARGEN),North Cotabato,Matalam,1
XII (SOCCSKSARGEN),North Cotabato,Midsayap,3
XII (SOCCSKSARGEN),North Cotabato,M'Lang,2
XII (SOCCSKSARGEN),North Cotabato,Pigkawayan,3
XII (SOCCSKSARGEN),North Cotabato,Pikit,0
XII (SOCCSKSARGEN),North Cotabato,President Roxas,0
XII (SOCCSKSARGEN),North Cotabato,Tulunan,3
XII (SOCCSKSARGEN),North Cotabato,Antipas,0
XII (SOCCSKSARGEN),North Cotabato,Banisilan,0
XII (SOCCSKSARGEN),North Cotabato,Aleosan,0
XII (SOCCSKSARGEN),North Cotabato,Arakan,1
XII (SOCCSKSARGEN),North Cotabato,Total North Cotabato,23
XII (SOCCSKSARGEN),Sultan Kudarat,Bagumbayan,2
XII (SOCCSKSARGEN),Sultan Kudarat,Columbio,0
XII (SOCCSKSARGEN),Sultan Kudarat,Esperanza,2
XII (SOCCSKSARGEN),Sultan Kudarat,Isulan (Capital),7
XII (SOCCSKSARGEN),Sultan Kudarat,Kalamansig,0
XII (SOCCSKSARGEN),Sultan Kudarat,Lebak,0
XII (SOCCSKSARGEN),Sultan Kudarat,Lutayan,0
XII (SOCCSKSARGEN),Sultan Kudarat,Lambayong (Mariano Marcos),4
XII (SOCCSKSARGEN),Sultan Kudarat,Palimbang,0
XII (SOCCSKSARGEN),Sultan Kudarat,President Quirino,2
XII (SOCCSKSARGEN),Sultan Kudarat,Tacurong,14
XII (SOCCSKSARGEN),Sultan Kudarat,Sen. Ninoy Aquino,1
XII (SOCCSKSARGEN),Sultan Kudarat,Total Sultan Kudarat,32
XII (SOCCSKSARGEN),Cotabato City,Cotabato City,2
XII (SOCCSKSARGEN),Marawi City,Marawi City,0
XII (SOCCSKSARGEN),No City/Municipality Reported,No City/Municipality Reported,0
XII (SOCCSKSARGEN),Total SOCCSKSARGEN,Total SOCCSKSARGEN,199
XIII (Caraga),Agusan Del Norte,Buenavista,2
XIII (Caraga),Agusan Del Norte,Butuan City (Capital),5
XIII (Caraga),Agusan Del Norte,Cabadbaran,0
XIII (Caraga),Agusan Del Norte,Carmen,0
XIII (Caraga),Agusan Del Norte,Jabonga,0
XIII (Caraga),Agusan Del Norte,Kitcharao,1
XIII (Caraga),Agusan Del Norte,Las Nieves,0
XIII (Caraga),Agusan Del Norte,Magallanes,0
XIII (Caraga),Agusan Del Norte,Nasipit,1
XIII (Caraga),Agusan Del Norte,Santiago,1
XIII (Caraga),Agusan Del Norte,Tubay,0
XIII (Caraga),Agusan Del Norte,Remedios T. Romualdez,0
XIII (Caraga),Agusan Del Norte,Total Agusan Del Norte,10
XIII (Caraga),Agusan Del Sur,Bayugan,1
XIII (Caraga),Agusan Del Sur,Bunawan,0
XIII (Caraga),Agusan Del Sur,Esperanza,2
XIII (Caraga),Agusan Del Sur,La Paz,1
XIII (Caraga),Agusan Del Sur,Loreto,1
XIII (Caraga),Agusan Del Sur,Prosperidad (Capital),0
XIII (Caraga),Agusan Del Sur,Rosario,0
XIII (Caraga),Agusan Del Sur,San Francisco,1
XIII (Caraga),Agusan Del Sur,San Luis,1
XIII (Caraga),Agusan Del Sur,Santa Josefa,0
XIII (Caraga),Agusan Del Sur,Talacogon,0
XIII (Caraga),Agusan Del Sur,Trento,1
XIII (Caraga),Agusan Del Sur,Veruela,0
XIII (Caraga),Agusan Del Sur,Sibagat,0
XIII (Caraga),Agusan Del Sur,Total Agusan Del Sur,8
XIII (Caraga),Surigao Del Norte,Alegria,1
XIII (Caraga),Surigao Del Norte,Bacuag,0
XIII (Caraga),Surigao Del Norte,Basilisa (Rizal),0
XIII (Caraga),Surigao Del Norte,Burgos,0
XIII (Caraga),Surigao Del Norte,Cagdianao,0
XIII (Caraga),Surigao Del Norte,Claver,0
XIII (Caraga),Surigao Del Norte,Dapa,2
XIII (Caraga),Surigao Del Norte,Del Carmen,1
XIII (Caraga),Surigao Del Norte,Dinagat,0
XIII (Caraga),Surigao Del Norte,General Luna,1
XIII (Caraga),Surigao Del Norte,Gigaquit,0
XIII (Caraga),Surigao Del Norte,Libjo (Albor),1
XIII (Caraga),Surigao Del Norte,Loreto,0
XIII (Caraga),Surigao Del Norte,Mainit,0
XIII (Caraga),Surigao Del Norte,Malimono,0
XIII (Caraga),Surigao Del Norte,Pilar,0
XIII (Caraga),Surigao Del Norte,Placer,0
XIII (Caraga),Surigao Del Norte,San Benito,0
XIII (Caraga),Surigao Del Norte,San Francisco (Anao-Aon),0
XIII (Caraga),Surigao Del Norte,San Isidro,0
XIII (Caraga),Surigao Del Norte,Santa Monica (Sapao),0
XIII (Caraga),Surigao Del Norte,Sison,0
XIII (Caraga),Surigao Del Norte,Socorro,0
XIII (Caraga),Surigao Del Norte,Surigao City (Capital),2
XIII (Caraga),Surigao Del Norte,Tagana-An,0
XIII (Caraga),Surigao Del Norte,Tubajon,1
XIII (Caraga),Surigao Del Norte,Tubod,0
XIII (Caraga),Surigao Del Norte,San Jose,0
XIII (Caraga),Surigao Del Norte,Total Surigao Del Norte,9
XIII (Caraga),Surigao Del Sur,Barobo,0
XIII (Caraga),Surigao Del Sur,Bayabas,1
XIII (Caraga),Surigao Del Sur,Bislig,3
XIII (Caraga),Surigao Del Sur,Cagwait,0
XIII (Caraga),Surigao Del Sur,Cantilan,1
XIII (Caraga),Surigao Del Sur,Carmen,0
XIII (Caraga),Surigao Del Sur,Carrascal,0
XIII (Caraga),Surigao Del Sur,Cortes,0
XIII (Caraga),Surigao Del Sur,Hinatuan,0
XIII (Caraga),Surigao Del Sur,Lanuza,0
XIII (Caraga),Surigao Del Sur,Lianga,1
XIII (Caraga),Surigao Del Sur,Lingig,1
XIII (Caraga),Surigao Del Sur,Madrid,0
XIII (Caraga),Surigao Del Sur,Marihatag,0
XIII (Caraga),Surigao Del Sur,San Agustin,0
XIII (Caraga),Surigao Del Sur,San Miguel,1
XIII (Caraga),Surigao Del Sur,Tagbina,2
XIII (Caraga),Surigao Del Sur,Tago,0
XIII (Caraga),Surigao Del Sur,Tandag (Capital),5
XIII (Caraga),Surigao Del Sur,Total Surigao Del Sur,15
XIII (Caraga),No City/Municipality Reported,No City/Municipality Reported,0
XIII (Caraga),Total CARAGA,Total CARAGA,42
ARMM,Basilan,Isabela (Capital),0
ARMM,Basilan,Lamitan,2
ARMM,Basilan,Maluso,0
ARMM,Basilan,Sumisip,0
ARMM,Basilan,Total Basilan,2
ARMM,Lanao Del Sur,Balabagan,0
ARMM,Lanao Del Sur,Malabang,0
ARMM,Lanao Del Sur,Wao,2
ARMM,Lanao Del Sur,Total Lanao Del Sur,2
ARMM,Maguindanao,Ampatuan,0
ARMM,Maguindanao,Datu Paglas,0
ARMM,Maguindanao,Datu Piang,0
ARMM,Maguindanao,Datu Odin Sinsuat (Dinaig),0
ARMM,Maguindanao,Parang,2
ARMM,Maguindanao,Sultan Kudarat (Nuling),0
ARMM,Maguindanao,Sultan Sa Barongis (Lambayong),0
ARMM,Maguindanao,South Upi,0
ARMM,Maguindanao,Upi,2
ARMM,Maguindanao,Buluan,0
ARMM,Maguindanao,Kabuntalan (Tumbao),0
ARMM,Maguindanao,Total Maguindanao,4
ARMM,Sulu,Jolo (Capital),0
ARMM,Tawi-Tawi,Bongao (Capital),0
ARMM,Tawi-Tawi,Mapun (Cagayan De Tawi-Tawi),0
ARMM,Tawi-Tawi,Simunul,0
ARMM,Tawi-Tawi,Sitangkai,0
ARMM,Tawi-Tawi,Total Tawi-Tawi, -   
ARMM,No City/Municipality Reported,No City/Municipality Reported,0
ARMM,Total Autonomous Region In Muslim Mindanao (ARMM),Total Autonomous Region In Muslim Mindanao (ARMM),8
CAR,Abra,Bangued (Capital),1
CAR,Abra,Boliney,0
CAR,Abra,Bucay,1
CAR,Abra,Bucloc,0
CAR,Abra,Daguioman,0
CAR,Abra,Danglas,0
CAR,Abra,Dolores,0
CAR,Abra,La Paz,0
CAR,Abra,Lacub,0
CAR,Abra,Lagangilang,0
CAR,Abra,Lagayan,0
CAR,Abra,Langiden,0
CAR,Abra,Licuan-Baay (Licuan),0
CAR,Abra,Luba,0
CAR,Abra,Malibcong,0
CAR,Abra,Manabo,1
CAR,Abra,Penarrubia,1
CAR,Abra,Pidigan,1
CAR,Abra,Pilar,0
CAR,Abra,Sallapadan,0
CAR,Abra,San Isidro,0
CAR,Abra,San Juan,0
CAR,Abra,San Quintin,0
CAR,Abra,Tayum,0
CAR,Abra,Tubo,1
CAR,Abra,Villaviciosa,0
CAR,Abra,Total Abra,6
CAR,Benguet,Atok,0
CAR,Benguet,Baguio City,17
CAR,Benguet,Bakun,0
CAR,Benguet,Bokod,0
CAR,Benguet,Buguias,1
CAR,Benguet,Itogon,2
CAR,Benguet,Kabayan,0
CAR,Benguet,Kapangan,1
CAR,Benguet,Kibungan,0
CAR,Benguet,La Trinidad (Capital),8
CAR,Benguet,Mankayan,2
CAR,Benguet,Sablan,1
CAR,Benguet,Tuba,0
CAR,Benguet,Tublay,0
CAR,Benguet,Total Benguet,32
CAR,Ifugao,Banaue,0
CAR,Ifugao,Hungduan,0
CAR,Ifugao,Kiangan,1
CAR,Ifugao,Lagawe (Capital),0
CAR,Ifugao,Lamut,1
CAR,Ifugao,Mayoyao,0
CAR,Ifugao,Alfonso Lista (Potia),2
CAR,Ifugao,Aguinaldo,1
CAR,Ifugao,Hingyon,1
CAR,Ifugao,Asipulo,0
CAR,Ifugao,Tinoc,0
CAR,Ifugao,Total Ifugao,6
CAR,Kalinga,Balbalan,0
CAR,Kalinga,Lubuagan,0
CAR,Kalinga,Pasil,0
CAR,Kalinga,Pinukpuk,1
CAR,Kalinga,Rizal (Liwan),0
CAR,Kalinga,Tabuk (Capital),6
CAR,Kalinga,Tanudan,0
CAR,Kalinga,Tinglayan,0
CAR,Kalinga,Total Kalinga,7
CAR,Mountain Province,Barlig,0
CAR,Mountain Province,Bauko,0
CAR,Mountain Province,Besao,0
CAR,Mountain Province,Bontoc (Capital),0
CAR,Mountain Province,Natonin,0
CAR,Mountain Province,Paracelis,1
CAR,Mountain Province,Sabangan,0
CAR,Mountain Province,Sagada,0
CAR,Mountain Province,Tadian,0
CAR,Mountain Province,Total Mountain Province,1
CAR,Apayao,Calanasan (Bayag),0
CAR,Apayao,Conner,3
CAR,Apayao,Flora,0
CAR,Apayao,Kabugao (Capital),0
CAR,Apayao,Luna,1
CAR,Apayao,Pudtol,0
CAR,Apayao,Santa Marcela,1
CAR,Apayao,Total Apayao,5
CAR,No City/Municipality Reported,No City/Municipality Reported,0
CAR,Total Cordillera Administrative Region (CAR),Total Cordillera Administrative Region (CAR),57
NCR,NCR First District,Tondo,7
NCR,NCR First District,Binondo,2
NCR,NCR First District,Quiapo,0
