province,city_municipality,position ,name,nickname,party_affiliation,votes_obtained
Ilocos Norte ,Batac City ,Councilor,"Cajigal, Mary Coleen C Lumang",Columbia,Lakas-Kampi,11280
Ilocos Norte ,Batac City ,Councilor,"Mangapit, Orlando Concha",Luke,Idependent,11892
Ilocos Norte ,Batac City ,Councilor,"Laud, Florencio Pinol",Inciong,Lakas-Kampi,12408
Ilocos Norte ,Batac City ,Councilor,"Marders, Bernardo Ku",Bernan,Lakas-Kampi,12541
Ilocos Norte ,Batac City ,Councilor,"Gaoat, Medeldorf Manarpiis",Medel,Lakas-Kampi,15192
Ilocos Norte ,Batac City ,Councilor,"Nalupta, Eugenia Violeta Daradar",Violy,Lakas-Kampi,15495
Ilocos Norte ,Batac City ,Councilor,"Quidang, Bismark Angelo Arcangel",Bis,Lakas-Kampi,17507
Ilocos Norte ,Burgos,Mayor,"Garcia, Crescente Narciso",Enteng,Lakas-Kampi,2990
Ilocos Norte ,Burgos,Vice-Mayor,"Espejo, Rey Galano",Rey,Liberal Party,1999
Ilocos Norte ,Burgos,Councilor,"De Luna, Crescencio Fayloga",Esen,Idependent,1906
Ilocos Norte ,Burgos,Councilor,"Guinto, Jonathan Yambalia",Bonat,Liberal Party,2018
Ilocos Norte ,Burgos,Councilor,"Guinto, Cafrialdes Malavi",Daisy,Lakas-Kampi,2108
Ilocos Norte ,Burgos,Councilor,"Acupido, Jorge Daguio",Lito,Nacionalista Party,2148
Ilocos Norte ,Burgos,Councilor,"Jimenez, Joseph Benemerito",Jojo,Lakas-Kampi,2203
Ilocos Norte ,Burgos,Councilor,"Calapini, Francis Albano",Fadz,Lakas-Kampi,2420
Ilocos Norte ,Burgos,Councilor,"Santiago, Mariejette Garaza",Madz,Lakas-Kampi,2449
Ilocos Norte ,Burgos,Councilor,"Garcia, Rodolfo Lazo",Rudy,Nacionalista Party,2664
Ilocos Norte ,Carasi,Mayor,"Fernandez, Joy Banagui Carte",Joy,Lakas-Kampi,579
Ilocos Norte ,Carasi,Vice-Mayor,"Julian, Villamor Gagala",Amor,Nacionalista Party,441
Ilocos Norte ,Carasi,Councilor,"Manggay, Romeo Reyes",Romy,Lakas-Kampi,344
Ilocos Norte ,Carasi,Councilor,"Abal, Clemente Pigoti",Ellang,Lakas-Kampi,364
Ilocos Norte ,Carasi,Councilor,"Rivac, Rhely Sibali",Tubay,Nacionalista Party,404
Ilocos Norte ,Carasi,Councilor,"Salno, Rodolfo Ramon",Rudy,Lakas-Kampi,439
Ilocos Norte ,Carasi,Councilor,"Transfiguracion, Rey ",Dorico,Nacionalista Party,446
Ilocos Norte ,Carasi,Councilor,"Pumaras, Domingo Ramon",Doming,Nacionalista Party,480
Ilocos Norte ,Carasi,Councilor,"Bulil-Lit, Corpuz Gato",Copong,Lakas-Kampi,507
Ilocos Norte ,Carasi,Councilor,"Julian, Nestor Simon",Nes,Nacionalista Party,588
Ilocos Norte ,Currimao,Mayor,"Cue, Gladys Go",Gigi,Nacionalista Party,4485
Ilocos Norte ,Currimao,Vice-Mayor,"Go, Rosario Chua",Charing,Lakas-Kampi,5061
Ilocos Norte ,Currimao,Councilor,"Flores, Jaime Lacuesta",Jaime,Nacionalista Party,2457
Ilocos Norte ,Currimao,Councilor,"Racuya, Richard Mapugay",Richard,Lakas-Kampi,2567
Ilocos Norte ,Currimao,Councilor,"Vidad, Estela Bagarino",Estela,Nacionalista Party,2992
Ilocos Norte ,Currimao,Councilor,"Fernando, Bernardo Yamongan",Berning,Lakas-Kampi,2994
Ilocos Norte ,Currimao,Councilor,"Ragonjan, Jesus Dumlao",Jessie,Lakas-Kampi,3060
Ilocos Norte ,Currimao,Councilor,"Ragonjan, Deirdre Sadian",Botsing,Nacionalista Party,3175
Ilocos Norte ,Currimao,Councilor,"Galzote, Cesar Madriaga",Sardo,Nacionalista Party,3201
Ilocos Norte ,Currimao,Councilor,"Pascua, Ricardo Silao",Ric,Lakas-Kampi,3303
Ilocos Norte ,Dingras,Mayor,"Gamboa, Marynette Romero",Marynette,Lakas-Kampi,10593
Ilocos Norte ,Dingras,Vice-Mayor,"Valenzuela, Erdio Espejo",Erdio,Lakas-Kampi,8828
Ilocos Norte ,Dingras,Councilor,"Parado, Robert, Sr. Verzosa",Bobby,Idependent,6702
Ilocos Norte ,Dingras,Councilor,"Taylan, Nathaniel Ruben II Domingo",Nathan,Nacionalista Party,7059
Ilocos Norte ,Dingras,Councilor,"Apostol, Joey Santiago",Bombo,Lakas-Kampi,7404
Ilocos Norte ,Dingras,Councilor,"Albano, Jose Mari Genaro Bueno",Jimboy,Nacionalista Party,7484
Ilocos Norte ,Dingras,Councilor,"Calano, Samuel Domingo",Sammy,Lakas-Kampi,8702
Ilocos Norte ,Dingras,Councilor,"Gamboa, Alfe Garry Romero",Garry,Lakas-Kampi,9006
Ilocos Norte ,Dingras,Councilor,"Magno, Rhandolf Perdido",Randy,Lakas-Kampi,9333
Ilocos Norte ,Dingras,Councilor,"Marcos, Ruben Castro",Ruben,Lakas-Kampi,10328
Ilocos Norte ,Dumalneg,Mayor,"Espiritu, Francisco Jr. Raval",Ancis,Lakas-Kampi,745
Ilocos Norte ,Dumalneg,Vice-Mayor,"Aguinaldo, Odon Magarro",Odon,Lakas-Kampi,518
Ilocos Norte ,Dumalneg,Councilor,"Balalio, Pablo Ubasa",Pabs,Lakas-Kampi,387
Ilocos Norte ,Dumalneg,Councilor,"Ciriaco, Pedro Ibalio",Pebrero,Lakas-Kampi,413
Ilocos Norte ,Dumalneg,Councilor,"Santos, Maylin Paganao",Maylin,Nacionalista Party,482
Ilocos Norte ,Dumalneg,Councilor,"Garon, Dennis Julian",Den,Nacionalista Party,498
Ilocos Norte ,Dumalneg,Councilor,"Tomas, Faustino Dacuycuy",Inong,Lakas-Kampi,548
Ilocos Norte ,Dumalneg,Councilor,"Agron, Danilo Dacuycuy",Danilo,Lakas-Kampi,564
Ilocos Norte ,Dumalneg,Councilor,"Banaba, Justo Agcarrang",Justo,Nacionalista Party,593
Ilocos Norte ,Dumalneg,Councilor,"Garvida, Robert Ramos",Bobby,Lakas-Kampi,614
Ilocos Norte ,Laoag City,Mayor,"Farinas, Michael Verzosa",Mvf,Lakas-Kampi,46128
Ilocos Norte ,Laoag City,Vice-Mayor,"Domingo, Edward Peralta",Eddie Sapatos,Lakas-Kampi,37302
Ilocos Norte ,Laoag City,Councilor,"Frez, David Cleto",Fiscal,Liberal Party,22601
Ilocos Norte ,Laoag City,Councilor,"Chua, Edison Uy",Ever,Nacionalista Party,22836
Ilocos Norte ,Laoag City,Councilor,"Carag, Mariolito Juan",Lito Carag,Lakas-Kampi,23738
Ilocos Norte ,Laoag City,Councilor,"Dacuycuy, Francis Manolito Blas",Dax,Lakas-Kampi,23801
Ilocos Norte ,Laoag City,Councilor,"Tamayo, Joseph Hernando",Kajo,Lakas-Kampi,24509
