description_of_project,function_or_program_or_project_1,function_or_program_or_project_2,location,appropriations,obligations
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Construction of Bacao 2-Epza Road,Bacao 2 Gen. Trias,7247515.14,7247515.14
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Concreting of baraangay road,Navarro Gen. Trias,9399000,9399000
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Concreting of Sitio Rosa going to Kanutuhan Barangay Road,San Francisco Gen. Trias,2560800,2560800
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Concreting of road,Tabon II 4-K St. Kawit,386530,386530
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Installation of  cat's eye(dome type),Cavitex-Island Cove Road Kawit,3000000,3000000
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Concreting of road and asphalt overlay,Munting Mapino Naic,2000000,2000000
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Concreting of farm to market road,Muzon-Labac Naic,1000000,1000000
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Concreting of road,Calibuyo Tanza,3766579,3766579
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Concreting of provincial roads,-,7000000,-
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Concreting of farm to market road,Kaypaaba(Sitio Taktak) Gen. Aguinaldo,2000000,-
Economic Development,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",Construction of covered pathwalk,Imus Pilot Elementary School,733200,-
Enviromental Management,"Construction or rehabilitation of local roads and bridges, and purchase of appropriate engineering euipment (dumtrucks, graders and payloaders)",-,-,17010101.01,167616.01
Enviromental Management,"Rehabilition and construction of drainage system, de-setting of river, de-clogging of canals",Construction of open canal,Pulido Gen M. Alvarez,588540,588540
Enviromental Management,"Rehabilition and construction of drainage system, de-setting of river, de-clogging of canals",Construction of canal lining,Tejero Gen. Trias,2828220,2828220
Enviromental Management,"Rehabilition and construction of drainage system, de-setting of river, de-clogging of canals",Construction of grouted riprap,Alapan II-B Imus,2830662.48,2830662.48
Enviromental Management,"Rehabilition and construction of drainage system, de-setting of river, de-clogging of canals",Construction of riprap,Malagasang II-C Imus,503800,503800
Enviromental Management,"Rehabilition and construction of drainage system, de-setting of river, de-clogging of canals",Construction of riprap near Balimbing Bridge,Poblacion IV-A Imus,3561735.88,3561735.88
Enviromental Management,"Rehabilition and construction of drainage system, de-setting of river, de-clogging of canals",Construction of canal with manhole ,Legasspi St. Binakyan Kawit,839320,839320
Enviromental Management,"Rehabilition and construction of drainage system, de-setting of river, de-clogging of canals",Construction of canal lining,"Sta. Cruz St., Polocpoc II, Mendez",578000,578000
Enviromental Management,"Rehabilition and construction of drainage system, de-setting of river, de-clogging of canals",Construction of grouted riprap,"San  Antonio I, Noveleta",3830092.65,3830092.65
Enviromental Management,"Rehabilition and construction of drainage system, de-setting of river, de-clogging of canals",Construction of canal lining along Tramo Road,"Ligtong III, Rosario",1449730,1449730
Total,-,-,-,133951473.3,90493596.93
