description_of_project_1,description_of_project_2,description_of_project_3,location,obligations
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of arc roof covered court (20m x 30m),"Calibuyo, Tanza",3265600
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (18m x 18m) with bleachers,"Cabezas, Trace Martires City",3753105
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Completion of multi-purpose building,"Marahan II, Alfonso",932500
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Delivery of materials for the construction of multi-purpose building,"Pintong Gubat, Paliparan 3, City of Dasmarinas",3052250.59
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Completion of Lingap Manggagawa Center,"Salitran, City of Dasmarinas",3031000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Improvement of multi-purpose hall,"San Luis II, City of Dasmarinas",3600000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Completion or extension of storey multi-purpose building,"Balsahan, Binakayan, Kawit",1862000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Completion of multi-purpose building for daycare workers,"Cabulusan, Magallanes",1086000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Improvement of multi-purpose building,"Barangay 6, Mendez",2008000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Completion of multi-purpose building,"Galicia III, Mendez",1241000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Improvement of multi-purpose building,"Mulawin, Tanza",837800
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Completion of multi-purpose building,"Osorio, Trece Martires City",850000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (18m x 30m),"Salawag, City of Dasmarinas",3426000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Improvement of 2 storey multi-purpose building,"Halang, Amadeo",500000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Delivery of materials for improvement of multi-purpose hall,"Bayanan, City of Bacoor",79302
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Delivery of materials for the improvement of senior citizen office,"Victoria Reyes, City of Dasmarinas",72270
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Reconstruction of Rehabilitation of multi-purpose hall,"Maharlika, Bahayang Pag-asa Ph 9, City of Imus",1927100
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Delivery of materials for the construction of multi-purpose hall,"Calimag, Gen. M. Alvarez",27192
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Delivery of materials for the construction of covered court,"Tayawanak Ibaba, Alfonso",204875
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (18m x 30m),"Pangil, Amadeo",3763000
Social Development,"Construction or rehabilitation of multi-purpose facilities (out of school youths, women, senior citizens, minors, displaced families, indigeneous people and differently abled persons)",Construction of covered court (18m x 40m),"Cavite State University, Cavite City",4920716
